;NestedTryDepth;NestedForDepth;NumberOfPrivateMethod;NumberOfMethods_Checkstyle;NPathComplexity;CyclomaticComplexity;AnonymousInnerClassLength;NCSSForThisFile;ExecutableStatementCount;NestedIfElseDepth;NumberOfPackageMethod;FileLength;NumberOfPublicMethods_Checkstyle;NCSSForThisClass;ThrowsCount;ClassFanOutComplexity;MethodLength;NumberOfProtectedMethod;BuggedMethods;NCSSForThisMethod;BooleanExpressionComplexity;ClassDataAbstractionCoupling
count;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760;7760.0;7760.0;7760.0
unique;;;;;;;;;;;;;;;;;;;2;;;
top;;;;;;;;;;;;;;;;;;;False;;;
freq;;;;;;;;;;;;;;;;;;;7667;;;
mean;0.0006443298969072165;0.01804123711340206;0.05670103092783505;0.448840206185567;14.34806701030928;0.8534793814432989;0.11224226804123712;6.243814432989691;3.1082474226804124;0.023324742268041238;0.01404639175257732;12.774355670103093;0.3743556701030928;4.885051546391753;0.0970360824742268;0.5998711340206185;6.277319587628866;0.021778350515463916;;3.7675257731958762;0.042268041237113405;0.24510309278350514
std;0.02537711026276941;0.1570913552001145;0.5724989647332707;2.8439159472317197;317.81757818049675;1.8132421659994709;1.2668880815114116;34.32315872010364;8.681851306111154;0.17834072966918132;0.2685252414521612;68.88463292547381;2.509409968764114;26.87426741324315;0.3336851361091414;2.7855101639474538;16.280396865846846;0.5231241792502156;;9.49074896023056;0.27950024502073095;1.2987653092305003
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
75%;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;;2.0;0.0;0.0
max;1.0;4.0;20.0;73.0;10000.0;36.0;40.0;747.0;215.0;4.0;11.0;1638.0;70.0;615.0;5.0;47.0;390.0;27.0;;216.0;7.0;22.0
