;NumberOfPackageMethod;FileLength;NCSSForThisFile;MethodLength;ClassFanOutComplexity;NumberOfPrivateMethod;NumberOfMethods_Checkstyle;BuggedMethods;NCSSForThisClass;AnonymousInnerClassLength;NCSSForThisMethod;BooleanExpressionComplexity;NumberOfPublicMethods_Checkstyle;ClassDataAbstractionCoupling;NumberOfProtectedMethod;NestedIfElseDepth;CyclomaticComplexity;NPathComplexity;ExecutableStatementCount;NestedForDepth;ThrowsCount
count;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0
unique;;;;;;;;2;;;;;;;;;;;;;
top;;;;;;;;False;;;;;;;;;;;;;
freq;;;;;;;;356;;;;;;;;;;;;;
mean;0.027777777777777776;21.805555555555557;7.4527777777777775;8.830555555555556;0.5388888888888889;0.041666666666666664;0.8888888888888888;;6.85;0.0;5.258333333333334;0.075;0.7805555555555556;0.22777777777777777;0.03888888888888889;0.019444444444444445;1.075;0.9444444444444444;4.305555555555555;0.0;0.2861111111111111
std;0.24598289125812262;88.92261962530988;29.624257790602503;14.164047220825877;1.9229268803214616;0.31831292744272704;3.9267511770624632;;28.24721249836126;0.0;7.064165720444651;0.5559879159425092;3.470393637971925;0.9635736383940054;0.4644928811564301;0.1382731631845895;1.2298232316306665;5.2732807569097515;6.697687808088763;0.0;0.4706735396585357
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;3.0;0.0;0.0;0.0;;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
50%;0.0;0.0;0.0;5.0;0.0;0.0;0.0;;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0
75%;0.0;0.0;0.0;11.0;0.0;0.0;0.0;;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;6.0;0.0;1.0
max;3.0;984.0;235.0;186.0;15.0;4.0;39.0;;228.0;0.0;81.0;9.0;33.0;9.0;7.0;1.0;10.0;96.0;80.0;0.0;2.0
