NumberOfMathOperations_std;NumberOfMathOperations_count;Mo;Mit;Average Complexity*;blamemerge_priorityMinor_mean;NumberOfMathOperations_50%;blamemerge_priorityMajor_mean;MaxNumberOfNestedBlocks_min;issues_priorityMajor_max;NumberOfModifiers_50%;blamemerge_priorityMajor_max;NumberOfMethods_Mood;issues_priorityMajor_std;Ao;NumberOfModifiers_75%;Maximum Block Depth;Ad;NumberOfModifiers_mean;blamemerge_priorityMajor_count;NumberOfModifiers_max;blame_merge_priorityMajor_max;MaxNumberOfNestedBlocks_mean;Average Statements per Method;NumberOfMathOperations_min;blame_merge_priorityMajor_std;blame_merge_priorityMinor_count;NumberOfMathOperations_max;blame_merge_priorityMajor_mean;blame_merge_priorityMinor_min;MaxNumberOfNestedBlocks_std;Maximum Depth_75%;issues_priorityMinor_max;Average Block Depth;Maximum Depth_std;MaxNumberOfNestedBlocks_max;Maximum Depth_count;blame_merge_priorityMajor_count;Maximum Depth_25%;blame_merge_priorityMinor_mean;Av;Maximum Complexity*;HMd;NumberOfModifiers_min;issues_priorityMinor_min;Maximum Depth_min;SIX;NMI;blame_merge_priorityMinor_max;PMd;blame_merge_priorityMajor_min;issues_priorityMajor_mean;MaxNumberOfNestedBlocks_25%;Maximum Depth_max;issues_priorityMinor_std;blamemerge_priorityMinor_max;issues_priorityMinor_count;NF;MaxNumberOfNestedBlocks_50%;PMR;issues_priorityMajor_count;Ait;MaxNumberOfNestedBlocks_count;blamemerge_priorityMajor_min;Maximum Depth_mean;NumberOfModifiers_count;Maximum Depth_50%;blamemerge_priorityMinor_min;blamemerge_priorityMinor_count;Ma;NMA;Mi;HMi;MaxNumberOfNestedBlocks_75%;NumberOfMathOperations_25%;Bugged;NM;blame_merge_priorityMinor_std;Md;PMi;issues_priorityMajor_min;Ai;NumberOfModifiers_std;blamemerge_priorityMinor_std;NumberOfModifiers_25%;NOPa;NumberOfMathOperations_mean;NumberOfMathOperations_75%;issues_priorityMinor_mean;blamemerge_priorityMajor_std
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2682.0;0.0;0.0;0.0;2682.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2682.0;0.0;0.0;0.0;2682.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2682.0;0.0;0.0;0.0;2682.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3956.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;43.0;0.0;0.0;0.0;43.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3956.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;2.0;0.0;0.0;1.67;0.0;0.0;1.0;0.0;1.0;5.0;1.0;2.0;0.0;0.0;7.0;3.0;5.0;5.0;4128.0;9.0;0.0;0.0;6.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;43.0;5.0;0.0;1.0;43.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;4128.0;3.0;3.0;0.0;0.0;0.0;0.0;False;3.0;0.0;3.0;0.0;1.0;0.0;5.656854249492381;0.0;3.0;0.0;0.0;0.0;0.0;0.0
0.5773502691896257;4.0;0.0;0.0;1.5;0.0;0.5;1.0;0.0;1.0;2.0;1.0;4.0;0.0;0.0;3.75;3.0;6.0;3.25;2210.0;9.0;0.0;0.5;7.0;0.0;0.0;0.0;1.0;0.0;0.0;0.5773502691896257;0.0;0.0;1.26;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;13.0;6.0;0.5;0.2;13.0;0.0;4.0;1.0;0.0;4.0;0.0;0.0;2210.0;5.0;5.0;0.0;0.0;1.0;0.0;False;5.0;0.0;5.0;0.0;1.0;0.0;3.947573094109004;0.0;1.5;0.0;0.5;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;946.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;43.0;0.0;0.0;0.0;43.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;946.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.5;4.0;0.0;0.0;1.4;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;1.0;3.0;5.0;1.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;1.39;0.0;0.0;3.0;0.0;2.0;0.0;0.0;3.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;2.0;0.0;0.0;10.0;5.0;0.0;1.0;10.0;0.0;4.0;0.0;2.0;4.0;2.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;False;5.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.25;0.25;1.0;0.0
0.40824829046386296;6.0;0.0;0.0;2.71;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;0.0;1.0;3.0;6.0;1.0;0.0;1.0;0.0;0.5;9.29;0.0;0.0;0.0;1.0;0.0;0.0;0.5477225575051661;2.0;0.0;1.98;0.0;1.0;2.0;0.0;2.0;0.0;0.0;5.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;6.0;0.5;1.0;0.0;0.0;6.0;0.0;2.0;6.0;2.0;0.0;0.0;7.0;7.0;0.0;0.0;1.0;0.0;False;7.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.16666666666666666;0.0;0.0;0.0
0.3779644730092273;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;0.0;0.0;1.0;2.0;6.0;1.0;0.0;1.0;0.0;0.0;1.63;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;1.12;0.7559289460184545;0.0;7.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;2.0;0.0;0.0;9.0;6.0;0.0;1.0;9.0;0.0;7.0;0.0;1.7142857142857142;7.0;2.0;0.0;0.0;8.0;8.0;0.0;0.0;0.0;0.0;False;8.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.14285714285714285;0.0;1.0;0.0
