NOCh;WMC_CK_25%;Bugged;DIT;WMC_CK_mean;WMC_CK_min;WMC_CK_max;NORM;WMC_CK_75%;NPM;NMI;WMC;WMC_CK_count;WMC_CK_std;WMC_CK_50%
0.0;1.0;False;1.0;1.0;1.0;1.0;0.0;1.0;2.0;0.0;4.0;2.0;0.0;1.0
0.0;1.0;False;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0
0.0;1.0;False;1.0;1.8947368421052633;1.0;6.0;0.0;2.0;16.0;0.0;36.0;19.0;1.5236920380774408;1.0
0.0;1.0;False;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;2.0;2.0;0.0;1.0
0.0;11.0;False;1.0;11.0;11.0;11.0;0.0;11.0;0.0;0.0;11.0;1.0;0.0;11.0
0.0;1.0;False;1.0;2.5;1.0;16.0;0.0;1.75;31.0;0.0;95.0;38.0;3.2859241161806065;1.0
0.0;1.0;False;1.0;1.0;1.0;1.0;0.0;1.0;31.0;0.0;95.0;1.0;0.0;1.0
0.0;1.0;False;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;3.0;1.0;0.0;1.0
0.0;1.75;False;1.0;2.5;1.0;4.0;0.0;3.25;1.0;0.0;7.0;2.0;2.1213203435596424;2.5
0.0;1.0;False;1.0;1.794871794871795;1.0;6.0;0.0;2.0;33.0;0.0;70.0;39.0;1.196034834457662;1.0
0.0;1.0;True;1.0;1.1052631578947372;1.0;2.0;0.0;1.0;18.0;0.0;22.0;19.0;0.3153017676423058;1.0
0.0;1.0;False;1.0;1.625;1.0;4.0;0.0;1.5;8.0;0.0;13.0;8.0;1.1877349391654208;1.0
0.0;2.5;False;1.0;3.6666666666666665;1.0;6.0;0.0;5.0;0.0;0.0;11.0;3.0;2.516611478423584;4.0
0.0;1.0;False;1.0;1.5;1.0;4.0;0.0;1.25;10.0;0.0;19.0;12.0;1.0;1.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;False;1.0;4.181818181818182;1.0;14.0;0.0;6.5;5.0;0.0;45.0;11.0;4.686537780028703;1.0
0.0;8.0;False;1.0;9.0;6.0;11.0;0.0;10.5;3.0;0.0;26.0;3.0;2.6457513110645907;10.0
0.0;3.25;False;1.0;4.666666666666667;1.0;10.0;0.0;5.5;0.0;0.0;28.0;6.0;3.0767948691238205;4.0
0.0;1.0;False;1.0;2.6666666666666665;1.0;10.0;0.0;3.0;9.0;0.0;19.0;9.0;2.8722813232690148;2.0
0.0;1.0;False;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;3.0;1.0;0.0;1.0
0.0;3.25;False;1.0;3.5;3.0;4.0;0.0;3.75;0.0;0.0;7.0;2.0;0.7071067811865476;3.5
0.0;1.0;False;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;1.0
0.0;1.75;False;0.0;1.75;1.0;2.0;0.0;2.0;0.0;0.0;0.0;4.0;0.5;2.0
0.0;1.0;False;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;6.0;0.0;1.0
0.0;1.0;False;0.0;2.083333333333333;1.0;7.0;0.0;3.0;0.0;0.0;0.0;12.0;1.8809249819912508;1.0
0.0;1.0;False;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0
0.0;1.0;False;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0
