;Cohesion;Bugged;NumberOfMethods_Mood;NumberOfPublicAttributes;NumberUserDefinedAttributes;NumberOfSubclasses;NumberOfAttributes;NumberOfProtectedAttributes;NumberOfCoupledClasses;NumberOfPolymorphicMethods;NumberOfInheritedMethods;NumberOfPrivateAttributes;NumberPublicMethods;NumberOfAncestors
count;2471.0;2471;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0
unique;;2;;;;;;;;;;;;
top;;False;;;;;;;;;;;;
freq;;2437;;;;;;;;;;;;
mean;0.2659607114916805;;8.326183731282882;0.8344799676244435;0.1877782274382841;0.023067583974099554;3.71671388101983;0.3031161473087819;0.24888709024686362;5.826790772966411;0.0;2.5791177660866045;6.525293403480372;0.0
std;0.2867624362821808;;14.168121483152621;2.8053810574020277;0.6152156076648476;0.33529559604340725;4.927642418473321;1.4935713802429598;0.6993155819782964;12.100554851447368;0.0;3.8108242637946903;12.751885931208117;0.0
min;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
50%;0.18181818181818185;;5.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;1.0;4.0;0.0
75%;0.3768939393939394;;10.0;1.0;0.0;0.0;5.0;0.0;0.0;7.0;0.0;4.0;8.0;0.0
max;1.0;;427.0;46.0;6.0;6.0;46.0;25.0;4.0;412.0;0.0;39.0;413.0;0.0
