Cohesion;Bugged;NumberOfMethods_Mood;NumberOfPublicAttributes;NumberUserDefinedAttributes;NumberOfSubclasses;NumberOfAttributes;NumberOfProtectedAttributes;NumberOfCoupledClasses;NumberOfPolymorphicMethods;NumberOfInheritedMethods;NumberOfPrivateAttributes;NumberPublicMethods;NumberOfAncestors
0.0;False;3.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0
0.0;False;4.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;4.0;0.0
0.1574074074074074;False;18.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;12.0;0.0
0.6666666666666666;False;3.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;3.0;0.0
0.5;False;2.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;2.0;0.0
1.0;False;1.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;5.0;1.0;0.0
0.18;False;10.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;6.0;7.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.25;False;4.0;0.0;0.0;0.0;3.0;0.0;0.0;4.0;0.0;3.0;3.0;0.0
0.25;False;4.0;0.0;0.0;0.0;3.0;0.0;0.0;4.0;0.0;3.0;3.0;0.0
0.3333333333333333;False;3.0;0.0;0.0;0.0;5.0;0.0;0.0;3.0;0.0;5.0;2.0;0.0
0.3333333333333333;False;3.0;0.0;0.0;0.0;5.0;0.0;0.0;3.0;0.0;5.0;2.0;0.0
0.3333333333333333;False;3.0;0.0;0.0;0.0;5.0;0.0;0.0;3.0;0.0;5.0;2.0;0.0
0.2;False;5.0;0.0;0.0;0.0;3.0;0.0;0.0;5.0;0.0;3.0;4.0;0.0
0.3181818181818182;False;11.0;0.0;0.0;0.0;1.0;0.0;1.0;9.0;0.0;1.0;9.0;0.0
0.0;False;13.0;0.0;0.0;0.0;9.0;0.0;0.0;13.0;0.0;9.0;13.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.24545454545454545;False;22.0;1.0;0.0;0.0;17.0;12.0;0.0;19.0;0.0;4.0;13.0;0.0
0.125;False;14.0;0.0;0.0;0.0;7.0;0.0;0.0;14.0;0.0;7.0;14.0;0.0
0.36;False;10.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;0.0;1.0;4.0;0.0
0.04666666666666667;False;25.0;0.0;0.0;0.0;2.0;0.0;0.0;25.0;0.0;2.0;25.0;0.0
0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
0.65;False;10.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0;10.0;0.0
0.0;False;3.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0
0.0;False;3.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;2.0;3.0;0.0
0.0;False;4.0;0.0;0.0;0.0;3.0;0.0;0.0;4.0;0.0;3.0;4.0;0.0
0.15714285714285714;False;10.0;0.0;0.0;0.0;5.0;0.0;0.0;4.0;0.0;5.0;5.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.05806451612903226;False;31.0;5.0;2.0;0.0;11.0;0.0;1.0;10.0;0.0;6.0;23.0;0.0
0.05806451612903226;False;31.0;5.0;2.0;0.0;11.0;0.0;1.0;10.0;0.0;6.0;23.0;0.0
0.00897736143637783;False;427.0;2.0;0.0;0.0;15.0;0.0;0.0;412.0;0.0;13.0;413.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
