WMC;NOCh;WMC_CK_count;WMC_CK_min;DIT;WMC_CK_25%;NPM;NORM;WMC_CK_std;Bugged;WMC_CK_50%;WMC_CK_mean;NMI;WMC_CK_max;WMC_CK_75%
17.0;0.0;3.0;1.0;1.0;1.0;2.0;0.0;0.5773502691896257;False;1.0;1.3333333333333333;0.0;2.0;1.5
17.0;0.0;1.0;5.0;1.0;5.0;2.0;0.0;0.0;False;5.0;5.0;0.0;5.0;5.0
23.0;0.0;16.0;1.0;1.0;1.0;4.0;0.0;0.7932002689527196;False;1.5;1.6875;0.0;3.0;2.0
23.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
26.0;0.0;17.0;1.0;1.0;1.0;4.0;0.0;1.5904124511289146;False;1.0;2.176470588235294;0.0;6.0;3.0
26.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
9.0;0.0;7.0;1.0;1.0;1.0;6.0;0.0;0.3779644730092273;False;1.0;1.1428571428571428;0.0;2.0;1.0
13.0;0.0;10.0;1.0;1.0;1.0;4.0;0.0;1.2649110640673518;False;1.0;1.6;0.0;5.0;1.75
22.0;0.0;17.0;1.0;1.0;1.0;4.0;0.0;1.2485285456935955;False;1.0;1.9411764705882355;0.0;5.0;3.0
22.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
23.0;0.0;16.0;1.0;1.0;1.0;4.0;0.0;2.2060522810365732;False;2.0;2.25;0.0;10.0;2.25
23.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
20.0;0.0;5.0;1.0;1.0;1.0;4.0;0.0;3.2710854467592254;False;4.0;3.8;0.0;9.0;4.0
1.0;0.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
