;NORM;NMIR;WMC_CK_max;WMC;WMC_CK_25%;WMC_CK_50%;WMC_CK_count;DIT;NPM;NOCh;WMC_CK_std;Bugged;WMC_CK_min;WMC_CK_mean;WMC_CK_75%;NMI
count;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150;150.0;150.0;150.0;150.0
unique;;;;;;;;;;;;2;;;;
top;;;;;;;;;;;;False;;;;
freq;;;;;;;;;;;;143;;;;
mean;0.0;0.0;4.92;18.946666666666665;1.1966666666666668;1.4133333333333333;9.293333333333333;0.49333333333333335;3.3733333333333335;0.0;1.2843395170291636;;1.1133333333333333;1.8872679862846766;1.9466666666666668;0.0
std;0.0;0.0;9.221014808249672;37.83215965617823;1.3886484504782555;1.495795748656956;13.383124035461446;0.5016304512484133;8.004651891342059;0.0;2.818917581549861;;1.3636541250283867;1.8850339078821992;2.049428359214484;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
25%;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;;1.0;1.0;1.0;0.0
50%;0.0;0.0;2.0;0.0;1.0;1.0;5.0;0.0;0.0;0.0;0.3797491885604837;;1.0;1.312937062937063;1.0;0.0
75%;0.0;0.0;6.0;26.0;1.0;2.0;11.0;1.0;4.0;0.0;1.598250682058665;;1.0;2.333333333333333;2.0;0.0
max;0.0;0.0;91.0;267.0;14.0;14.0;93.0;1.0;72.0;0.0;26.877499883731748;;14.0;14.0;14.0;0.0
