accuracy_score;precision_score;recall_score;f1_score;roc_auc_score;pr_auc_score;type;data_type
0.9690601284296556;0.17307692307692307;0.47368421052631576;0.2535211267605634;0.8610265332753371;0.09062291195937437;one;checkstyle
0.968476357267951;0.1568627450980392;0.42105263157894735;0.22857142857142856;0.8542844715093518;0.08050848819521128;one;ck
0.963806187974314;0.10909090909090909;0.3157894736842105;0.16216216216216217;0.8691045796308954;0.07043072605229081;one;mood
0.9702276707530648;0.15217391304347827;0.3684210526315789;0.21538461538461537;0.8740912197849997;0.08053988364159542;one;halstead
0.978984238178634;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.5274498229043683;0.014055426453384968;one;jasome_mood
0.9813193228254524;0.15789473684210525;0.15789473684210525;0.15789473684210525;0.7115360715839185;0.06573369611543878;one;jasome_ck
0.968476357267951;0.1568627450980392;0.42105263157894735;0.22857142857142856;0.9052849064810787;0.12193871797562128;one;jasome_lk
0.9731465265615878;0.034482758620689655;0.05263157894736842;0.041666666666666664;0.5632573168458335;0.013918770345934146;one;jasome_files
0.9690601284296556;0.14583333333333334;0.3684210526315789;0.20895522388059704;0.8897657366556888;0.08483985221697851;one;jasome_methods
0.9889083479276124;0.0;0.0;0.0;0.6710837009880072;0.0262142100497152;one;process_files
0.9731465265615878;0.15384615384615385;0.3157894736842105;0.20689655172413793;0.8776797365314112;0.14281238245461964;one;issues_files
0.9696438995913602;0.16326530612244897;0.42105263157894735;0.2352941176470588;0.8881656620891071;0.0848935285106961;all;bugged
0.9696438995913602;0.16326530612244897;0.42105263157894735;0.2352941176470588;0.8881656620891071;0.0848935285106961;all;bugged_methods
0.9702276707530648;0.16666666666666666;0.42105263157894735;0.23880597014925375;0.8799788728018393;0.08115656159720921;all;checkstyle
0.9696438995913602;0.16326530612244897;0.42105263157894735;0.2352941176470588;0.8881656620891071;0.0848935285106961;all;source_monitor
0.9696438995913602;0.16326530612244897;0.42105263157894735;0.2352941176470588;0.8881656620891071;0.0848935285106961;all;source_monitor_files
0.9696438995913602;0.16326530612244897;0.42105263157894735;0.2352941176470588;0.8879015721120984;0.08909401584568175;all;ck
0.9696438995913602;0.16326530612244897;0.42105263157894735;0.2352941176470588;0.8807090039147456;0.08389233464587585;all;mood
0.9702276707530648;0.16666666666666666;0.42105263157894735;0.23880597014925375;0.8904647983595353;0.08643710524334143;all;halstead
0.9690601284296556;0.16;0.42105263157894735;0.2318840579710145;0.8933387186975704;0.0856379929558384;all;jasome_mood
0.9702276707530648;0.16666666666666666;0.42105263157894735;0.23880597014925375;0.8858665258186789;0.08416077210547708;all;jasome_ck
0.9690601284296556;0.16;0.42105263157894735;0.2318840579710145;0.8894550425650904;0.08423757683218239;all;jasome_lk
0.9702276707530648;0.16666666666666666;0.42105263157894735;0.23880597014925375;0.8839712918660286;0.0852770670095156;all;jasome_files
0.9690601284296556;0.16;0.42105263157894735;0.2318840579710145;0.8921580811532964;0.08379034882217926;all;jasome_methods
0.9702276707530648;0.16666666666666666;0.42105263157894735;0.23880597014925375;0.8827906543217547;0.08508312954649648;all;process_files
0.968476357267951;0.1568627450980392;0.42105263157894735;0.22857142857142856;0.8961971043310757;0.08554263389225676;all;issues_files
