accuracy_score;precision_score;recall_score;f1_score;roc_auc_score;pr_auc_score;type;data_type
0.8085106382978723;0.0;0.0;0.0;0.7836538461538461;0.3385792829049408;one;checkstyle
0.8085106382978723;0.0;0.0;0.0;0.7900641025641025;0.32014509494129056;one;ck
0.8085106382978723;0.0;0.0;0.0;0.6634615384615384;0.23634901705327177;one;halstead
0.8085106382978723;0.0;0.0;0.0;0.36538461538461536;0.09859943094216914;one;jasome_mood
0.8085106382978723;0.0;0.0;0.0;0.657051282051282;0.22768233943381078;one;jasome_ck
0.8085106382978723;0.0;0.0;0.0;0.5288461538461539;0.1618997155624004;one;jasome_lk
0.8085106382978723;0.0;0.0;0.0;0.5128205128205128;0.1987954760215151;one;jasome_files
0.8085106382978723;0.0;0.0;0.0;0.5336538461538461;0.19042923508825949;one;jasome_methods
0.8297872340425532;0.0;0.0;0.0;0.34935897435897434;0.10571808510638298;one;process_files
0.8085106382978723;0.0;0.0;0.0;0.4791666666666667;0.15834461076106546;one;issues_files
0.8085106382978723;0.0;0.0;0.0;0.6410256410256411;0.20608145348594517;all;bugged
0.8085106382978723;0.0;0.0;0.0;0.6410256410256411;0.20608145348594517;all;bugged_methods
0.8085106382978723;0.0;0.0;0.0;0.6057692307692308;0.18895947802197804;all;checkstyle
0.8085106382978723;0.0;0.0;0.0;0.6410256410256411;0.20608145348594517;all;source_monitor
0.8085106382978723;0.0;0.0;0.0;0.6410256410256411;0.20608145348594517;all;source_monitor_files
0.8085106382978723;0.0;0.0;0.0;0.6410256410256411;0.201383363029161;all;ck
0.8085106382978723;0.0;0.0;0.0;0.6410256410256411;0.20608145348594517;all;mood
0.8085106382978723;0.0;0.0;0.0;0.625;0.20095306539666297;all;halstead
0.8085106382978723;0.0;0.0;0.0;0.5961538461538463;0.19084398415646364;all;jasome_mood
0.8085106382978723;0.0;0.0;0.0;0.6362179487179488;0.19960767738159335;all;jasome_ck
0.8085106382978723;0.0;0.0;0.0;0.6346153846153847;0.20193128794339327;all;jasome_lk
0.8085106382978723;0.0;0.0;0.0;0.6490384615384616;0.21933359284950033;all;jasome_files
0.8085106382978723;0.0;0.0;0.0;0.5993589743589743;0.20214667889300242;all;jasome_methods
0.8085106382978723;0.0;0.0;0.0;0.5977564102564102;0.18505897104687427;all;process_files
0.8085106382978723;0.0;0.0;0.0;0.6682692307692307;0.22776286955701402;all;issues_files
