blame_merge_priorityMinor_max;Maximum Depth_75%;blame_merge_priorityMajor_max;Maximum Depth_std;Mit;issues_priorityMajor_mean;NumberOfModifiers_max;PMi;MaxNumberOfNestedBlocks_mean;blamemerge_priorityMinor_min;Average Complexity*;MaxNumberOfNestedBlocks_25%;HMi;Maximum Depth_max;blamemerge_priorityMajor_std;issues_priorityMajor_min;issues_priorityMinor_max;issues_priorityMinor_min;blamemerge_priorityMinor_std;NumberOfMathOperations_count;Ait;blamemerge_priorityMajor_count;NumberOfMathOperations_min;NOPa;blamemerge_priorityMinor_max;MaxNumberOfNestedBlocks_max;Maximum Depth_mean;blamemerge_priorityMajor_min;Bugged;blamemerge_priorityMinor_count;MaxNumberOfNestedBlocks_count;Ai;blame_merge_priorityMajor_min;NM;NumberOfMathOperations_std;NumberOfMathOperations_75%;HMd;issues_priorityMajor_std;Maximum Block Depth;NMIR;issues_priorityMajor_max;NF;blamemerge_priorityMinor_mean;PMd;NMI;issues_priorityMinor_std;NMA;NumberOfModifiers_mean;MaxNumberOfNestedBlocks_50%;Mo;NumberOfModifiers_std;Average Statements per Method;NumberOfModifiers_25%;Ao;Maximum Depth_25%;issues_priorityMinor_count;NumberOfModifiers_count;NumberOfModifiers_75%;blame_merge_priorityMinor_min;NumberOfMathOperations_max;NumberOfMethods_Mood;blamemerge_priorityMajor_max;Md;Ma;Mi;Maximum Depth_count;blame_merge_priorityMajor_std;SIX;Maximum Depth_min;issues_priorityMinor_mean;blame_merge_priorityMinor_std;MaxNumberOfNestedBlocks_std;Maximum Depth_50%;blame_merge_priorityMajor_mean;NumberOfMathOperations_mean;NumberOfModifiers_50%;NumberOfModifiers_min;NumberOfMathOperations_25%;NumberOfMathOperations_50%;blamemerge_priorityMajor_mean;Ad;MaxNumberOfNestedBlocks_75%;blame_merge_priorityMinor_mean;Av;Average Block Depth;blame_merge_priorityMinor_count;MaxNumberOfNestedBlocks_min;issues_priorityMajor_count;blame_merge_priorityMajor_count;Maximum Complexity*;PMR
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;435.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;435.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;435.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;435.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9623893805309734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25754574674692704;0.0;1.0;0.0;0.2476521992915204;0.0;0.0;1555.0;0.0;0.0;1.0;0.0;0.0;0.0;False;1555.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1904634298576525;0.0;0.0;1.0;0.0;0.06559485530546624;0.0;0.0;0.1904634298576525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;452.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03761061946902655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9286173633440514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;452.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.4571428571428571;9.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.4407085838230111;0.0;1.0;0.0;0.4407085838230111;2.0;0.0;138.0;0.0;0.0;1.0;0.0;0.0;0.0;False;138.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.505432670960188;2.0;0.0;1.0;6.0;0.7391304347826086;2.0;0.0;0.505432670960188;2.0;9.0;0.0;0.0;0.0;1.0;9.0;0.0;0.0;35.0;2.0;9.0;0.0;0.0;2.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.5428571428571428;0.0;0.0;0.0;0.0;0.0;9.0;9.0;0.0;0.0;0.2608695652173913;6.0;0.0;0.0;6.0;0.92;0.0;0.0;35.0;0.0;1.0;1.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;435.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;435.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;435.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.18;0.0;0.0;435.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;435.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;435.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;435.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.18;0.0;0.0;435.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;435.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;435.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;435.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;435.0;0.0;0.0;0.0
