NumberOfProtectedMethod;NumberOfPrivateMethod;NumberOfLogStatements;MethodLength;NumberOfTryCatch;NumberOfParameters_CK;NPathComplexity;NumberOfAnonymousClasses;NumberOfStringLiterals;CBO;BooleanExpressionComplexity;NumberOfNumbers;CyclomaticComplexity;IsConstructor;NumberOfVariables;NumberOfAssignments;ThrowsCount;NumberOfMathOperations;NCSSForThisClass;NumberOfMethods_Checkstyle;MaxNumberOfNestedBlocks;LOCMethod_CK;FileLength;Maximum Depth;ClassFanOutComplexity;NestedTryDepth;NumberOfLoops;RFC;ExecutableStatementCount;AnonymousInnerClassLength;NumberOfPublicMethods_Checkstyle;WMC_CK;NumberOfLambdas;NumberOfPackageMethod;NestedForDepth;NumberOfInnerClasses;NumberOfUniqueWords;NumberOfParenthesizedExps;ClassDataAbstractionCoupling;NumberOfComparisons;NCSSForThisMethod;NumberOfModifiers;BuggedMethods;Returns;NCSSForThisFile;NestedIfElseDepth
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;2.0;1.0;False;1.0;0.0;0.0
0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;False;0.0;0.0;0.0;0.0;212.0;13.0;0.0;3.0;680.0;2.0;19.0;0.0;0.0;0.0;1.0;0.0;13.0;1.0;0.0;0.0;0.0;0.0;11.0;0.0;12.0;0.0;2.0;1.0;False;1.0;232.0;0.0
0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;2.0;1.0;False;1.0;0.0;0.0
0.0;0.0;0.0;8.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;False;1.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;3.0;1.0;False;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;False;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;1.0;False;1.0;0.0;0.0
