;TLOC;PMd;NPF;ClRCi;ClTCi;Bugged;NSF;NSM;NOL;NOD;NOA;RTLOC
count;1877.0;1877.0;1877.0;1877.0;1877.0;1877;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0
unique;;;;;;2;;;;;;
top;;;;;;False;;;;;;
freq;;;;;;1842;;;;;;
mean;27.67980820458178;1.6995205114544485;0.07671816728822589;0.96406656629675;7.81878724431593;;0.35801811401172084;0.21417155034629728;0.006393180607352157;0.0;0.0;46.97336174746937
std;67.69527768506985;3.5218272758025084;0.9272447504539458;2.1616320629659453;36.937994523134485;;1.2436216429109312;1.1790420736737761;0.09774450462173453;0.0;0.0;106.58811351401842
min;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
75%;22.0;2.0;0.0;1.6;6.0;;0.0;0.0;0.0;0.0;0.0;41.0
max;527.0;42.0;27.0;50.059843367;851.017337238;;28.0;20.0;2.0;0.0;0.0;727.0
