;Fout_mean;MCLC_50%;blamemerge_blamegetDifficulty_std;NOP_std;Fin_std;blame_merge_blame_getDistinctOperandsCnt_count;NVAR_min;blame_merge_blame_getDistinctOperatorsCnt_count;MCLC_max;NOP_50%;Fin_mean;NCOMP_count;blamemerge_blamegetDistinctOperatorsCnt_std;NVAR_75%;NCOMP_std;IOVars_min;Di_max;blamemerge_blamegetDistinctOperatorsCnt_mean;Si_count;blamemerge_blamegetDistinctOperandsCnt_mean;NOPa;Di_50%;Di_75%;blamemerge_blamegetDistinctOperatorsCnt_count;NBD_50%;NCOMP_75%;MCLC_25%;VG_75%;NBD_mean;Bugged;MCLC_std;Fin_50%;ClRCi;blamemerge_blamegetDistinctOperandsCnt_count;Ci_std;MCLC_min;NumberOfDistinctOperands;Di_25%;NVAR_count;blame_merge_blame_getDifficulty_std;NVAR_max;blame_merge_blame_getDistinctOperatorsCnt_std;NBD_25%;Fin_25%;blamemerge_blamegetDifficulty_max;blamemerge_blamegetDistinctOperandsCnt_max;Ci_50%;NBD_std;blame_merge_blame_getDifficulty_count;ClTCi;IOVars_max;blame_merge_blame_getDifficulty_mean;Si_max;NumberOfDistinctOperators;MCLC_mean;NOP_count;IOVars_std;Fout_50%;NOP_min;MCLC_count;VG_min;NBD_count;blame_merge_blame_getDistinctOperatorsCnt_max;NVAR_25%;NVAR_50%;Si_75%;Difficulty;blame_merge_blame_getDistinctOperatorsCnt_mean;VG_25%;NBD_max;Si_min;blamemerge_blamegetDistinctOperandsCnt_std;Si_std;IOVars_50%;blame_merge_blame_getDistinctOperandsCnt_mean;VG_count;Fin_count;NCOMP_max;blamemerge_blamegetDifficulty_mean;blame_merge_blame_getDistinctOperandsCnt_max;VG_50%;Fin_min;Ci_max;Si_25%;VG_std;MCLC_75%;NOP_mean;blame_merge_blame_getDifficulty_min;Fout_25%;blame_merge_blame_getDistinctOperandsCnt_std;Di_min;Ci_mean;Di_std;NCOMP_min;Fout_count;NCOMP_50%;NOP_max;IOVars_mean;Fout_75%;IOVars_count;NVAR_std;Fout_max;NCOMP_25%;Di_mean;Fout_min;Di_count;Si_50%;NOP_25%;Fin_max;NOP_75%;Si_mean;blame_merge_blame_getDistinctOperandsCnt_min;NBD_75%;Ci_min;Ci_count;NCOMP_mean;Fin_75%;NVAR_mean;blame_merge_blame_getDistinctOperatorsCnt_min;IOVars_25%;Ci_75%;Fout_std;Ci_25%;blame_merge_blame_getDifficulty_max;NBD_min;VG_max;IOVars_75%;VG_mean;blamemerge_blamegetDifficulty_count;blamemerge_blamegetDistinctOperatorsCnt_max
count;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.0935366585275052;0.97;1.2802594492732602;0.2787597834296056;0.1774386497865088;0.0;0.12;0.0;7.06;0.5633333333333334;0.0914491164399631;3.8666666666666667;2.2084797417050614;0.53;2.014432869156504;0.7066666666666667;1.3966666666666667;1.626603552893939;3.8666666666666667;1.469147829094907;0.0;0.91;1.0341666666666667;3313.6666666666665;0.65;1.6083333333333334;0.5566666666666666;1.2483333333333333;0.7678359860751164;;2.4881139371179013;0.03;1.5729650820733334;3313.6666666666665;0.9744632039313297;0.41333333333333333;175.31333333333333;0.7521111111116666;3.8666666666666667;0.0;1.58;0.0;0.5533333333333333;0.0016666666666666668;7.423374210212445;11.6;0.9916666666666667;0.3506231789657311;0.0;20.23898331298;1.4266666666666667;0.0;2.7266666666666666;29.466666666666665;1.9588090165618768;3.8666666666666667;0.2694834235433711;0.03666666666666667;0.30666666666666664;3.8666666666666667;0.6466666666666666;3.8666666666666667;0.0;0.16166666666666665;0.2866666666666667;0.23;64.99531395656379;0.0;0.7;1.4733333333333334;0.0;2.1627138145585256;0.8551187404652109;0.97;0.0;3.8666666666666667;3.8666666666666667;5.6;0.829062131223907;0.0;0.8633333333333333;0.0;3.7714277574266664;0.013333333333333334;0.9932181690131269;2.183333333333333;0.6009423339183064;0.0;0.013333333333333334;0.0;0.6420944241;1.282703385538545;0.2816305441075906;0.2866666666666667;3.8666666666666667;0.6766666666666666;1.02;0.9988630307737859;0.11666666666666667;3.8666666666666667;0.5409139979472838;0.47333333333333333;0.37666666666666665;0.9350414610573984;0.0;3.8666666666666667;0.03666666666666667;0.43666666666666665;0.6;0.6933333333333334;0.34766192448114647;0.0;0.835;0.7066666666666667;3.8666666666666667;1.4844642192285213;0.085;0.4743447973333557;0.0;0.8433333333333334;1.2398333333383333;0.16068819434123965;0.8658333333333333;0.0;0.5266666666666666;3.6133333333333333;1.0816666666666668;1.2186611944289292;3313.6666666666665;10.153333333333334
std;0.27963102258926836;2.870370506683342;0.4567222362788268;0.5088961347002594;0.502890357551191;0.0;0.7501230324142762;0.0;16.32235260711128;0.8998446298899796;0.27674824614921345;9.194882342778465;0.6915315128452943;1.1661184394241866;5.85984657704944;1.0589767548618845;1.8053766331356003;0.9046401571332052;9.194882342778465;1.274179218010228;0.0;1.2037692481055344;1.3309286025892435;6098.545945817236;0.8429534208950443;4.611720611901499;2.4889262574429187;2.1377669515524578;0.9558024437293023;;6.406980193521333;0.17599191561664448;2.4694202514245154;6098.545945817236;4.418628900236124;2.3607150170020272;322.683528480418;1.0794178020809881;9.194882342778465;0.0;2.963468854401327;0.0;0.7162932797673178;0.02041241452319315;4.010128721867113;8.889326983984105;1.2712676211770848;0.6813755832095766;0.0;36.71164757048111;1.8331279120220856;0.0;14.735655824316304;12.017697613453736;4.556397376493951;9.194882342778465;0.48288664374221213;0.18406909509023456;0.732254646969856;9.194882342778465;1.2592565542220657;9.194882342778465;0.0;0.78585260556505;0.9202178518451954;1.3877218064441217;63.851910661731694;0.0;1.331094316920072;2.342191558677289;0.0;2.0968301992731644;4.540777755940858;1.245434615927442;0.0;9.194882342778465;9.194882342778465;14.519138029770113;0.5110413089049667;0.0;1.5358104201145524;0.0;14.68865420934172;0.10357156632604543;2.8015716098665835;5.458712224498388;0.888713816368461;0.0;0.10357156632604543;0.0;1.033416735807851;2.209730662856065;0.4977414204746028;1.73528972366459;9.194882342778465;2.0999653773645304;1.4722032978959023;1.258474310578329;0.4511977596847296;9.194882342778465;1.0446420495903586;1.5872675718098117;1.8187010139316642;1.2066620010973539;0.0;9.194882342778465;0.18406909509023456;0.7815976295934692;1.7835941392848529;1.0121521138475162;1.6386628667711416;0.0;1.0986683519838945;1.0589767548618845;9.194882342778465;3.9046388859564947;0.3249031864062167;0.9893455434247974;0.0;1.132033074354176;1.9229017516664504;0.5152842291536223;1.1353547204126606;0.0;0.6824419897333622;9.460469976170444;1.3725180976626987;1.978402673519437;6098.545945817236;3.1361427739950605
min;0.0;0.0;0.3274660937458892;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6014167670256413;0.0;0.0;0.0;0.0;0.09583333333333334;0.0;0.09166666666666666;0.0;0.0;0.0;37.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;37.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.75;0.0;0.0;0.0;0.0;0.6452185592530209;0.0;0.0;0.0;0.0;0.0;0.0;0.04670138888888888;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;3.0
25%;0.0;0.0;1.0299507596977873;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.832822920330748;0.0;0.0;0.0;0.0;1.0784160187929974;0.0;0.7956169395310566;0.0;0.0;0.0;301.5;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;301.5;0.0;0.0;43.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.888888888888889;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.75;0.0;0.0;0.0;0.0;1.6065813341133368;0.0;0.0;0.0;0.0;0.0;0.0;0.5186280519281019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;301.5;8.0
50%;0.0;0.0;1.2865035710215142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.243533798370619;0.0;0.0;0.0;0.0;1.5078404910906225;0.0;1.2199390453296703;0.0;0.0;0.0;842.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;842.0;0.0;0.0;110.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.75875924140148;0.0;0.0;0.0;0.0;1.8887803917910315;0.0;0.0;0.0;0.0;0.0;0.0;0.7793980174414957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;842.0;11.0
75%;0.0;0.0;1.5335099857746068;0.5;0.0;0.0;0.0;0.0;5.0;1.0;0.0;4.0;2.5817313637208588;0.4375;1.0267941110159697;1.0;3.0;2.0824678773173244;4.0;1.9667590027700832;0.0;2.0;2.0;1754.25;1.0;1.0;0.0;2.0;1.5;;1.8439004596343311;0.0;2.5;1754.25;0.4910893752302114;0.0;188.0;1.1875;4.0;0.0;2.0;0.0;1.0;0.0;9.0;13.0;2.0;0.45100366152497356;0.0;26.0;3.0;0.0;0.0;39.0;1.727272727272727;4.0;0.48543673037611246;0.0;0.0;4.0;1.0;4.0;0.0;0.0;0.0;0.0;100.75265957446808;0.0;1.0;2.0;0.0;2.3170144264353434;0.0;2.0;0.0;4.0;4.0;3.0;1.015961367824722;0.0;1.0;0.0;3.0;0.0;0.6624174266853196;2.0;1.0;0.0;0.0;0.0;1.0;2.0;0.5033937343321347;0.0;4.0;0.0;2.0;2.0;0.0;4.0;0.6189517539346301;0.0;0.0;2.0;0.0;4.0;0.0;1.0;0.0;1.0;0.0;0.0;1.5;1.0;4.0;1.0681818181818181;0.0;0.5;0.0;2.0;2.0;0.0;2.0;0.0;1.0;3.0;2.0;1.977272727272727;1754.25;12.0
