;NumberOfInnerClasses;NumberOfStringLiterals;NumberOfLambdas;NumberOfModifiers;NumberOfAnonymousClasses;NumberOfAssignments;NumberOfUniqueWords;LOCMethod_CK;NumberOfLoops;NumberOfParameters_CK;BuggedMethods;MaxNumberOfNestedBlocks;IsConstructor;NumberOfLogStatements;NumberOfNumbers;Returns;NumberOfComparisons;NumberOfTryCatch;CBO;NumberOfVariables;NumberOfParenthesizedExps;RFC;WMC_CK;NumberOfMathOperations
count;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572;1572.0;1572;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0
unique;;;;;;;;;;;2;;2;;;;;;;;;;;
top;;;;;;;;;;;False;;False;;;;;;;;;;;
freq;;;;;;;;;;;1570;;1551;;;;;;;;;;;
mean;0.0;2.5197201017811706;0.0;6.035623409669212;0.0;1.3791348600508906;10.522900763358779;4.827608142493639;0.0693384223918575;0.15521628498727735;;0.13994910941475827;;0.0;8.11323155216285;0.21055979643765904;0.09351145038167939;0.003816793893129771;1.35941475826972;0.5502544529262087;0.10432569974554708;1.5534351145038168;0.9389312977099237;0.11513994910941476
std;0.0;9.279875925059397;0.0;63.23403834992779;0.0;7.275869608754422;29.52701807959134;12.28673661953699;0.3084241707487093;0.4297403672400176;;0.476841931707961;;0.0;270.3334596469701;0.5066739230283905;0.7404188850013491;0.061681814466882694;1.4458022517713114;1.3931335428625562;0.9327790504704989;1.9432612921679482;2.6807821384249744;0.7603140449732431
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;1.0;0.0;0.0;6.0;3.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0
75%;0.0;2.0;0.0;1.0;0.0;0.0;16.0;5.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;1.0;0.0
max;0.0;114.0;0.0;1025.0;0.0;98.0;1081.0;225.0;5.0;6.0;;5.0;;0.0;10713.0;4.0;21.0;1.0;8.0;12.0;11.0;18.0;91.0;15.0
