;NumberOfLoops_count;NumberOfComparisons_std;NumberOfLambdas_75%;NumberOfStringLiterals_max;RFC_std;NumberOfVariables_max;NumberOfStringLiterals_25%;LOCMethod_CK_mean;IsConstructor_freq;NumberOfUniqueWords_max;RFC_75%;NumberOfAnonymousClasses_min;NumberOfAnonymousClasses_std;NumberOfNumbers_count;NumberOfParenthesizedExps_count;Returns_min;RFC_50%;NumberOfMathOperations_mean;NumberOfLoops_min;LOCMethod_CK_std;NumberOfUniqueWords_75%;WMC_CK_mean;RFC_max;NumberOfParameters_CK_mean;NumberOfTryCatch_max;NumberOfParenthesizedExps_mean;NumberOfLoops_std;MaxNumberOfNestedBlocks_25%;IsConstructor_count;NumberOfTryCatch_75%;NumberOfInnerClasses_std;NumberOfComparisons_max;NumberOfComparisons_count;NumberOfAnonymousClasses_mean;NumberOfComparisons_75%;LOCMethod_CK_min;NumberOfParameters_CK_50%;NumberOfLambdas_std;NumberOfUniqueWords_std;NumberOfAnonymousClasses_75%;CBO_25%;Bugged;WMC_CK_25%;NumberOfLambdas_25%;NumberOfParenthesizedExps_max;NumberOfVariables_25%;NumberOfMathOperations_25%;NumberOfLogStatements_75%;NumberOfParameters_CK_count;LOCMethod_CK_50%;Returns_25%;MaxNumberOfNestedBlocks_max;NumberOfTryCatch_50%;RFC_25%;Returns_mean;NumberOfMathOperations_75%;NumberOfStringLiterals_min;NumberOfNumbers_mean;NumberOfNumbers_max;NumberOfComparisons_min;NumberOfModifiers_std;NumberOfParameters_CK_75%;NumberOfModifiers_50%;NumberOfModifiers_max;NumberOfInnerClasses_25%;NumberOfAnonymousClasses_25%;NumberOfLogStatements_mean;NumberOfTryCatch_25%;NumberOfLoops_max;Returns_std;NumberOfStringLiterals_count;WMC_CK_count;NumberOfLambdas_min;NumberOfLogStatements_min;CBO_mean;WMC_CK_min;NumberOfTryCatch_count;NumberOfLoops_50%;MaxNumberOfNestedBlocks_50%;NumberOfLoops_mean;NumberOfUniqueWords_count;RFC_count;NumberOfNumbers_75%;WMC_CK_std;NumberOfModifiers_count;Returns_max;RFC_min;NumberOfComparisons_50%;NumberOfParenthesizedExps_std;NumberOfUniqueWords_50%;NumberOfLambdas_count;NumberOfLogStatements_std;NumberOfParameters_CK_25%;NumberOfVariables_mean;LOCMethod_CK_count;NumberOfInnerClasses_min;NumberOfNumbers_min;NumberOfAssignments_mean;NumberOfParenthesizedExps_25%;NumberOfNumbers_25%;NumberOfMathOperations_50%;WMC_CK_50%;NumberOfUniqueWords_25%;NumberOfMathOperations_std;NumberOfStringLiterals_std;NumberOfMathOperations_min;NumberOfStringLiterals_50%;MaxNumberOfNestedBlocks_std;IsConstructor_top;NumberOfComparisons_mean;NumberOfAssignments_min;NumberOfModifiers_75%;LOCMethod_CK_25%;NumberOfLoops_25%;Returns_50%;NumberOfLambdas_50%;MaxNumberOfNestedBlocks_min;NumberOfVariables_75%;NumberOfLogStatements_count;RFC_mean;IsConstructor_unique;NumberOfStringLiterals_mean;NumberOfLambdas_max;NumberOfInnerClasses_max;NumberOfAnonymousClasses_max;NumberOfAssignments_50%;CBO_50%;NumberOfVariables_std;NumberOfNumbers_50%;MaxNumberOfNestedBlocks_75%;NumberOfLoops_75%;NumberOfModifiers_min;NumberOfMathOperations_max;Returns_count;NumberOfTryCatch_mean;NumberOfVariables_min;NumberOfUniqueWords_min;WMC_CK_max;NumberOfTryCatch_min;NumberOfLogStatements_25%;NumberOfInnerClasses_count;NumberOfAnonymousClasses_count;CBO_min;NumberOfInnerClasses_mean;NumberOfLambdas_mean;WMC_CK_75%;NumberOfParenthesizedExps_min;NumberOfComparisons_25%;MaxNumberOfNestedBlocks_mean;NumberOfParameters_CK_min;NumberOfVariables_50%;NumberOfVariables_count;NumberOfAssignments_std;NumberOfModifiers_mean;NumberOfNumbers_std;NumberOfLogStatements_50%;CBO_std;NumberOfUniqueWords_mean;NumberOfAssignments_25%;NumberOfAssignments_count;CBO_count;NumberOfParameters_CK_std;CBO_max;NumberOfMathOperations_count;Returns_75%;NumberOfAssignments_75%;LOCMethod_CK_75%;NumberOfAssignments_max;NumberOfLogStatements_max;CBO_75%;NumberOfTryCatch_std;NumberOfParenthesizedExps_50%;NumberOfParenthesizedExps_75%;NumberOfStringLiterals_75%;NumberOfInnerClasses_75%;NumberOfAnonymousClasses_50%;NumberOfInnerClasses_50%;MaxNumberOfNestedBlocks_count;NumberOfParameters_CK_max;LOCMethod_CK_max;NumberOfModifiers_25%
count;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;3.0151994933502215;0.1329739955225642;0.0;1.2558581380620646;1.0741592952551406;0.9081697276757441;0.38204559848005065;4.516209432520559;2.9341355288157063;9.72007599746675;2.489392020265991;0.001266624445851805;0.0096417603295922;3.0151994933502215;3.0151994933502215;0.2324255858138062;1.916402786573781;0.10882996214645732;0.018999366687777075;2.1074992363088656;7.477042431918936;1.1846671354851692;3.469284357188094;0.5434268614454064;0.10766307789740343;0.045433844235980944;0.062038427968875;0.1220709309689677;3.0151994933502215;0.04670677644078531;0.0;0.3597213426219126;3.0151994933502215;0.006996036768739997;0.1610196326789107;2.8663711209626346;0.5082330588980367;0.0;2.290573867756636;0.006808106396453451;1.2704243191893603;;0.987017099430019;0.0;0.16402786573780875;0.24810006333122228;0.06222292590246992;0.03008233058898037;3.0151994933502215;4.022482583913869;0.337555414819506;0.4914502849905003;0.02786573780873971;1.4648511716276125;0.4611890034379149;0.11985433818872704;0.3039898670044332;0.25330593717633865;0.5845471817606079;0.044331855604813175;8.251987595411569;0.6372704243191893;10.21469284357188;20.436352121595945;0.0;0.0034832172260924636;0.026868355366721993;0.01630778974034199;0.17036098796706775;0.2647319556592908;3.0151994933502215;3.0151994933502215;0.0;0.013299556681443952;1.629725692051133;0.9233692210259657;3.0151994933502215;0.035148828372387586;0.19854338188727041;0.056947079340394245;3.0151994933502215;3.0151994933502215;0.3101646611779607;0.3513166858822523;3.0151994933502215;0.7846738442051931;1.1044965167827738;0.09404686510449652;0.0754210242440089;6.271690943635212;3.0151994933502215;0.02306923787641524;0.4118112729575681;0.4296655810298954;3.0151994933502215;0.0;0.1013299556681444;0.6390266894941791;0.006016466117796073;0.12935402153261558;0.07726409119696011;1.1003799873337556;5.31111462951235;0.10088376205567666;0.4507620598068594;0.0512982900569981;0.4765674477517416;0.1872318650070148;;0.13330911389382827;0.24319189360354654;14.325364154528183;3.288315389487017;0.025490816972767574;0.4252691576947435;0.0;0.07916402786573781;0.5346738442051931;3.0151994933502215;2.050610671752554;0.8581380620645979;0.6068122771982707;0.0;0.0;0.023432552248258392;0.5307156428119063;1.5626979100696643;0.33759930040977243;0.1922102596580114;0.3036732108929702;0.06348955034832172;5.594680177327422;0.2773907536415453;3.0151994933502215;0.038971742622627197;0.17352754908169726;4.371120962634579;1.7618746041798607;0.01013299556681444;0.015357821405953135;3.0151994933502215;3.0151994933502215;1.0246991766941103;0.0;0.0;1.2800823305889804;0.0037998733375554147;0.060797973400886635;0.2307645979409581;0.3331222292590247;0.35085497150094996;3.0151994933502215;0.5160762065631832;11.592504695744596;0.2289187147587149;0.02089930335655478;0.6664694436074144;6.545651971789409;0.3611462951234959;3.0151994933502215;3.0151994933502215;0.24511549439186778;2.461051298290057;3.0151994933502215;0.5517732742241925;0.8028815706143129;5.286732108929702;1.3806206459784673;0.06713109563014566;1.9073780873970867;0.04613870323979962;0.012349588347055098;0.05272324255858138;0.7018682710576314;0.0;0.005699810006333122;0.0;3.0151994933502215;0.8613046231792274;7.538315389487017;8.072039265357821
std;4.675641054721584;0.40055092379116336;0.0;3.1226140003729324;2.140885257969769;1.7810587362927788;1.2942346791689547;5.856641766453741;4.61819499680504;12.093747496592238;3.9421823310530777;0.035578389069253535;0.07045397740725333;4.675641054721584;4.675641054721584;0.5007597586390115;3.2144482491015354;0.36962283212819375;0.20671554728682834;5.227869713347949;8.006625713475614;1.3093406031822834;5.4475992253680365;0.8270554554068827;0.3627955084639599;0.2934633186655624;0.23552974296679555;0.4209789484843672;4.675641054721584;0.207957773386134;0.0;1.0625787907536142;4.675641054721584;0.061084533933222204;0.5066873818338327;3.962498820055009;0.8380952551325803;0.0;4.085640044356629;0.07703435630189939;1.6280433752676682;;1.098768999682401;0.0;1.0604411111892644;0.7497863236765299;0.3220843648879104;0.3158729522893251;4.675641054721584;5.323707163686205;0.5313122930905159;1.0356859983745104;0.1587616597245345;2.769709785168682;0.5758859376196983;0.43053969322048874;1.1563690561698252;0.877056813156369;2.0712074922778214;0.31532144070472085;67.68988544096875;0.9243602026476438;84.12327327902463;132.81856353551507;0.0;0.0469665516530678;0.28808802052455273;0.11540850027393654;0.657978668276377;0.43341994820313245;4.675641054721584;4.675641054721584;0.0;0.2742898531060047;1.870384566087208;1.0499947720746614;4.675641054721584;0.2372199035753576;0.5253441444186793;0.2561067436623987;4.675641054721584;4.675641054721584;1.2500087090160725;0.9532975127050904;4.675641054721584;1.0899904962986595;2.6010330007387625;0.38449351120621605;0.5206158095346808;6.622203338027137;4.675641054721584;0.13202740696797116;0.7883246661846703;0.893560003358996;4.675641054721584;0.0;0.524306051774328;1.1946272874566837;0.07314604889447265;0.5589557420859693;0.3511467551414499;1.2332116642640085;5.73131517731809;0.3497593937472041;1.2592783069422546;0.31325273196658115;1.4530316621231378;0.42284127441864106;;0.4165039641633882;0.923779060234044;104.99735694864549;4.201782840185953;0.21568926655374648;0.5730434617058199;0.0;0.37601109700069985;1.0863871670349405;4.675641054721584;3.2263735719052513;0.5293795097446004;1.5491987916122842;0.0;0.0;0.1594767179030041;1.1514745853632218;1.8752765587173992;0.7391466984119157;0.751388316316675;0.6906209873349793;0.29913020569719145;68.09789696587245;0.8678538896789023;4.675641054721584;0.15570949745162324;0.6969303742009765;5.361135735323044;2.756541344605484;0.10018320376280307;0.2754073752213304;4.675641054721584;4.675641054721584;1.5183784818892205;0.0;0.0;1.5183334806589348;0.061545374978352566;0.33210012171793385;0.528077691218951;0.7680146195872294;0.8566915262929241;4.675641054721584;1.0443783990460742;85.72876539022096;0.9652647699764184;0.28459644230764;1.111726508925679;6.801645628329502;0.9849127479983825;4.675641054721584;4.675641054721584;0.45618285883070553;2.9370620947329984;4.675641054721584;0.6773915689340794;1.4792254654809442;8.046757943124412;2.57267583617276;0.40347359311885095;2.2208742305874374;0.16457449763028908;0.13790295955126927;0.36047452360104176;1.802572093557349;0.0;0.07097323488240034;0.0;4.675641054721584;1.2042977834097488;12.456983827675781;75.45772027732436
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
50%;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;6.0;0.5;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;5.5;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.75;;1.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;5.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;0.42857142857142855;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;3.0;1.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;2.0;2.0;0.0;1.0;2.0;0.5;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;1.0
75%;4.0;0.0;0.0;1.0;1.2583057392117916;1.0;0.0;6.0;4.0;13.0;4.0;0.0;0.0;4.0;4.0;0.0;3.0;0.0;0.0;2.0615528128088303;11.0;1.1742424242424243;5.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.0;3.0;1.0;0.0;3.3824884527856725;0.0;2.0;;1.0;0.0;0.0;0.0;0.0;0.0;4.0;5.0;1.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.4791184274255697;1.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.5477225575051662;4.0;4.0;0.0;0.0;3.0;1.0;4.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;4.0;1.0;1.0;0.0;0.0;8.75;4.0;0.0;1.0;0.5;4.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;7.0;0.0;0.3434433619633036;0.0;0.0;0.0;;0.0;0.0;2.0;4.0;0.0;1.0;0.0;0.0;0.75;4.0;3.0;1.0;0.5;0.0;0.0;0.0;1.0;3.0;0.3779644730092273;0.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;6.0;2.0;0.0;0.0;4.0;4.0;2.0;0.0;0.0;1.0;0.0;0.0;0.1111111111111111;0.0;0.0;4.0;0.7071067811865476;2.0;0.0;0.0;1.038400618467079;9.0;0.25;4.0;4.0;0.5;4.0;4.0;1.0;1.0;6.875;2.0;0.0;3.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;4.0;1.0;8.5;1.0
