;VG;NumberOfComparisons;NumberOfAnonymousClasses;NumberOfNumbers;NumberOfUniqueWords;IOVars;NumberOfParameters_CK;NumberOfLogStatements;IsConstructor;AnonymousInnerClassLength;NCOMP;NumberOfAssignments;NumberOfModifiers;Fout;Returns;NumberOfLoops;NumberOfTryCatch;WMC_CK;Si;RFC;Ci;NVAR;FileLength;Di;NBD;LOCMethod_CK;NumberOfMathOperations;NOP;MCLC;Maximum Depth;NumberOfVariables;NumberOfParenthesizedExps;NumberOfStringLiterals;MaxNumberOfNestedBlocks;NumberOfInnerClasses;NumberOfLambdas;CBO;BuggedMethods;Fin;MethodLength
count;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256;13256.0;13256.0
unique;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;
top;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;
freq;;;;;;;;;12775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13206;;
mean;1.2125075437537718;0.3336602293301147;0.004375377187688594;0.38314725407362704;8.317441158720579;0.6099124924562462;0.3313971031985516;0.02172601086300543;;0.7718014484007242;0.6200211225105613;0.9004978877489439;1.2202021726010863;0.13412794206397102;0.49419130959565477;0.07279722389861194;0.001584188292094146;1.4302957151478575;0.790132770066385;2.1610591430295716;1.3638786763246078;0.3822420036210018;20.136768255884128;0.5737459062582226;0.9136994568497284;5.540887145443572;0.07724803862401931;0.2684067592033796;1.002263126131563;0.945835847917924;0.5604254677127338;0.1357121303560652;0.46907060953530477;0.34007242003621;0.0;0.0;1.3709263729631864;;0.16173808086904043;7.6606065178032585
std;2.754405493518872;1.5818477276740512;0.0745899026275051;2.474784112018351;9.097676954053968;0.7666107244905358;0.5433436949596591;0.25438336162484065;;5.427375871969137;3.3249629817764523;2.4650213373177885;2.146751598605843;0.8787495195702076;1.1501251381192181;0.3776828516052435;0.03977182377630046;2.7652474081492;28.277589018364647;3.9324850900864115;28.274518010191315;1.2146527684871053;98.82779701089063;0.750388087236633;1.1828420077455488;9.679939704333387;0.8674897776952819;0.534795232973513;4.047939173311194;1.2796497935080826;1.5900387579019848;0.9519126006136538;2.3315415342770125;0.7782866949851152;0.0;0.0;2.1012319682854392;;1.3191916398954444;15.276562889763639
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
50%;1.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;3.0
75%;1.0;0.0;0.0;0.0;12.0;1.0;1.0;0.0;;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;1.0;1.0;6.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;;0.0;8.0
max;108.0;84.0;3.0;185.0;85.0;13.0;6.0;9.0;;193.0;163.0;73.0;42.0;52.0;36.0;10.0;1.0;110.0;2704.0;74.0;2704.018867925;36.0;2755.0;13.0;20.0;257.0;80.0;12.0;176.0;10.0;31.0;43.0;77.0;8.0;0.0;0.0;34.0;;114.0;384.0
