;Maximum Depth_50%;NumberOfMathOperations_min;issues_priorityMinor_max;issues_priorityMinor_count;Ait;HMd;issues_priorityMinor_std;MaxNumberOfNestedBlocks_mean;NumberOfModifiers_75%;Maximum Complexity*;blame_merge_priorityMinor_count;NumberOfMathOperations_max;blame_merge_priorityMajor_std;Maximum Depth_count;Average Block Depth;NumberOfMathOperations_75%;Ma;MaxNumberOfNestedBlocks_75%;MaxNumberOfNestedBlocks_min;issues_priorityMinor_min;blame_merge_priorityMinor_std;NumberOfMathOperations_mean;Maximum Depth_75%;blamemerge_priorityMajor_mean;Ao;blame_merge_priorityMinor_mean;blamemerge_priorityMajor_count;NumberOfModifiers_25%;blamemerge_priorityMinor_std;Average Complexity*;blame_merge_priorityMajor_count;Mo;Maximum Block Depth;Maximum Depth_min;Maximum Depth_25%;Maximum Depth_std;blame_merge_priorityMajor_min;NMA;Maximum Depth_mean;issues_priorityMajor_std;blamemerge_priorityMajor_max;blame_merge_priorityMajor_mean;blamemerge_priorityMajor_std;Bugged;Average Statements per Method;Ai;MaxNumberOfNestedBlocks_50%;blamemerge_priorityMinor_mean;NumberOfMathOperations_50%;SIX;HMi;NumberOfModifiers_count;NF;PMR;NumberOfModifiers_min;MaxNumberOfNestedBlocks_25%;NumberOfModifiers_max;Mi;PMi;blame_merge_priorityMajor_max;NumberOfModifiers_mean;NMI;NMIR;blamemerge_priorityMinor_count;issues_priorityMajor_count;Maximum Depth_max;Ad;issues_priorityMinor_mean;NumberOfModifiers_std;MaxNumberOfNestedBlocks_max;Av;NumberOfMathOperations_count;NumberOfMethods_Mood;PMd;blamemerge_priorityMinor_max;MaxNumberOfNestedBlocks_std;blamemerge_priorityMinor_min;Mit;NOPa;MaxNumberOfNestedBlocks_count;NumberOfMathOperations_std;issues_priorityMajor_mean;blame_merge_priorityMinor_max;NumberOfModifiers_50%;NumberOfMathOperations_25%;NM;blame_merge_priorityMinor_min;issues_priorityMajor_max;blamemerge_priorityMajor_min;Md;issues_priorityMajor_min
count;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;1.3748558246828142;0.020761245674740483;0.2918108419838524;412.55247981545557;0.0;1.4509803921568627;0.06945993123828297;0.28243677019462005;4.540369088811995;3.8016147635524797;0.0;0.3102652825836217;0.0;1.8604382929642445;1.439123414071511;0.08419838523644751;8.809688581314878;0.35986159169550175;0.08996539792387544;0.014994232987312572;0.0;0.07907052041582797;1.408881199538639;0.612181256143471;0.0;0.0;1434.6585928489042;1.1410034602076125;0.06790818690513993;1.4759630911188002;0.0;0.0;3.5870818915801617;1.3437139561707037;1.3618800461361016;0.06473767437642235;0.0;9.182237600922722;1.391528945645575;0.07137865926089082;0.6897347174163783;0.0;0.08415914022554592;;3.3361937716262977;0.0;0.20069204152249134;0.09447776969334991;0.03633217993079585;0.0;0.0;4.440599769319492;2.156862745098039;0.6381105256989619;1.0011534025374855;0.131199538638985;19.507497116493656;0.0;0.0;0.0;5.053950191532268;0.0;0.0;1434.6585928489042;412.55247981545557;1.4775086505190311;2.156862745098039;0.07346956945992587;8.029259368389017;0.7174163783160323;0.3990772779700115;4.440599769319492;6.289504036908881;7.358708189158016;0.23760092272202998;0.2805303309164609;0.03344867358708189;0.0;0.0;4.440599769319492;0.11264268537224977;0.8473192942145774;0.0;1.3829296424452133;0.0265282583621684;9.182237600922722;0.0;0.9054209919261822;0.4279123414071511;8.809688581314878;0.6113033448673587
std;1.315071568306015;0.24416114009007706;0.4548581193632537;349.8294410589298;0.0;2.680152581457299;0.13604596079984382;0.5046355730445754;43.6072459797926;3.9500164789510714;0.0;0.8819060287987868;0.0;3.169228680804532;0.6894657149193864;0.3857351307346012;13.110192014627861;0.649300728311911;0.38592844016219524;0.12159959171696748;0.0;0.30928432775348585;1.3548099304935426;0.4539250661534688;0.0;0.0;3740.7792683579673;1.6403102094204287;0.1475044146924893;0.9289955033730958;0.0;0.0;1.7794617725546915;1.2973472850900933;1.3026543498217271;0.2578743661925886;0.0;13.162389840137608;1.3299222595437883;0.13430544524879498;0.462869151080461;0.0;0.15707269474902988;;2.7435469194329;0.0;0.5176777787873605;0.24358706232002006;0.2804350306010263;0.0;0.0;6.458223438863176;4.3297492135806115;0.4030322219914223;1.4300466111839618;0.4215452609395249;129.17371398561272;0.0;0.0;0.0;29.424282981927462;0.0;0.0;3740.7792683579673;349.8294410589298;1.4545903364798314;4.3297492135806115;0.21314425207928936;57.3213780618542;1.091520441298747;1.0125763802755272;6.458223438863176;10.459773073831288;11.908399511679125;0.42585901493288775;0.45090398497823925;0.1799088442072517;0.0;0.0;6.458223438863176;0.3288104159089143;0.3271661554924647;0.0;2.2781133960274174;0.2529042622939659;13.162389840137608;0.0;0.2928014747631837;0.4950616652027175;13.110192014627861;0.4877355263587036
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.05;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;;1.6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.9268292682926828;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0
50%;2.0;0.0;0.0;704.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;1.0;1.43;0.0;4.0;0.0;0.0;0.0;0.0;0.0;2.0;0.931899641577061;0.0;0.0;352.0;1.0;0.0;1.33;0.0;0.0;4.0;2.0;2.0;0.0;0.0;5.0;2.0;0.0;1.0;0.0;0.0;;2.83;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.8275862070000001;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;352.0;704.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;5.0;0.0;1.0;0.0;4.0;1.0
75%;2.0;0.0;1.0;716.0;0.0;2.0;0.06497955201086483;0.4641025641025641;1.0;5.0;0.0;0.0;0.0;2.0;1.89;0.0;10.0;0.75;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1002.5;1.0;0.0;1.72;0.0;0.0;5.0;2.0;2.0;0.0;0.0;10.0;2.0;0.08373973559758824;1.0;0.0;0.11812772107688252;;4.3149999999999995;0.0;0.0;0.0;0.0;0.0;0.0;6.0;3.0;1.0;1.0;0.0;4.0;0.0;0.0;0.0;1.9;0.0;0.0;1002.5;716.0;2.0;3.0;0.004901960784313725;0.5081988897471612;1.0;0.0;6.0;6.0;7.0;0.0;0.508757077576045;0.0;0.0;0.0;6.0;0.0;1.0;0.0;1.0;0.0;10.0;0.0;1.0;1.0;10.0;1.0
max;6.0;6.0;1.0;850.0;0.0;13.0;0.5477225575051662;6.0;1028.0;40.0;0.0;12.0;0.0;34.0;4.17;6.0;58.0;6.0;6.0;1.0;0.0;6.0;6.0;1.0;0.0;0.0;20191.0;10.0;0.5006232111512592;16.0;0.0;0.0;9.0;6.0;6.0;2.8867513459481287;0.0;58.0;6.0;0.5477225575051662;1.0;0.0;0.5016608833298435;;36.83;0.0;6.0;1.0;6.0;0.0;0.0;59.0;31.0;1.0;10.0;6.0;1028.0;0.0;0.0;0.0;412.4;0.0;0.0;20191.0;850.0;7.0;31.0;1.0;591.2066756501769;8.0;7.0;59.0;48.0;52.0;1.0;2.8809720581775866;1.0;0.0;0.0;59.0;4.242640687119285;1.0;0.0;33.0;6.0;58.0;0.0;1.0;1.0;58.0;1.0
