;ThrowsCount;NOP;CyclomaticComplexity;NPathComplexity;NumberOfModifiers;NumberOfPublicMethods_Checkstyle;Fout;NestedForDepth;Fin;VG;NumberOfProtectedMethod;NCSSForThisMethod;NVAR;NestedIfElseDepth;NCSSForThisFile;NumberOfPrivateMethod;FileLength;NBD;NumberOfMathOperations;IOVars;NestedTryDepth;NumberOfMethods_Checkstyle;BuggedMethods;MethodLength;AnonymousInnerClassLength;Si;MCLC;ClassDataAbstractionCoupling;Maximum Depth;Di;BooleanExpressionComplexity;NumberOfPackageMethod;ClassFanOutComplexity;WMC_CK;ExecutableStatementCount;NCOMP;MaxNumberOfNestedBlocks;Ci;NCSSForThisClass
count;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0
unique;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;4724;;;;;;;;;;;;;;;;
mean;0.08486562942008487;0.12830874924227118;0.629824206910487;3.5938573449181654;1.458476459890887;0.3796726611436654;0.022428773489593858;0.0030309153364316025;0.031117397454031116;0.4841382097393413;0.017579308951303295;1.8874520105071733;0.10608203677510608;0.010911295211153768;3.300666801374015;0.03515861790260659;7.214588805819357;0.42634875732471206;0.031723580521317435;0.3578500707213578;0.00040412204485754696;0.4328147100424328;;2.7844008890684986;0.14043241058799757;0.05839563548191554;0.2586381087088301;0.18185492018589614;0.7496463932107497;0.35051158177005454;0.01919579713073348;0.002222671246716508;0.6609416043645181;0.6201252778339058;1.3057183269347343;0.15255607193372397;0.0929480703172358;0.4089072172519701;2.8337037785411194
std;0.28657528015717504;0.39385024592459783;1.1303341114593954;142.76216127336986;20.871777760751506;2.079736078536996;0.2406330937357951;0.06189302887264622;0.3046420434122737;1.017431424524747;0.21346668946314554;3.644641218824651;0.5922066845398114;0.12827030849321822;19.086010315766785;0.3607351248942176;39.50440277819432;0.6695846457516523;0.2412659442032514;0.6813794802531402;0.020100755484331483;2.354793134344416;;5.3809778239726;1.2314426438832133;1.6256410750469787;1.3980399159100965;1.069562215595732;1.1492160943905763;0.6748385555178495;0.159054654248508;0.05857294889983412;2.919945764636094;1.0954668408949457;3.0518441411634822;0.9315519519302812;0.38284871446533425;1.757317868359893;16.433497804265805
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;;3.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0
max;3.0;7.0;26.0;8664.0;1028.0;42.0;10.0;2.0;8.0;25.0;6.0;66.0;17.0;4.0;536.0;10.0;1111.0;8.0;4.0;8.0;1.0;48.0;;116.0;28.0;100.0;43.0;28.0;7.0;8.0;4.0;2.0;47.0;26.0;54.0;26.0;6.0;100.181818182;483.0
