Ait;Ai;Average Statements per Method;Average Complexity*;blame_merge_priorityMajor_max;NF;NumberOfMathOperations_min;Maximum Depth_min;PMR;NumberOfMathOperations_std;blamemerge_priorityMajor_std;Ao;blamemerge_priorityMinor_min;NumberOfMathOperations_mean;blame_merge_priorityMinor_min;Maximum Depth_count;HMi;NumberOfMathOperations_25%;Maximum Depth_mean;Ma;issues_priorityMinor_max;issues_priorityMinor_mean;Md;Mit;issues_priorityMajor_mean;NM;NumberOfMathOperations_max;NumberOfModifiers_mean;Average Block Depth;Bugged;Maximum Depth_std;issues_priorityMinor_min;blame_merge_priorityMinor_mean;blamemerge_priorityMajor_count;issues_priorityMajor_min;MaxNumberOfNestedBlocks_max;blamemerge_priorityMajor_max;issues_priorityMajor_max;issues_priorityMajor_count;NMA;Mi;blamemerge_priorityMinor_std;Maximum Depth_75%;Maximum Block Depth;Maximum Depth_25%;NumberOfMathOperations_count;MaxNumberOfNestedBlocks_75%;blame_merge_priorityMinor_count;SIX;Maximum Depth_max;blamemerge_priorityMinor_max;HMd;issues_priorityMajor_std;blame_merge_priorityMajor_count;blamemerge_priorityMajor_mean;Ad;NMI;blame_merge_priorityMinor_max;NumberOfModifiers_min;issues_priorityMinor_count;blame_merge_priorityMinor_std;NumberOfModifiers_max;Maximum Complexity*;MaxNumberOfNestedBlocks_count;NumberOfModifiers_50%;Mo;blamemerge_priorityMajor_min;MaxNumberOfNestedBlocks_std;blame_merge_priorityMajor_std;MaxNumberOfNestedBlocks_25%;NumberOfModifiers_25%;NumberOfModifiers_75%;NumberOfMathOperations_50%;blamemerge_priorityMinor_mean;blamemerge_priorityMinor_count;PMd;issues_priorityMinor_std;blame_merge_priorityMajor_min;blame_merge_priorityMajor_mean;MaxNumberOfNestedBlocks_50%;PMi;Av;Maximum Depth_50%;NumberOfMathOperations_75%;NOPa;MaxNumberOfNestedBlocks_min;NumberOfModifiers_std;NumberOfModifiers_count;MaxNumberOfNestedBlocks_mean
0.0;0.0;2.75;1.1;0.0;9.0;0.0;2.0;0.9;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;2.0;20.0;0.0;0.0;20.0;0.0;1.0;19.0;0.0;9.052631578947368;1.63;True;0.0;0.0;0.0;3335.0;1.0;1.0;1.0;1.0;245.0;20.0;0.0;0.0;2.0;3.0;2.0;19.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;1.0;9.0;0.0;0.0;9.0;245.0;0.0;10.0;2.0;19.0;9.0;0.0;1.0;0.22941573387056174;0.0;0.0;9.0;9.0;0.0;0.0;3335.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.22941573387056174;19.0;0.05263157894736842
0.0;0.0;3.5;1.88;0.0;4.0;0.0;2.0;1.0;0.0;0.12276906295573466;0.0;0.0;0.0;0.0;5.0;0.0;0.0;2.4;8.0;1.0;0.012096774193548387;8.0;0.0;0.9879032258064516;8.0;0.0;1.0;1.83;False;0.8944271909999159;0.0;0.0;589.0;0.0;2.0;1.0;1.0;248.0;8.0;0.0;0.12276906295573466;2.0;4.0;2.0;8.0;0.25;0.0;0.0;4.0;1.0;0.0;0.10953914644973572;0.0;0.9847198641765704;4.0;0.0;0.0;1.0;248.0;0.0;1.0;5.0;8.0;1.0;0.0;0.0;0.7440238091428449;0.0;0.0;1.0;1.0;0.0;0.01528013582342954;589.0;8.0;0.10953914644973572;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;8.0;0.375
0.0;0.0;4.33;4.0;0.0;0.0;0.0;0.0;0.0;1.1547005383792517;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;1.0;3.0;2.0;9.333333333333334;2.28;False;0.0;0.0;0.0;580.0;1.0;3.0;1.0;1.0;245.0;3.0;0.0;0.0;0.0;5.0;0.0;3.0;1.5;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;8.0;245.0;0.0;10.0;7.0;3.0;10.0;0.0;1.0;1.7320508075688772;0.0;0.0;9.0;10.0;0.0;0.0;580.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.1547005383792517;3.0;1.0
0.0;0.0;3.33;1.58;0.0;5.0;0.0;2.0;0.833333333;0.0;0.04657455160513459;0.0;0.0;0.0;0.0;5.0;0.0;0.0;2.0;12.0;1.0;0.012096774193548387;12.0;0.0;0.9879032258064516;12.0;0.0;0.8333333333333334;1.59;False;0.0;0.0;0.0;2761.0;0.0;2.0;1.0;1.0;248.0;12.0;0.0;0.04657455160513459;2.0;4.0;2.0;12.0;0.25;0.0;0.0;2.0;1.0;2.0;0.10953914644973572;0.0;0.9978268743208982;5.0;0.0;0.0;0.0;248.0;0.0;1.0;4.0;12.0;1.0;0.0;0.0;0.6513389472789295;0.0;0.0;1.0;1.0;0.0;0.0021731256791017745;2761.0;10.0;0.10953914644973572;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.38924947208076144;12.0;0.3333333333333333
0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.75;False;0.0;0.0;0.0;580.0;1.0;0.0;1.0;1.0;245.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;245.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;580.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;7.64;4.45;0.0;3.0;0.0;2.0;0.454545455;0.30151134457776363;0.2087747267866546;0.0;0.0;0.09090909090909093;0.0;3.0;0.0;0.0;2.333333333333333;11.0;1.0;0.011494252873563218;11.0;0.0;0.9693486590038314;12.0;1.0;2.636363636363636;2.64;False;0.5773502691896258;0.0;0.0;636.0;0.0;5.0;1.0;1.0;261.0;12.0;0.0;0.1828858501636085;2.5;7.0;2.0;11.0;2.0;0.0;0.0;3.0;1.0;6.0;0.17270238152594558;0.0;0.9544025157232704;3.0;0.0;0.0;1.0;261.0;0.0;4.0;17.0;11.0;4.0;0.0;0.0;1.7939291563999449;0.0;0.0;1.0;4.0;0.0;0.034591194968553465;636.0;5.0;0.10679810646152192;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.5666989036012804;11.0;1.2727272727272727
0.0;0.0;15.67;9.33;0.0;9.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;1.0;3.0;0.0;9.0;2.63;False;0.0;0.0;0.0;580.0;1.0;3.0;1.0;1.0;245.0;3.0;0.0;0.0;0.0;5.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;0.0;9.0;245.0;0.0;9.0;11.0;3.0;9.0;0.0;1.0;1.5275252316519468;0.0;0.5;9.0;9.0;0.0;0.0;580.0;3.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;3.0;1.3333333333333333
0.0;0.0;8.5;5.33;0.0;4.0;0.0;2.0;0.0;1.2110601416389968;0.0;0.0;0.0;0.6666666666666666;0.0;1.0;0.0;0.0;2.0;6.0;0.0;0.0;6.0;0.0;1.0;6.0;3.0;2.6666666666666665;2.69;False;0.0;0.0;0.0;622.0;1.0;4.0;1.0;1.0;257.0;6.0;0.0;0.0;2.0;6.0;2.0;6.0;2.75;0.0;0.0;2.0;0.0;6.0;0.0;0.0;1.0;4.0;0.0;0.0;2.0;257.0;0.0;4.0;13.0;6.0;2.0;0.0;1.0;1.4719601443879746;0.0;1.0;2.0;3.5;0.0;0.0;622.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;2.0;0.75;0.0;0.0;1.0327955589886444;6.0;1.8333333333333333
0.0;0.0;5.56;2.89;0.0;0.0;0.0;0.0;1.0;0.7264831572567789;0.2386229227746417;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;9.0;1.0;0.008097165991902834;9.0;0.0;0.9919028340080972;9.0;2.0;9.0;2.06;False;0.0;0.0;0.0;463.0;0.0;2.0;1.0;1.0;247.0;9.0;0.0;0.2386229227746417;0.0;4.0;0.0;9.0;1.0;0.0;0.0;0.0;1.0;0.0;0.08980117306022603;0.0;0.9395248380129588;0.0;0.0;0.0;9.0;247.0;0.0;9.0;11.0;9.0;9.0;0.0;0.0;0.7071067811865476;0.0;0.0;9.0;9.0;0.0;0.06047516198704104;463.0;9.0;0.08980117306022603;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;9.0;0.6666666666666666
0.0;0.0;1.33;1.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;3.0;0.0;0.0;3.0;0.0;1.0;1.0;0.0;1.0;1.2;False;0.0;0.0;0.0;580.0;1.0;0.0;1.0;1.0;245.0;3.0;0.0;0.0;2.0;2.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;245.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;580.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;6.0;3.5;0.0;0.0;0.0;0.0;0.0;0.7071067811865476;0.1007541354829906;0.0;0.0;0.5;0.0;0.0;0.0;0.25;0.0;2.0;1.0;0.012096774193548387;2.0;0.0;0.9879032258064516;2.0;1.0;8.0;1.94;False;0.0;0.0;0.0;586.0;0.0;1.0;1.0;1.0;248.0;2.0;0.0;0.1007541354829906;0.0;3.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;2.0;0.10953914644973572;0.0;0.9897610921501706;0.0;0.0;0.0;8.0;248.0;0.0;8.0;4.0;2.0;8.0;0.0;0.0;0.0;0.0;1.0;8.0;8.0;0.5;0.010238907849829351;586.0;0.0;0.10953914644973572;0.0;0.0;1.0;0.0;0.0;0.0;0.75;0.0;1.0;0.0;2.0;1.0
0.0;0.0;14.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.5;0.0;4.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;1.84;False;0.0;0.0;0.0;1450.0;1.0;0.0;1.0;1.0;245.0;0.0;0.0;0.0;2.0;2.0;2.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;245.0;0.0;1.0;1.0;4.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1450.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.5;0.0;0.0;0.0;4.0;0.0
0.0;0.0;4.75;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.57;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;4.0;0.0
0.0;0.0;0.33;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;False;0.8164965809277259;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;6.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0
