;Ait;Ai;Average Statements per Method;Average Complexity*;blame_merge_priorityMajor_max;NF;NumberOfMathOperations_min;Maximum Depth_min;PMR;NumberOfMathOperations_std;blamemerge_priorityMajor_std;Ao;blamemerge_priorityMinor_min;NumberOfMathOperations_mean;blame_merge_priorityMinor_min;Maximum Depth_count;HMi;NumberOfMathOperations_25%;Maximum Depth_mean;Ma;issues_priorityMinor_max;issues_priorityMinor_mean;Md;Mit;issues_priorityMajor_mean;NM;NumberOfMathOperations_max;NumberOfModifiers_mean;Average Block Depth;Bugged;Maximum Depth_std;issues_priorityMinor_min;blame_merge_priorityMinor_mean;blamemerge_priorityMajor_count;issues_priorityMajor_min;MaxNumberOfNestedBlocks_max;blamemerge_priorityMajor_max;issues_priorityMajor_max;issues_priorityMajor_count;NMA;Mi;blamemerge_priorityMinor_std;Maximum Depth_75%;Maximum Block Depth;Maximum Depth_25%;NumberOfMathOperations_count;MaxNumberOfNestedBlocks_75%;blame_merge_priorityMinor_count;SIX;Maximum Depth_max;blamemerge_priorityMinor_max;HMd;issues_priorityMajor_std;blame_merge_priorityMajor_count;blamemerge_priorityMajor_mean;Ad;NMI;blame_merge_priorityMinor_max;NumberOfModifiers_min;issues_priorityMinor_count;blame_merge_priorityMinor_std;NumberOfModifiers_max;Maximum Complexity*;MaxNumberOfNestedBlocks_count;NumberOfModifiers_50%;Mo;blamemerge_priorityMajor_min;MaxNumberOfNestedBlocks_std;blame_merge_priorityMajor_std;MaxNumberOfNestedBlocks_25%;NumberOfModifiers_25%;NumberOfModifiers_75%;NumberOfMathOperations_50%;blamemerge_priorityMinor_mean;blamemerge_priorityMinor_count;PMd;issues_priorityMinor_std;blame_merge_priorityMajor_min;blame_merge_priorityMajor_mean;MaxNumberOfNestedBlocks_50%;PMi;Av;Maximum Depth_50%;NumberOfMathOperations_75%;NOPa;MaxNumberOfNestedBlocks_min;NumberOfModifiers_std;NumberOfModifiers_count;MaxNumberOfNestedBlocks_mean
count;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.0;0.0;6.7844680851063845;1.9876595744680852;0.0;1.851063829787234;0.0851063829787234;1.5106382978723405;0.26014043814893617;0.36596577279787024;0.053124398982341954;0.0;0.0425531914893617;0.297349698512336;0.0;4.468085106382978;0.0;0.10638297872340426;1.5781511427209853;4.851063829787234;0.2978723404255319;0.0452206104221725;4.851063829787234;0.0;0.8474340589026125;4.638297872340425;1.0638297872340425;2.0629984051036683;1.6925531914893617;;0.10267265616959882;0.0425531914893617;0.0;847.0425531914893;0.574468085106383;1.0425531914893618;0.7659574468085106;0.851063829787234;168.93617021276594;4.914893617021277;0.0;0.04183024247726901;1.5797872340425532;3.127659574468085;1.5319148936170213;7.425531914893617;0.42021276595744683;0.0;0.0;1.7659574468085106;0.3191489361702128;1.0212765957446808;0.030530135001399405;0.0;0.734494928734008;1.851063829787234;0.0;0.0;1.8085106382978724;168.93617021276594;0.0;2.4893617021276597;4.0;7.425531914893617;2.074468085106383;0.0;0.44680851063829785;0.3623329023400433;0.0;0.14893617021276595;1.9414893617021276;2.1648936170212765;0.14893617021276595;0.07091666544525006;847.0425531914893;3.8297872340425534;0.0257231858212511;0.0;0.0;0.2127659574468085;0.0;0.8723404255319149;1.553191489361702;0.30851063829787234;0.0;0.10638297872340426;0.2945689241379189;7.425531914893617;0.3510381067673077
std;0.0;0.0;5.799798650369586;2.346722240252448;0.0;4.075263253189138;0.2820566728469694;0.9058347201562315;0.4117471149894835;0.9096598687532721;0.09096199939769241;0.0;0.2040297088885788;0.6315598845395344;0.0;5.233051582218988;0.0;0.29829534191523277;0.8880522391655431;10.285022295856827;0.46226726774346905;0.20351795514647472;10.285022295856827;0.0;0.3584046684150443;10.029143471847858;2.2106880231310733;2.5811224569637696;0.5952875377025297;;0.27087939507208203;0.2040297088885788;0.0;1105.2025381457347;0.4997686791456114;1.3344506573462231;0.4279763279438432;0.3598745798587226;128.8813752280214;10.282593538584559;0.0;0.08016939568019814;0.903053971524217;1.3927923356648584;0.8809842280034016;8.68468086783465;0.8439464473060146;0.0;0.0;1.0877333024598892;0.4711864293980077;2.0693347145790777;0.052074771708427496;0.0;0.4337324312062056;4.075263253189138;0.0;0.0;2.4903142622738126;128.8813752280214;0.0;3.0918711122915723;4.643836494893457;8.68468086783465;2.63747805143197;0.0;0.5025375018797698;0.5111334608227218;0.0;0.6160435968569857;2.5169062951960304;2.723826330686481;0.37467222801521255;0.24317186129679358;1105.2025381457347;8.63591879489423;0.04508884779252837;0.0;0.0;0.6654900192883685;0.0;3.2943761121868946;0.8799335606910001;0.7394415599197413;0.0;0.5983325581470229;0.9904252699532419;8.68468086783465;0.6905928322309317
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.7142857142857144;0.0;0.0;0.0;0.0;0.0;0.9879032258064516;0.0;0.0;1.0;1.295;;0.0;0.0;0.0;71.0;0.0;0.0;1.0;1.0;7.5;0.0;0.0;0.0;2.0;2.0;1.5;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.45595105672969966;0.0;0.0;0.0;1.0;7.5;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;71.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0
50%;0.0;0.0;5.8;1.1;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.82;;0.0;0.0;0.0;580.0;1.0;1.0;1.0;1.0;245.0;0.0;0.0;0.0;2.0;3.0;2.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.9897610921501706;0.0;0.0;0.0;1.0;245.0;0.0;1.0;2.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;580.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;4.0;0.05263157894736842
75%;0.0;0.0;8.235;1.79;0.0;1.0;0.0;2.0;0.775;0.4039405140597984;0.10231498918550098;0.0;0.0;0.4444444444444444;0.0;6.5;0.0;0.0;2.0;3.5;1.0;0.008097165991902834;3.5;0.0;1.0;2.5;1.0;1.1666666666666665;1.92;;0.0;0.0;0.0;1182.0;1.0;2.0;1.0;1.0;247.5;3.5;0.0;0.03755436388422012;2.0;4.0;2.0;9.0;0.375;0.0;0.0;2.0;1.0;1.0;0.0756734592749462;0.0;1.0;1.0;0.0;0.0;1.0;247.5;0.0;2.0;4.5;9.0;1.0;0.0;1.0;0.5654435877409367;0.0;0.0;1.0;1.0;0.0;0.010569045205568627;1182.0;3.0;0.03077287274483318;0.0;0.0;0.0;0.0;0.0;2.0;0.25;0.0;0.0;0.0;9.0;0.3980263157894737
