ClTCi;NSM;TLOC;NPF;ClRCi;NOA;PMd;NSF;NOD;Bugged;RTLOC;NOL
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;11.0;0.0;0.0;0.0;1.0;0.0;0.0;False;24.0;0.0
0.0;0.0;21.0;0.0;0.0;0.0;3.0;0.0;0.0;False;41.0;0.0
9.0;3.0;44.0;0.0;3.0;0.0;2.0;0.0;0.0;False;67.0;0.0
9.0;3.0;44.0;0.0;3.0;0.0;2.0;0.0;0.0;False;67.0;0.0
9.0;2.0;26.0;2.0;1.5;0.0;3.0;2.0;0.0;False;36.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
14.0;0.0;51.0;0.0;3.5;0.0;3.0;0.0;0.0;False;91.0;0.0
14.0;0.0;51.0;0.0;3.5;0.0;3.0;0.0;0.0;False;91.0;0.0
4.0;0.0;19.0;2.0;1.0;0.0;4.0;0.0;0.0;False;28.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
9.0;0.0;46.0;0.0;1.5;0.0;5.0;0.0;0.0;False;70.0;0.0
12.0;0.0;44.0;0.0;1.5;0.0;5.0;2.0;0.0;False;70.0;0.0
7.0;0.0;8.0;0.0;1.166666667;0.0;0.0;0.0;0.0;False;37.0;0.0
7.0;0.0;17.0;0.0;1.75;0.0;4.0;0.0;0.0;False;32.0;0.0
80.0;18.0;322.0;0.0;2.666666667;0.0;18.0;0.0;0.0;False;509.0;0.0
80.0;18.0;322.0;0.0;2.666666667;0.0;18.0;0.0;0.0;False;509.0;0.0
80.0;18.0;322.0;0.0;2.666666667;0.0;18.0;0.0;0.0;False;509.0;0.0
80.0;18.0;322.0;0.0;2.666666667;0.0;18.0;0.0;0.0;False;509.0;0.0
80.0;18.0;322.0;0.0;2.666666667;0.0;18.0;0.0;0.0;False;509.0;0.0
80.0;18.0;322.0;0.0;2.666666667;0.0;18.0;0.0;0.0;False;509.0;0.0
80.0;18.0;322.0;0.0;2.666666667;0.0;18.0;0.0;0.0;False;509.0;0.0
80.0;18.0;322.0;0.0;2.666666667;0.0;18.0;0.0;0.0;False;509.0;0.0
80.0;18.0;322.0;0.0;2.666666667;0.0;18.0;0.0;0.0;False;509.0;0.0
80.0;18.0;322.0;0.0;2.666666667;0.0;18.0;0.0;0.0;False;509.0;0.0
80.0;18.0;322.0;0.0;2.666666667;0.0;18.0;0.0;0.0;False;509.0;0.0
80.0;18.0;322.0;0.0;2.666666667;0.0;18.0;0.0;0.0;False;509.0;0.0
80.0;18.0;322.0;0.0;2.666666667;0.0;18.0;0.0;0.0;False;509.0;0.0
22.0;4.0;42.0;0.0;3.666666667;0.0;5.0;0.0;0.0;False;98.0;0.0
22.0;4.0;42.0;0.0;3.666666667;0.0;5.0;0.0;0.0;False;98.0;0.0
16.0;1.0;57.0;0.0;1.6;0.0;8.0;0.0;0.0;False;109.0;0.0
10.0;2.0;68.0;0.0;2.5;0.0;3.0;1.0;0.0;False;142.0;0.0
10.0;2.0;68.0;0.0;2.5;0.0;3.0;1.0;0.0;False;142.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
7.0;1.0;40.0;1.0;2.333333333;0.0;3.0;0.0;0.0;False;73.0;0.0
7.0;1.0;40.0;1.0;2.333333333;0.0;3.0;0.0;0.0;False;73.0;0.0
5.0;1.0;32.0;1.0;1.666666667;0.0;3.0;0.0;0.0;False;98.0;0.0
9.0;0.0;64.0;1.0;1.0;0.0;9.0;0.0;0.0;False;83.0;0.0
6.0;1.0;45.0;1.0;1.5;0.0;4.0;0.0;0.0;False;67.0;0.0
0.0;0.0;20.0;1.0;0.0;0.0;1.0;3.0;0.0;False;44.0;0.0
5.0;0.0;41.0;1.0;0.625;0.0;6.0;3.0;0.0;False;62.0;0.0
5.0;1.0;44.0;1.0;0.833333333;0.0;5.0;0.0;0.0;False;79.0;0.0
5.0;1.0;44.0;1.0;0.833333333;0.0;5.0;0.0;0.0;False;79.0;0.0
2.0;0.0;22.0;2.0;0.4;0.0;5.0;1.0;0.0;False;36.0;0.0
7.0;1.0;57.0;1.0;1.166666667;0.0;6.0;0.0;0.0;False;109.0;0.0
7.0;1.0;57.0;1.0;1.166666667;0.0;6.0;0.0;0.0;False;109.0;0.0
3.0;1.0;17.0;1.0;1.5;0.0;1.0;2.0;0.0;False;39.0;0.0
3.0;0.0;32.0;1.0;1.5;0.0;2.0;1.0;0.0;False;45.0;0.0
3.0;0.0;32.0;1.0;1.5;0.0;2.0;1.0;0.0;False;45.0;0.0
3.0;0.0;32.0;1.0;1.5;0.0;2.0;1.0;0.0;False;45.0;0.0
3.0;0.0;32.0;1.0;1.5;0.0;2.0;1.0;0.0;False;45.0;0.0
3.0;1.0;20.0;1.0;1.5;0.0;2.0;0.0;0.0;False;38.0;0.0
0.0;0.0;9.0;0.0;0.0;0.0;1.0;0.0;0.0;False;19.0;0.0
0.0;0.0;24.0;0.0;0.0;0.0;3.0;0.0;0.0;False;49.0;0.0
0.0;0.0;24.0;0.0;0.0;0.0;3.0;0.0;0.0;False;49.0;0.0
0.0;0.0;17.0;1.0;0.0;0.0;1.0;0.0;0.0;False;27.0;0.0
1.0;0.0;17.0;1.0;0.333333333;0.0;3.0;1.0;0.0;False;27.0;0.0
1.0;0.0;29.0;1.0;0.333333333;0.0;3.0;0.0;0.0;False;49.0;0.0
1.0;0.0;29.0;1.0;0.333333333;0.0;3.0;0.0;0.0;False;49.0;0.0
3.0;1.0;22.0;1.0;1.5;0.0;2.0;0.0;0.0;False;78.0;0.0
0.0;0.0;50.0;1.0;0.0;0.0;3.0;0.0;0.0;False;70.0;0.0
4.0;0.0;56.0;1.0;0.666666667;0.0;5.0;1.0;0.0;False;66.0;0.0
4.0;0.0;56.0;1.0;0.666666667;0.0;5.0;1.0;0.0;False;66.0;0.0
2.0;1.0;24.0;1.0;0.666666667;0.0;3.0;0.0;0.0;False;65.0;0.0
4.0;0.0;56.0;1.0;0.363636364;0.0;11.0;0.0;0.0;True;96.0;0.0
4.0;0.0;56.0;1.0;0.363636364;0.0;11.0;0.0;0.0;True;96.0;0.0
4.0;0.0;56.0;1.0;0.363636364;0.0;11.0;0.0;0.0;True;96.0;0.0
1.0;1.0;42.0;1.0;0.333333333;0.0;3.0;1.0;0.0;False;48.0;0.0
1.0;1.0;42.0;1.0;0.333333333;0.0;3.0;1.0;0.0;False;48.0;0.0
0.0;0.0;29.0;1.0;0.0;0.0;1.0;0.0;0.0;False;65.0;0.0
0.0;0.0;29.0;1.0;0.0;0.0;1.0;0.0;0.0;False;65.0;0.0
16.0;3.0;97.0;1.0;1.230769231;0.0;11.0;0.0;0.0;False;186.0;0.0
16.0;3.0;97.0;1.0;1.230769231;0.0;11.0;0.0;0.0;False;186.0;0.0
16.0;3.0;97.0;1.0;1.230769231;0.0;11.0;0.0;0.0;False;186.0;0.0
4.0;0.0;63.0;1.0;0.266666667;0.0;12.0;0.0;0.0;False;113.0;0.0
3.0;0.0;38.0;1.0;0.75;0.0;4.0;1.0;0.0;False;63.0;0.0
3.0;0.0;38.0;1.0;0.75;0.0;4.0;1.0;0.0;False;63.0;0.0
3.0;1.0;33.0;1.0;0.6;0.0;5.0;1.0;0.0;False;59.0;0.0
12.0;2.0;63.0;1.0;1.5;0.0;8.0;0.0;0.0;True;127.0;0.0
12.0;2.0;63.0;1.0;1.5;0.0;8.0;0.0;0.0;True;127.0;0.0
3.0;1.0;23.0;3.0;1.0;0.0;3.0;2.0;0.0;False;73.0;0.0
3.0;1.0;17.0;1.0;1.5;0.0;2.0;0.0;0.0;False;38.0;0.0
3.0;1.0;17.0;1.0;1.5;0.0;2.0;0.0;0.0;False;38.0;0.0
9.0;2.0;40.0;3.0;1.125;0.0;6.0;2.0;0.0;False;87.0;0.0
3.0;0.0;42.0;1.0;0.6;0.0;5.0;0.0;0.0;False;97.0;0.0
3.0;1.0;24.0;1.0;1.0;0.0;3.0;1.0;0.0;False;41.0;0.0
7.0;0.0;53.0;1.0;1.75;0.0;4.0;1.0;0.0;False;178.0;0.0
5.0;1.0;27.0;1.0;1.25;0.0;4.0;0.0;0.0;False;57.0;0.0
5.0;0.0;58.0;1.0;0.7142857140000001;0.0;5.0;1.0;0.0;False;95.0;0.0
5.0;0.0;58.0;1.0;0.7142857140000001;0.0;5.0;1.0;0.0;False;95.0;0.0
5.0;0.0;58.0;1.0;0.7142857140000001;0.0;5.0;1.0;0.0;False;95.0;0.0
2.0;1.0;61.0;1.0;0.28571428600000004;0.0;6.0;0.0;0.0;False;95.0;0.0
2.0;1.0;61.0;1.0;0.28571428600000004;0.0;6.0;0.0;0.0;False;95.0;0.0
0.0;0.0;27.0;0.0;0.0;0.0;1.0;0.0;0.0;False;45.0;0.0
0.0;0.0;27.0;0.0;0.0;0.0;1.0;0.0;0.0;False;45.0;0.0
8.0;2.0;82.0;1.0;0.727272727;0.0;11.0;0.0;0.0;False;128.0;0.0
3.0;1.0;24.0;0.0;1.0;0.0;3.0;0.0;0.0;False;40.0;0.0
3.0;1.0;24.0;0.0;1.0;0.0;3.0;0.0;0.0;False;40.0;0.0
0.0;0.0;33.0;0.0;0.0;0.0;1.0;0.0;0.0;False;42.0;0.0
0.0;0.0;33.0;0.0;0.0;0.0;1.0;0.0;0.0;False;42.0;0.0
6.0;1.0;66.0;1.0;0.857142857;0.0;5.0;1.0;0.0;False;102.0;0.0
7.0;0.0;107.0;1.0;0.538461538;0.0;11.0;2.0;0.0;False;209.0;0.0
7.0;0.0;107.0;1.0;0.538461538;0.0;11.0;2.0;0.0;False;209.0;0.0
2.0;1.0;37.0;1.0;1.0;0.0;1.0;0.0;0.0;False;48.0;0.0
0.0;0.0;17.0;1.0;0.0;0.0;1.0;0.0;0.0;False;22.0;0.0
0.0;0.0;35.0;1.0;0.0;0.0;4.0;0.0;0.0;False;64.0;0.0
3.0;0.0;32.0;1.0;1.0;0.0;2.0;0.0;0.0;False;39.0;0.0
0.0;0.0;23.0;1.0;0.0;0.0;1.0;0.0;0.0;True;37.0;0.0
0.0;0.0;23.0;1.0;0.0;0.0;1.0;0.0;0.0;True;37.0;0.0
0.0;0.0;10.0;1.0;0.0;0.0;1.0;0.0;0.0;False;17.0;0.0
2.0;0.0;72.0;1.0;0.333333333;0.0;5.0;0.0;0.0;True;109.0;0.0
5.0;0.0;85.0;0.0;1.0;0.0;3.0;0.0;0.0;False;167.0;0.0
5.0;0.0;85.0;0.0;1.0;0.0;3.0;0.0;0.0;False;167.0;0.0
5.0;0.0;85.0;0.0;1.0;0.0;3.0;0.0;0.0;False;167.0;0.0
4.0;0.0;66.0;1.0;0.5;0.0;6.0;0.0;0.0;True;139.0;0.0
3.0;0.0;28.0;3.0;1.0;0.0;1.0;2.0;0.0;True;95.0;0.0
3.0;0.0;28.0;3.0;1.0;0.0;1.0;2.0;0.0;True;95.0;0.0
3.0;0.0;28.0;3.0;1.0;0.0;1.0;2.0;0.0;True;95.0;0.0
3.0;0.0;28.0;3.0;1.0;0.0;1.0;2.0;0.0;True;95.0;0.0
0.0;0.0;28.0;0.0;0.0;0.0;2.0;0.0;0.0;False;56.0;0.0
2.0;0.0;47.0;1.0;0.5;0.0;3.0;0.0;0.0;False;71.0;0.0
0.0;0.0;37.0;1.0;0.0;0.0;4.0;1.0;0.0;False;97.0;0.0
0.0;0.0;16.0;1.0;0.0;0.0;1.0;0.0;0.0;False;43.0;0.0
0.0;0.0;9.0;1.0;0.0;0.0;1.0;0.0;0.0;False;12.0;0.0
2.0;0.0;59.0;1.0;0.4;0.0;4.0;0.0;0.0;False;87.0;0.0
2.0;0.0;108.0;1.0;0.4;0.0;4.0;0.0;0.0;False;146.0;0.0
2.0;0.0;106.0;1.0;0.28571428600000004;0.0;6.0;0.0;0.0;True;174.0;0.0
2.0;0.0;106.0;1.0;0.28571428600000004;0.0;6.0;0.0;0.0;True;174.0;0.0
4.0;0.0;127.0;1.0;0.571428571;0.0;5.0;0.0;0.0;False;186.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
5.0;1.0;143.0;1.0;0.454545455;0.0;11.0;0.0;0.0;False;198.0;0.0
5.0;1.0;143.0;1.0;0.454545455;0.0;11.0;0.0;0.0;False;198.0;0.0
5.0;1.0;143.0;1.0;0.454545455;0.0;11.0;0.0;0.0;False;198.0;0.0
5.0;1.0;143.0;1.0;0.454545455;0.0;11.0;0.0;0.0;False;198.0;0.0
5.0;1.0;143.0;1.0;0.454545455;0.0;11.0;0.0;0.0;False;198.0;0.0
5.0;2.0;52.0;1.0;1.0;0.0;3.0;1.0;0.0;False;95.0;0.0
8.0;1.0;164.0;1.0;0.380952381;0.0;20.0;0.0;0.0;False;255.0;0.0
8.0;1.0;164.0;1.0;0.380952381;0.0;20.0;0.0;0.0;False;255.0;0.0
8.0;1.0;164.0;1.0;0.380952381;0.0;20.0;0.0;0.0;False;255.0;0.0
8.0;1.0;164.0;1.0;0.380952381;0.0;20.0;0.0;0.0;False;255.0;0.0
0.0;0.0;56.0;0.0;0.0;0.0;2.0;0.0;0.0;False;86.0;0.0
0.0;0.0;56.0;0.0;0.0;0.0;2.0;0.0;0.0;False;86.0;0.0
0.0;0.0;56.0;0.0;0.0;0.0;2.0;0.0;0.0;False;86.0;0.0
0.0;0.0;56.0;0.0;0.0;0.0;2.0;0.0;0.0;False;75.0;0.0
0.0;0.0;56.0;0.0;0.0;0.0;2.0;0.0;0.0;False;75.0;0.0
0.0;0.0;56.0;0.0;0.0;0.0;2.0;0.0;0.0;False;75.0;0.0
0.0;0.0;56.0;0.0;0.0;0.0;2.0;0.0;0.0;False;75.0;0.0
0.0;0.0;56.0;0.0;0.0;0.0;2.0;0.0;0.0;False;75.0;0.0
10.0;2.0;393.0;0.0;1.428571429;0.0;2.0;3.0;0.0;False;517.0;0.0
10.0;2.0;393.0;0.0;1.428571429;0.0;2.0;3.0;0.0;False;517.0;0.0
10.0;2.0;393.0;0.0;1.428571429;0.0;2.0;3.0;0.0;False;517.0;0.0
10.0;2.0;393.0;0.0;1.428571429;0.0;2.0;3.0;0.0;False;517.0;0.0
10.0;2.0;393.0;0.0;1.428571429;0.0;2.0;3.0;0.0;False;517.0;0.0
10.0;2.0;393.0;0.0;1.428571429;0.0;2.0;3.0;0.0;False;517.0;0.0
10.0;2.0;393.0;0.0;1.428571429;0.0;2.0;3.0;0.0;False;517.0;0.0
10.0;2.0;393.0;0.0;1.428571429;0.0;2.0;3.0;0.0;False;517.0;0.0
1.0;0.0;16.0;0.0;0.333333333;0.0;3.0;0.0;0.0;False;37.0;0.0
7.0;1.0;47.0;1.0;0.875;0.0;7.0;0.0;0.0;False;67.0;0.0
0.0;0.0;12.0;1.0;0.0;0.0;1.0;0.0;0.0;False;19.0;0.0
4.0;0.0;25.0;1.0;1.0;0.0;4.0;0.0;0.0;False;41.0;0.0
4.0;0.0;25.0;1.0;1.0;0.0;4.0;0.0;0.0;False;41.0;0.0
35.0;0.0;143.0;1.0;1.458333333;0.0;18.0;0.0;0.0;False;271.0;0.0
2.0;1.0;41.0;1.0;0.4;0.0;4.0;1.0;0.0;False;70.0;0.0
2.0;0.0;24.0;0.0;1.0;0.0;1.0;0.0;0.0;False;29.0;0.0
2.0;0.0;24.0;0.0;1.0;0.0;1.0;0.0;0.0;False;28.0;0.0
2.0;0.0;24.0;0.0;1.0;0.0;1.0;0.0;0.0;False;27.0;0.0
2.0;0.0;24.0;0.0;1.0;0.0;1.0;0.0;0.0;False;27.0;0.0
1.0;2.0;12.0;0.0;0.333333333;0.0;2.0;1.0;0.0;False;27.0;0.0
1.0;2.0;12.0;0.0;0.333333333;0.0;2.0;1.0;0.0;False;27.0;0.0
1.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;False;8.0;0.0
1.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;False;8.0;0.0
1.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;False;8.0;0.0
1.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;False;8.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
10.333333332999999;0.0;44.0;1.0;1.148148148;0.0;4.0;0.0;0.0;False;87.0;0.0
10.333333332999999;0.0;44.0;1.0;1.148148148;0.0;4.0;0.0;0.0;False;87.0;0.0
11.0;3.0;142.0;1.0;0.6875;0.0;13.0;1.0;0.0;False;232.0;0.0
11.0;3.0;142.0;1.0;0.6875;0.0;13.0;1.0;0.0;False;232.0;0.0
11.0;3.0;142.0;1.0;0.6875;0.0;13.0;1.0;0.0;False;232.0;0.0
11.0;3.0;142.0;1.0;0.6875;0.0;13.0;1.0;0.0;False;232.0;0.0
0.0;0.0;58.0;1.0;0.0;0.0;3.0;0.0;0.0;False;72.0;0.0
0.0;0.0;58.0;1.0;0.0;0.0;3.0;0.0;0.0;False;72.0;0.0
1.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;False;8.0;0.0
1.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;False;10.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
7.0;1.0;53.0;1.0;1.75;0.0;1.0;0.0;0.0;False;113.0;0.0
7.0;1.0;53.0;1.0;1.75;0.0;1.0;0.0;0.0;False;113.0;0.0
7.0;1.0;53.0;1.0;1.75;0.0;1.0;0.0;0.0;False;113.0;0.0
3.0;0.0;6.0;0.0;0.75;0.0;0.0;0.0;0.0;False;32.0;0.0
11.0;1.0;56.0;1.0;1.571428571;0.0;6.0;1.0;0.0;False;100.0;0.0
11.0;1.0;56.0;1.0;1.571428571;0.0;6.0;1.0;0.0;False;100.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
8.0;0.0;18.0;0.0;1.6;0.0;5.0;0.0;0.0;False;30.0;0.0
26.0;0.0;89.0;0.0;1.3;0.0;7.0;0.0;0.0;False;202.0;0.0
1.0;0.0;4.0;0.0;0.5;0.0;0.0;0.0;0.0;False;14.0;0.0
6.0;0.0;16.0;0.0;1.2;0.0;4.0;0.0;0.0;False;32.0;0.0
19.0;1.0;124.0;0.0;1.727272727;0.0;10.0;0.0;0.0;False;157.0;0.0
19.0;1.0;124.0;0.0;1.727272727;0.0;10.0;0.0;0.0;False;157.0;0.0
5.0;0.0;9.0;0.0;1.666666667;0.0;2.0;0.0;0.0;False;17.0;0.0
67.0;0.0;33.0;0.0;2.161290323;0.0;0.0;0.0;0.0;False;262.0;0.0
67.0;0.0;33.0;0.0;2.161290323;0.0;0.0;0.0;0.0;False;262.0;0.0
19.0;0.0;10.0;0.0;2.375;0.0;0.0;0.0;0.0;False;79.0;0.0
1.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;False;10.0;0.0
52.0;0.0;29.0;0.0;1.925925926;0.0;0.0;0.0;0.0;False;179.0;0.0
52.0;0.0;29.0;0.0;1.925925926;0.0;0.0;0.0;0.0;False;179.0;0.0
20.0;1.0;69.0;0.0;1.818181818;0.0;10.0;0.0;0.0;False;81.0;0.0
8.0;1.0;64.0;0.0;1.333333333;0.0;5.0;0.0;0.0;False;91.0;0.0
8.0;1.0;64.0;0.0;1.333333333;0.0;5.0;0.0;0.0;False;91.0;0.0
30.0;0.0;21.0;0.0;1.578947368;0.0;0.0;0.0;0.0;True;155.0;0.0
30.0;0.0;21.0;0.0;1.578947368;0.0;0.0;0.0;0.0;True;155.0;0.0
24.5;0.0;82.0;0.0;1.6333333330000002;0.0;10.0;1.0;0.0;False;168.0;0.0
5.0;0.0;15.0;0.0;0.833333333;0.0;0.0;0.0;0.0;False;28.0;0.0
21.0;0.0;105.0;3.0;3.5;0.0;6.0;2.0;0.0;False;159.0;0.0
21.0;0.0;105.0;3.0;3.5;0.0;6.0;2.0;0.0;False;159.0;0.0
4.0;0.0;5.0;0.0;1.333333333;0.0;0.0;0.0;0.0;False;25.0;0.0
11.0;0.0;8.0;0.0;1.833333333;0.0;0.0;0.0;0.0;False;43.0;0.0
3.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;False;8.0;0.0
1.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;False;3.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
14.0;0.0;13.0;0.0;2.8;0.0;0.0;0.0;0.0;False;79.0;0.0
3.0;0.0;4.0;0.0;1.5;0.0;0.0;0.0;0.0;False;12.0;0.0
22.0;1.0;70.0;0.0;2.0;0.0;11.0;0.0;1.0;False;105.0;0.0
22.0;1.0;70.0;0.0;2.0;0.0;11.0;0.0;1.0;False;105.0;0.0
26.0;1.0;77.0;0.0;2.166666667;0.0;12.0;0.0;1.0;False;120.0;0.0
26.0;1.0;77.0;0.0;2.166666667;0.0;12.0;0.0;1.0;False;120.0;0.0
12.0;1.0;42.0;0.0;1.5;0.0;8.0;0.0;0.0;False;54.0;0.0
8.0;0.0;33.0;0.0;1.6;0.0;5.0;0.0;0.0;False;42.0;0.0
110.0;38.0;574.0;0.0;2.0754716980000003;0.0;52.0;0.0;0.0;True;1049.0;0.0
110.0;38.0;574.0;0.0;2.0754716980000003;0.0;52.0;0.0;0.0;True;1049.0;0.0
110.0;38.0;574.0;0.0;2.0754716980000003;0.0;52.0;0.0;0.0;True;1049.0;0.0
110.0;38.0;574.0;0.0;2.0754716980000003;0.0;52.0;0.0;0.0;True;1049.0;0.0
110.0;38.0;574.0;0.0;2.0754716980000003;0.0;52.0;0.0;0.0;True;1049.0;0.0
