;IsConstructor;MaxNumberOfNestedBlocks;NumberOfParenthesizedExps;NumberOfMathOperations;Returns;NumberOfInnerClasses;NumberOfComparisons;NumberOfParameters_CK;NumberOfLoops;NumberOfTryCatch;NumberOfLogStatements;NumberOfAssignments;NumberOfAnonymousClasses;NumberOfVariables;NumberOfStringLiterals;NumberOfLambdas;LOCMethod_CK;NumberOfModifiers;WMC_CK;CBO;RFC;BuggedMethods;NumberOfUniqueWords;NumberOfNumbers
count;7760;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760;7760.0;7760.0
unique;2;;;;;;;;;;;;;;;;;;;;;2;;
top;False;;;;;;;;;;;;;;;;;;;;;False;;
freq;7606;;;;;;;;;;;;;;;;;;;;;7667;;
mean;;0.19574742268041237;0.04922680412371134;0.36997422680412373;0.2658505154639175;0.0;0.11649484536082474;0.18041237113402062;0.1711340206185567;0.0034793814432989693;0.03762886597938144;1.229639175257732;0.006572164948453608;0.9493556701030927;1.147422680412371;0.0;4.576417525773196;1.073582474226804;0.8609536082474227;1.2018041237113402;2.1725515463917526;;6.76159793814433;0.668041237113402
std;;0.5832719511157975;0.3308269876970865;1.569739130429288;0.5663310110699302;0.0;0.651832621292009;0.48103920997968025;0.7639862307466883;0.058887368929941446;0.3229049520916688;3.8675183958577457;0.12470603122730527;3.2119584355448634;4.963240936587077;0.0;10.790275275525445;16.626233060361198;1.835093768231113;2.738412175462353;5.448820490022489;;12.199521414625929;2.747783186611404
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
50%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
75%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;1.0;1.0;1.0;;8.0;0.0
max;;7.0;9.0;28.0;15.0;0.0;18.0;14.0;17.0;1.0;8.0;64.0;6.0;54.0;136.0;0.0;217.0;1025.0;36.0;30.0;70.0;;130.0;70.0
