;BuggedMethods;NCSSForThisFile;NestedIfElseDepth;BooleanExpressionComplexity;CyclomaticComplexity;NCSSForThisMethod;NPathComplexity;ThrowsCount;NCSSForThisClass;NumberOfProtectedMethod;NumberOfPackageMethod;NumberOfPrivateMethod;ExecutableStatementCount;MethodLength;FileLength;AnonymousInnerClassLength;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;ClassFanOutComplexity;NestedTryDepth;ClassDataAbstractionCoupling;NestedForDepth;IsConstructor;CBO;WMC_CK;RFC;LOCMethod_CK;Returns;NumberOfVariables;NumberOfParameters_CK;NumberOfLoops;NumberOfComparisons;NumberOfTryCatch;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfNumbers;NumberOfAssignments;NumberOfMathOperations;MaxNumberOfNestedBlocks;NumberOfAnonymousClasses;NumberOfInnerClasses;NumberOfLambdas;NumberOfUniqueWords;NumberOfModifiers;NumberOfLogStatements;Ci;Di;Fin;Fout;IOVars;MCLC;NBD;NCOMP;NOP;NVAR;Si;VG;Complexity;Statements;Maximum Depth;Calls
count;4225;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0
unique;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;4108;;;;;;;;;;;;;;;;;;;;;;4074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;;7.419644970414201;0.03857988165680473;0.05254437869822485;1.4610650887573964;4.9110059171597635;78.68828402366864;0.1375147928994083;6.426508875739645;0.036686390532544376;0.009940828402366864;0.10153846153846154;3.464852071005917;8.12923076923077;16.779171597633137;0.07242603550295858;0.5176331360946745;0.3744378698224852;0.6416568047337278;0.001893491124260355;0.2752662721893491;0.011597633136094675;;1.1024852071005917;1.4257988165680473;1.4397633136094674;6.028639053254438;0.4577514792899408;0.7623668639053255;0.17420118343195265;0.24710059171597634;0.1510059171597633;0.006863905325443787;0.11692307692307692;0.882130177514793;1.002603550295858;1.2892307692307692;0.29680473372781063;0.298698224852071;0.002366863905325444;0.0;0.00047337278106508875;7.190769230769231;1.1488757396449705;0.002366863905325444;2.3949208158660356;0.3826131235583432;0.20023668639053255;0.19076923076923077;0.42650887573964497;1.017041420118343;0.6575147928994083;0.6840236686390533;0.1455621301775148;0.3330177514792899;2.0123076923076924;1.2142011834319526;1.1448520710059171;3.451360946745562;1.029112426035503;1.6418934911242604
std;;46.027754744141085;0.24362685277387822;0.29609802549643394;4.389797626592664;15.137270709803284;831.0985890341868;0.35658839102923573;44.6288339511623;0.496033893452322;0.1372608847238202;1.1295614595537027;10.807227766688174;25.343359135535437;93.39694248377391;1.2819623512279648;2.3565338895052172;1.688421415806319;2.413830709420641;0.043478192654560543;1.3315149762472045;0.11761490591281988;;2.025793890472924;4.352349045979466;2.7026274289520313;18.58766554175838;1.0939213760817512;2.0436417663955404;0.4835817500148892;1.7079656142200512;0.6188443501779555;0.09076816897170442;0.7974628327997297;3.690606063072114;4.749974365983133;4.1764627268887375;2.1669110546852126;0.9020498069523103;0.048598568615096635;0.0;0.021754556158316105;10.788846302800616;2.5922998026828266;0.07212995190865822;46.84826010545777;0.6755214507512292;1.165170824397391;1.4058387445783302;0.7070115239240792;3.997062516858127;1.2765572695476695;3.103378672518989;0.4217902664459759;1.2185867240735144;46.856004636060746;4.3831943803137605;4.33901190062935;14.327129240080472;1.5531477058883543;5.472840674659387
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;;0.0;0.0;0.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;2.0;1.0;2.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;11.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0
