;NumberOfComparisons;NumberOfAnonymousClasses;NumberOfNumbers;NumberOfUniqueWords;NumberOfParameters_CK;NumberOfLogStatements;IsConstructor;NumberOfAssignments;NumberOfModifiers;Returns;NumberOfLoops;NumberOfTryCatch;WMC_CK;RFC;LOCMethod_CK;NumberOfVariables;NumberOfParenthesizedExps;NumberOfStringLiterals;MaxNumberOfNestedBlocks;NumberOfInnerClasses;NumberOfLambdas;CBO;BuggedMethods;NumberOfMathOperations
count;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256;13256.0
unique;;;;;;;2;;;;;;;;;;;;;;;;2;
top;;;;;;;False;;;;;;;;;;;;;;;;False;
freq;;;;;;;12775;;;;;;;;;;;;;;;;13206;
mean;0.3336602293301147;0.004375377187688594;0.38314725407362704;8.317441158720579;0.3313971031985516;0.02172601086300543;;0.9004978877489439;1.2202021726010863;0.49419130959565477;0.07279722389861194;0.001584188292094146;1.4302957151478575;2.1610591430295716;5.540887145443572;0.5604254677127338;0.1357121303560652;0.46907060953530477;0.34007242003621;0.0;0.0;1.3709263729631864;;0.07724803862401931
std;1.5818477276740512;0.0745899026275051;2.474784112018351;9.097676954053968;0.5433436949596591;0.25438336162484065;;2.4650213373177885;2.146751598605843;1.1501251381192181;0.3776828516052435;0.03977182377630046;2.7652474081492;3.9324850900864115;9.679939704333387;1.5900387579019848;0.9519126006136538;2.3315415342770125;0.7782866949851152;0.0;0.0;2.1012319682854392;;0.8674897776952819
min;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
50%;0.0;0.0;0.0;6.0;0.0;0.0;;0.0;1.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0
75%;0.0;0.0;0.0;12.0;1.0;0.0;;1.0;1.0;1.0;0.0;0.0;1.0;3.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;;0.0
max;84.0;3.0;185.0;85.0;6.0;9.0;;73.0;42.0;36.0;10.0;1.0;110.0;74.0;257.0;31.0;43.0;77.0;8.0;0.0;0.0;34.0;;80.0
