NVAR;NBD;NCOMP;IOVars;Si;Ci;BuggedMethods;Fin;MCLC;Fout;VG;Di;NOP
2.0;3.0;6.0;1.0;1.0;1.5;False;0.0;8.0;1.0;4.0;0.5;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;1.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;3.0;0.0;0.0;1.0;1.0;0.0
2.0;3.0;5.0;1.0;9.0;9.25;False;0.0;7.0;3.0;3.0;0.25;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
3.0;2.0;6.0;2.0;0.0;2.0;False;0.0;9.0;0.0;6.0;2.0;1.0
0.0;1.0;0.0;2.0;0.0;2.0;False;0.0;0.0;0.0;1.0;2.0;1.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;2.0;0.0;2.0;False;0.0;0.0;0.0;1.0;2.0;1.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;1.0;1.0;0.0;1.0;False;0.0;1.0;0.0;2.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;4.0;1.0;0.0;1.0;False;0.0;4.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;2.0;0.0;2.0;False;0.0;0.0;0.0;1.0;2.0;1.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;2.0;0.0;2.0;False;0.0;0.0;0.0;1.0;2.0;1.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;2.0;0.0;2.0;False;0.0;0.0;0.0;1.0;2.0;1.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;1.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;2.0;0.0;2.0;False;0.0;0.0;0.0;1.0;2.0;1.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;2.0;0.0;2.0;False;0.0;0.0;0.0;1.0;2.0;1.0
0.0;1.0;0.0;2.0;0.0;2.0;False;0.0;0.0;0.0;1.0;2.0;1.0
0.0;1.0;0.0;2.0;0.0;2.0;False;0.0;0.0;0.0;1.0;2.0;1.0
0.0;1.0;0.0;2.0;0.0;2.0;False;0.0;0.0;0.0;1.0;2.0;1.0
0.0;1.0;0.0;2.0;0.0;2.0;False;0.0;0.0;0.0;1.0;2.0;1.0
0.0;1.0;0.0;2.0;0.0;2.0;False;0.0;0.0;0.0;1.0;2.0;1.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;2.0;0.0;2.0;False;0.0;0.0;0.0;1.0;2.0;1.0
0.0;1.0;0.0;1.0;1.0;1.5;False;0.0;0.0;1.0;1.0;0.5;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
1.0;2.0;0.0;0.0;0.0;0.0;False;1.0;1.0;0.0;2.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
1.0;2.0;1.0;1.0;0.0;1.0;False;3.0;2.0;0.0;2.0;1.0;0.0
2.0;3.0;5.0;1.0;9.0;9.25;False;0.0;7.0;3.0;3.0;0.25;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;11.0;0.0;0.0;1.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;2.0;0.0;0.0;4.0;4.0;False;2.0;0.0;2.0;2.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;36.0;36.0;False;0.0;0.0;6.0;1.0;0.0;0.0
0.0;1.0;0.0;0.0;1.0;1.0;False;2.0;0.0;1.0;1.0;0.0;0.0
0.0;1.0;0.0;0.0;1.0;1.0;False;2.0;0.0;1.0;1.0;0.0;0.0
1.0;3.0;1.0;0.0;4.0;4.0;False;2.0;2.0;2.0;3.0;0.0;0.0
0.0;2.0;0.0;0.0;4.0;4.0;False;1.0;0.0;2.0;2.0;0.0;0.0
0.0;2.0;0.0;0.0;4.0;4.0;False;2.0;0.0;2.0;2.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;25.0;25.0;False;0.0;0.0;5.0;1.0;0.0;0.0
0.0;1.0;0.0;0.0;1.0;1.0;False;2.0;0.0;1.0;1.0;0.0;0.0
0.0;1.0;0.0;0.0;1.0;1.0;False;2.0;0.0;1.0;1.0;0.0;0.0
0.0;2.0;0.0;0.0;4.0;4.0;False;2.0;0.0;2.0;2.0;0.0;0.0
0.0;2.0;0.0;0.0;4.0;4.0;False;1.0;0.0;2.0;2.0;0.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;2.0;0.0;2.0;False;0.0;0.0;0.0;1.0;2.0;1.0
0.0;1.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
1.0;2.0;1.0;1.0;0.0;1.0;False;3.0;2.0;0.0;2.0;1.0;0.0
2.0;3.0;5.0;1.0;9.0;9.25;False;0.0;7.0;3.0;3.0;0.25;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;2.0;1.0;0.0;1.0;False;0.0;2.0;0.0;1.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;1.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;9.0;9.0;False;0.0;0.0;3.0;1.0;0.0;0.0
1.0;2.0;1.0;1.0;1.0;1.5;False;0.0;2.0;1.0;2.0;0.5;1.0
1.0;2.0;1.0;0.0;0.0;0.0;False;4.0;2.0;0.0;2.0;0.0;0.0
1.0;2.0;1.0;0.0;0.0;0.0;False;2.0;2.0;0.0;2.0;0.0;0.0
1.0;3.0;0.0;0.0;0.0;0.0;False;2.0;1.0;0.0;3.0;0.0;0.0
