;NumberOfAnonymousClasses_75%;MHF;NCSSForThisMethod_mean;Si_min;ClassFanOutComplexity_max;FileLength_max;NCOMP_50%;NumberOfComparisons_25%;Returns_std;RFC_min;MethodLength_count;NumberOfNumbers_count;Ci_50%;blame_merge_blame_getVocabulary_mean;Returns_50%;ClassFanOutComplexity_count;blamemerge_blamegetLength_std;WMC_CK_75%;Ci_count;blamemerge_priorityMinor_count;Fout_max;blame_merge_priorityMajor_max;CyclomaticComplexity_max;NestedIfElseDepth_mean;NumberOfInnerClasses_max;NestedTryDepth_std;Si_count;NumberOfComparisons_50%;NBD_min;NestedForDepth_50%;NumberOfParenthesizedExps_max;NumberOfParameters_CK_50%;blame_merge_priorityMinor_count;blame_merge_blame_getLength_max;blame_merge_blame_getVolume_count;MethodLength_min;NumberOfLambdas_50%;NOP_25%;blamemerge_priorityMajor_std;NCSSForThisClass_min;NumberOfMethods_Mood;NumberOfPublicMethods_Checkstyle_count;NBD_50%;NumberOfModifiers_min;Returns_75%;NumberOfTryCatch_25%;NumberOfAnonymousClasses_std;IOVars_count;NBD_std;issues_priorityMajor_std;NumberOfPackageMethod_50%;blame_merge_blame_getDifficulty_min;LOCMethod_CK_mean;MaxNumberOfNestedBlocks_25%;blamemerge_blamegetDistinctOperandsCnt_mean;NumberOfTryCatch_std;NestedTryDepth_mean;Maximum Block Depth;blame_merge_blame_getLength_count;CyclomaticComplexity_mean;NVAR_75%;all_process_count;NumberOfPublicMethods_Checkstyle_std;ThrowsCount_50%;blamemerge_priorityMajor_mean;blame_merge_blame_getVolume_min;NCSSForThisClass_75%;NumberOfLogStatements_mean;IsConstructor_top;NumberOfUniqueWords_std;Si_25%;MethodLength_25%;ThrowsCount_max;NumberOfParenthesizedExps_count;NPathComplexity_75%;NumberOfLoops_max;ClRCi;CyclomaticComplexity_std;NumberOfVariables_std;NumberOfParenthesizedExps_min;blamemerge_blamegetVolume_count;NestedForDepth_min;NCOMP_min;LOCMethod_CK_50%;NCOMP_std;blame_merge_blame_getEffort_count;Si_75%;NPathComplexity_std;AnonymousInnerClassLength_count;NCSSForThisMethod_75%;FileLength_min;BooleanExpressionComplexity_mean;CyclomaticComplexity_25%;NumberOfParameters_CK_std;Maximum Depth_std;blamemerge_blamegetVolume_mean;blamemerge_blamegetEffort_max;MCLC_75%;VG_max;ExecutableStatementCount_mean;NCSSForThisMethod_count;NumberOfPrivateMethod_25%;Ci_max;TotalNumberOfOperands;MaxNumberOfNestedBlocks_75%;blamemerge_blamegetDifficulty_max;Difficulty;NumberOfModifiers_50%;Effort;Cohesion;MethodLength_max;NumberOfMethods_Checkstyle_count;ThrowsCount_min;NCSSForThisMethod_std;NPathComplexity_max;Di_mean;CBO_mean;Maximum Depth_25%;CBO_max;ThrowsCount_25%;Si_mean;NBD_25%;NumberOfPrivateAttributes;NumberOfInnerClasses_min;blame_merge_priorityMinor_mean;all_process_insertions_mean;NestedIfElseDepth_50%;issues_priorityMinor_count;blame_merge_blame_getDistinctOperatorsCnt_std;blame_merge_blame_getDistinctOperatorsCnt_mean;WMC_CK_max;NumberOfDistinctOperators;IOVars_25%;Ma;NumberOfNumbers_min;Mit;blame_merge_blame_getDistinctOperatorsCnt_max;NumberOfInheritedMethods;NumberOfUniqueWords_25%;MaxNumberOfNestedBlocks_count;Fout_50%;NumberOfParenthesizedExps_25%;FileLength_mean;NMA;NCSSForThisClass_std;issues_priorityMajor_max;issues_priorityMinor_min;NCSSForThisFile_max;Returns_mean;NumberOfAssignments_25%;Volume;NumberOfMathOperations_25%;NumberOfStringLiterals_50%;NumberOfPolymorphicMethods;all_process_insertions_std;DIT;blame_merge_blame_getDistinctOperandsCnt_min;Fin_max;CBO_std;NVAR_25%;ExecutableStatementCount_max;NumberOfUniqueWords_75%;all_process_insertions_min;ClassDataAbstractionCoupling_50%;Fin_min;NumberOfParameters_CK_min;NCSSForThisFile_50%;blame_merge_blame_getVolume_std;NCSSForThisFile_75%;Maximum Depth_count;blamemerge_blamegetVolume_max;ClassFanOutComplexity_min;blame_merge_blame_getEffort_mean;blamemerge_blamegetLength_count;NumberOfModifiers_max;NumberOfAnonymousClasses_count;Si_50%;NumberOfComparisons_min;ClTCi;NumberOfLoops_std;NumberOfLambdas_count;NumberOfProtectedMethod_max;issues_priorityMajor_count;NumberOfLoops_50%;AnonymousInnerClassLength_mean;ClassDataAbstractionCoupling_std;TLOC;NumberOfTryCatch_75%;MaxNumberOfNestedBlocks_50%;NestedIfElseDepth_max;CBO_min;CBO_25%;IOVars_75%;Ait;Fout_mean;blame_merge_blame_getVocabulary_max;blamemerge_blamegetLength_mean;MaxNumberOfNestedBlocks_mean;NumberOfMathOperations_count;NumberOfParameters_CK_mean;BooleanExpressionComplexity_50%;NumberOfPublicMethods_Checkstyle_25%;all_process_insertions_count;FileLength_count;NCOMP_25%;NumberOfAnonymousClasses_min;NumberOfMathOperations_max;FileLength_75%;NumberOfMathOperations_50%;NumberOfLoops_75%;NMIR;NumberOfMethods_Checkstyle_max;NPathComplexity_50%;WMC_CK_mean;blamemerge_blamegetDistinctOperandsCnt_max;Length;NumberPublicMethods;NumberOfStringLiterals_std;NumberOfAssignments_count;blamemerge_blamegetDifficulty_std;NumberOfNumbers_75%;NestedTryDepth_75%;Average Complexity*;BooleanExpressionComplexity_std;NumberOfPublicMethods_Checkstyle_75%;MCLC_count;NumberOfComparisons_75%;Di_75%;Ci_mean;NumberOfAssignments_mean;NumberOfStringLiterals_mean;NumberOfLogStatements_50%;ClassDataAbstractionCoupling_max;NumberOfLambdas_std;NumberOfPrivateMethod_std;MethodLength_mean;NumberOfPublicAttributes;Maximum Depth_min;blamemerge_blamegetVocabulary_max;blame_merge_blame_getDifficulty_mean;blamemerge_blamegetVocabulary_std;NumberOfStringLiterals_25%;Fin_std;Maximum Depth_max;Mo;NCSSForThisClass_max;blame_merge_blame_getDistinctOperandsCnt_mean;NMI;Bugged;IOVars_std;NumberOfStringLiterals_count;NBD_mean;Ci_min;NCSSForThisFile_std;NumberOfAssignments_max;blame_merge_blame_getVolume_max;Fin_mean;NOP_mean;issues_priorityMajor_min;NumberOfMethods_Checkstyle_std;NumberOfStringLiterals_min;Di_max;NumberOfLogStatements_75%;blamemerge_blamegetDifficulty_count;Average Statements per Method;NumberOfTryCatch_50%;NumberOfUniqueWords_max;blame_merge_blame_getLength_std;blamemerge_blamegetVolume_std;ExecutableStatementCount_count;NumberOfParameters_CK_max;blame_merge_priorityMinor_max;NumberOfMethods_Checkstyle_mean;ClassFanOutComplexity_25%;NPathComplexity_25%;AIF;NestedIfElseDepth_std;NCSSForThisClass_count;NCSSForThisMethod_50%;NumberOfLambdas_min;NestedForDepth_std;Returns_25%;NumberOfPublicMethods_Checkstyle_max;all_process_changes_std;NestedIfElseDepth_min;NumberOfMathOperations_std;blame_merge_priorityMajor_mean;NumberOfMathOperations_min;NumberOfVariables_25%;NBD_max;NumberOfLogStatements_25%;NumberOfAttributes;NumberOfModifiers_count;NCSSForThisMethod_min;ThrowsCount_std;MaxNumberOfNestedBlocks_std;NPathComplexity_mean;NumberOfPackageMethod_std;Ci_75%;blamemerge_blamegetVocabulary_count;NumberOfInnerClasses_25%;CyclomaticComplexity_count;NumberOfAssignments_75%;NumberOfModifiers_75%;Di_std;Di_min;NORM;all_process_deletions_max;IOVars_min;PMd;RTLOC;NumberOfModifiers_mean;Di_50%;blamemerge_blamegetEffort_std;CyclomaticComplexity_min;NCSSForThisFile_25%;NumberOfPackageMethod_max;IsConstructor_freq;AnonymousInnerClassLength_max;NumberOfLambdas_max;blamemerge_blamegetDistinctOperatorsCnt_count;blame_merge_blame_getDifficulty_count;all_process_changes_min;all_process_deletions_mean;MCLC_max;blame_merge_blame_getLength_min;LOCMethod_CK_std;NVAR_max;Maximum Depth_50%;NumberOfMathOperations_mean;NumberOfVariables_mean;NumberOfUniqueWords_mean;NPF;blamemerge_blamegetDistinctOperandsCnt_std;NumberOfParenthesizedExps_std;ClassDataAbstractionCoupling_25%;AnonymousInnerClassLength_50%;NumberOfAnonymousClasses_25%;NumberOfTryCatch_min;all_process_changes_mean;Fout_25%;PMi;VG_75%;Av;NOP_min;NumberOfComparisons_std;blame_merge_blame_getEffort_std;LOCMethod_CK_25%;NumberOfProtectedMethod_25%;IsConstructor_count;NestedForDepth_max;NumberOfLambdas_25%;LOCMethod_CK_count;blamemerge_blamegetDistinctOperatorsCnt_std;NOPa;NumberOfMethods_Checkstyle_25%;Fout_std;FileLength_25%;NCSSForThisClass_50%;NumberOfPrivateMethod_mean;blamemerge_priorityMinor_max;Fout_75%;NVAR_std;NumberOfInnerClasses_count;NumberOfProtectedMethod_mean;RFC_25%;NumberOfAnonymousClasses_max;NVAR_mean;NumberUserDefinedAttributes;NCOMP_mean;VG_count;NestedForDepth_mean;blame_merge_blame_getEffort_max;NumberOfProtectedMethod_std;NestedTryDepth_min;VG_50%;NumberOfAnonymousClasses_50%;Ad;blame_merge_blame_getDistinctOperatorsCnt_min;LOCMethod_CK_75%;NumberOfModifiers_std;NCSSForThisFile_min;NumberOfProtectedMethod_50%;NumberOfNumbers_25%;MIF;WMC_CK_std;NestedTryDepth_25%;AnonymousInnerClassLength_std;NumberOfLambdas_mean;VG_min;CyclomaticComplexity_75%;NCSSForThisMethod_25%;Maximum Complexity*;RFC_mean;RFC_75%;NumberOfVariables_75%;blamemerge_priorityMinor_std;blamemerge_blamegetVocabulary_mean;NestedForDepth_25%;NumberOfComparisons_count;NumberOfLoops_count;Ci_std;NumberOfUniqueWords_50%;NumberOfComparisons_max;issues_priorityMinor_mean;NOD;Returns_min;AHF;NumberOfParenthesizedExps_50%;NumberOfNumbers_max;NumberOfLogStatements_max;NumberOfMethods_Checkstyle_min;FileLength_50%;NCOMP_75%;NumberOfMethods_Checkstyle_50%;Fout_count;NestedTryDepth_max;blame_merge_blame_getDifficulty_max;blamemerge_blamegetLength_max;NOP_std;CyclomaticComplexity_50%;blame_merge_blame_getVolume_mean;VG_mean;NPM;ClassDataAbstractionCoupling_75%;NestedTryDepth_count;ThrowsCount_count;NumberOfPrivateMethod_50%;NBD_count;all_process_changes_count;all_process_insertions_max;NumberOfUniqueWords_min;RFC_std;NumberOfInnerClasses_std;NumberOfAncestors;IOVars_50%;CBO_50%;blame_merge_blame_getLength_mean;blame_merge_priorityMajor_count;NM;ThrowsCount_mean;NumberOfStringLiterals_75%;blamemerge_blamegetDistinctOperatorsCnt_mean;NumberOfVariables_count;NumberOfVariables_50%;Md;Ci_25%;NumberOfPackageMethod_mean;NumberOfParenthesizedExps_75%;ClassFanOutComplexity_mean;blame_merge_blame_getDistinctOperandsCnt_max;NumberOfParameters_CK_25%;Maximum Depth_75%;Di_25%;blame_merge_blame_getDistinctOperatorsCnt_count;NCSSForThisClass_mean;Maximum Depth_mean;NumberOfLambdas_75%;blame_merge_blame_getVocabulary_std;MCLC_std;NumberOfPrivateMethod_count;NumberOfComparisons_mean;NumberOfAssignments_std;ClassDataAbstractionCoupling_count;blamemerge_blamegetDifficulty_mean;NumberOfAssignments_50%;NumberOfProtectedMethod_min;NumberOfTryCatch_max;all_process_deletions_count;NOP_50%;NumberOfProtectedAttributes;MaxNumberOfNestedBlocks_min;NBD_75%;NCSSForThisFile_mean;ClassDataAbstractionCoupling_min;Aa;NumberOfProtectedMethod_75%;HMd;NumberOfNumbers_std;Returns_count;blame_merge_priorityMajor_min;NumberOfSubclasses;NumberOfLogStatements_std;Vocabulary;blame_merge_priorityMinor_min;NOP_count;WMC_CK_count;NSF;NestedIfElseDepth_75%;NumberOfPrivateMethod_max;ClassFanOutComplexity_50%;WMC_CK_50%;Fout_min;all_process_deletions_std;blamemerge_priorityMajor_min;BooleanExpressionComplexity_min;all_process_changes_max;NVAR_50%;NumberOfPrivateMethod_75%;NumberOfPackageMethod_min;NumberOfInnerClasses_75%;NumberOfCoupledClasses;FileLength_std;LOCMethod_CK_min;TotalNumberOfOperators;blame_merge_blame_getDistinctOperandsCnt_count;blame_merge_blame_getVocabulary_min;ClassFanOutComplexity_std;Fin_50%;issues_priorityMajor_mean;NCSSForThisClass_25%;ExecutableStatementCount_min;ExecutableStatementCount_25%;NVAR_min;blamemerge_priorityMajor_max;NumberOfInnerClasses_50%;MCLC_50%;MethodLength_75%;issues_priorityMinor_std;NumberOfLoops_min;NumberOfParameters_CK_count;NumberOfAnonymousClasses_mean;NOP_max;AnonymousInnerClassLength_25%;issues_priorityMinor_max;ClassDataAbstractionCoupling_mean;NSM;blamemerge_blamegetEffort_mean;VG_25%;BooleanExpressionComplexity_75%;MCLC_25%;NumberOfTryCatch_mean;blamemerge_blamegetDistinctOperandsCnt_count;NumberOfPublicMethods_Checkstyle_min;MaxNumberOfNestedBlocks_max;NumberOfAssignments_min;NumberOfLogStatements_count;BooleanExpressionComplexity_count;NumberOfMathOperations_75%;NestedIfElseDepth_25%;WMC;NumberOfPackageMethod_25%;LOCMethod_CK_max;all_process_deletions_min;HMi;Ao;NumberOfInnerClasses_mean;NVAR_count;NOP_75%;blame_merge_blame_getDifficulty_std;NCOMP_count;NOCh;MCLC_min;Fin_75%;NumberOfPrivateMethod_min;ThrowsCount_75%;blamemerge_blamegetEffort_count;NPathComplexity_count;blame_merge_blame_getDistinctOperandsCnt_std;Si_max;ExecutableStatementCount_50%;NCOMP_max;NCSSForThisFile_count;NestedForDepth_75%;RFC_count;ClassFanOutComplexity_75%;blame_merge_blame_getVocabulary_count;ExecutableStatementCount_75%;NumberOfVariables_max;BooleanExpressionComplexity_25%;NumberOfProtectedMethod_count;NPathComplexity_min;Average Block Depth;IOVars_max;NumberOfLogStatements_min;NumberOfTryCatch_count;blamemerge_priorityMinor_mean;RFC_max;NumberOfVariables_min;Di_count;NumberOfParameters_CK_75%;NumberOfMethods_Checkstyle_75%;AnonymousInnerClassLength_75%;CBO_75%;NF;NOA;NumberOfParenthesizedExps_mean;Ai;IOVars_mean;MethodLength_50%;WMC_CK_min;blame_merge_priorityMinor_std;Mi;NumberOfPublicMethods_Checkstyle_mean;blame_merge_priorityMajor_std;NumberOfNumbers_50%;Returns_max;NumberOfStringLiterals_max;MCLC_mean;NOL;ExecutableStatementCount_std;Fin_count;IsConstructor_unique;CBO_count;NumberOfPackageMethod_75%;NestedForDepth_count;blamemerge_blamegetDistinctOperatorsCnt_max;SIX;NumberOfNumbers_mean;Si_std;PMR;NumberOfPackageMethod_count;NestedTryDepth_50%;blamemerge_priorityMajor_count;NCSSForThisMethod_max;MethodLength_std;NumberOfPublicMethods_Checkstyle_50%;NumberOfLoops_mean;RFC_50%;blame_merge_blame_getEffort_min;NumberOfUniqueWords_count;BooleanExpressionComplexity_max;Fin_25%;WMC_CK_25%;NumberOfModifiers_25%;VG_std;NumberOfDistinctOperands;NumberOfLoops_25%;AnonymousInnerClassLength_min;NestedIfElseDepth_count
count;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
