;NumberOfComparisons;NumberOfInnerClasses;NumberOfTryCatch;WMC_CK;RFC;NumberOfNumbers;NumberOfParameters_CK;NumberOfModifiers;Returns;NumberOfParenthesizedExps;MaxNumberOfNestedBlocks;LOCMethod_CK;NumberOfVariables;NumberOfUniqueWords;NumberOfLogStatements;IsConstructor;CBO;NumberOfLambdas;NumberOfAnonymousClasses;BuggedMethods;NumberOfMathOperations;NumberOfStringLiterals;NumberOfLoops;NumberOfAssignments
count;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313;19313.0;19313.0;19313.0;19313;19313.0;19313.0;19313.0;19313.0
unique;;;;;;;;;;;;;;;;2;;;;2;;;;
top;;;;;;;;;;;;;;;;False;;;;False;;;;
freq;;;;;;;;;;;;;;;;18927;;;;19254;;;;
mean;0.1570962564076011;0.0;0.010252161756329934;0.9242479159115622;1.3688707088489618;0.3885983534406876;0.23098431108579714;1.2002278258168073;0.421425982498835;0.04789520012426863;0.18365867550354684;3.522549578004453;0.5146792316056542;5.3286387407445766;0.030963599647905557;;0.943095324392896;0.0005177859472893906;0.0032620514679231605;;0.15031326049811009;0.48847926267281105;0.08025682182985554;0.7646145083622431
std;0.7829138647500247;0.0;0.11512800231282291;1.5453342446745988;3.334206152670311;2.471362169605011;0.5177353230754678;10.720624492490515;0.7690892248180664;0.44269225925764843;0.5596910523196263;6.378161649428592;1.84488152565844;7.751904414677233;0.3209641846689932;;1.8668729109651006;0.03374788813280242;0.06780775784144384;;0.9186753538645499;2.1516367086215493;0.39384780029500005;2.348252200821881
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
75%;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;8.0;0.0;;1.0;0.0;0.0;;0.0;0.0;0.0;0.0
max;19.0;0.0;5.0;29.0;66.0;95.0;19.0;1028.0;13.0;26.0;7.0;165.0;52.0;112.0;14.0;;32.0;4.0;4.0;;52.0;71.0;11.0;55.0
