;NOD;Bugged;ClTCi;NSF;NSM;ClRCi;PMd;RTLOC;TLOC;NPF;NOL;NOA
count;289.0;289;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0
unique;;2;;;;;;;;;;
top;;False;;;;;;;;;;
freq;;273;;;;;;;;;;
mean;0.0;;15.526820728290655;2.449826989619377;0.4671280276816609;1.0558436236262976;5.377162629757786;156.26989619377161;54.339100346020764;1.740484429065744;0.0;0.0
std;0.0;;42.72080618189241;7.492941699838968;1.7891821108856165;1.1916622824209266;13.671732962545535;423.11587651454266;129.056118932463;7.057683050569175;0.0;0.0
min;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;;2.0;0.0;0.0;1.0;0.0;29.0;5.0;0.0;0.0;0.0
75%;0.0;;11.0;2.0;0.0;1.857142857;5.0;161.0;62.0;0.0;0.0;0.0
max;0.0;;296.835714286;76.0;21.0;6.315653495;108.0;3620.0;1065.0;74.0;0.0;0.0
