;blamemerge_blamegetVocabulary_std;MethodLength_max;AnonymousInnerClassLength_25%;blamemerge_blamegetEffort_count;blame_merge_blame_getVolume_count;AnonymousInnerClassLength_50%;blamemerge_blamegetLength_mean;MethodLength_count;AnonymousInnerClassLength_max;blamemerge_blamegetDifficulty_count;Effort;Volume;blame_merge_blame_getDifficulty_mean;FileLength_max;blame_merge_blame_getVolume_std;MethodLength_std;TotalNumberOfOperands;FileLength_25%;blamemerge_blamegetLength_std;blamemerge_blamegetEffort_mean;blame_merge_blame_getVolume_min;blamemerge_blamegetVolume_mean;FileLength_std;blamemerge_blamegetEffort_max;blame_merge_blame_getVocabulary_max;blamemerge_blamegetVolume_count;FileLength_50%;Difficulty;NumberOfDistinctOperands;Vocabulary;NumberOfDistinctOperators;blame_merge_blame_getEffort_mean;MethodLength_25%;TotalNumberOfOperators;AnonymousInnerClassLength_min;MethodLength_mean;blame_merge_blame_getEffort_std;blame_merge_blame_getDifficulty_min;blamemerge_blamegetDifficulty_std;blamemerge_blamegetEffort_std;blame_merge_blame_getVocabulary_mean;AnonymousInnerClassLength_75%;FileLength_mean;blame_merge_blame_getLength_min;blame_merge_blame_getEffort_min;blame_merge_blame_getEffort_max;blame_merge_blame_getLength_mean;blamemerge_blamegetDifficulty_mean;AnonymousInnerClassLength_count;FileLength_75%;AnonymousInnerClassLength_mean;AnonymousInnerClassLength_std;blamemerge_blamegetDifficulty_max;blame_merge_blame_getVocabulary_count;blamemerge_blamegetVocabulary_count;MethodLength_min;blamemerge_blamegetVocabulary_mean;blamemerge_blamegetLength_max;blame_merge_blame_getVolume_max;blame_merge_blame_getVolume_mean;blame_merge_blame_getDifficulty_std;Length;blame_merge_blame_getLength_max;Bugged;blame_merge_blame_getLength_count;FileLength_count;FileLength_min;MethodLength_75%;blame_merge_blame_getLength_std;blame_merge_blame_getVocabulary_min;blamemerge_blamegetVocabulary_max;MethodLength_50%;blame_merge_blame_getEffort_count;blamemerge_blamegetVolume_max;blame_merge_blame_getDifficulty_max;blamemerge_blamegetVolume_std;blame_merge_blame_getVocabulary_std;blamemerge_blamegetLength_count;blame_merge_blame_getDifficulty_count
count;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1732;;;;;;;;;;;;;;;
mean;4.358094504228409;12.399787910922587;0.06720572640509014;18178.224284199365;0.0;0.0930540827147402;5.075355606169297;3.7741251325556733;0.805408271474019;18178.224284199365;3256343.1534834728;21940.40953126185;0.0;72.3780487804878;0.0;3.5088374819588783;961.1595970307529;5.954798515376458;5.914447027684184;44.625438274936414;0.0;16.270386563545365;24.19889270146953;783.0391637564713;0.0;18178.224284199365;6.961558854718982;53.678039357045044;185.91728525980912;211.05673382820785;25.139448568398727;0.0;4.216595970307529;1490.2688229056203;0.048250265111346766;6.129971897035215;0.0;0.0;1.2743830043535254;91.92988154449576;0.0;0.18518027571580065;15.116148512483402;0.0;0.0;0.0;0.0;0.9567277506218429;3.7741251325556733;11.74430010604454;0.18947390340325668;0.2796025189127923;6.343106064595535;0.0;18178.224284199365;3.4183457051961823;4.015134231409091;29.461293743372217;0.0;0.0;0.0;2451.4284199363733;0.0;;0.0;3.7741251325556733;4.9480381760339345;7.009544008483563;0.0;0.0;17.93849416755037;5.173647932131495;0.0;122.79559143698846;0.0;21.963815604333597;0.0;18178.224284199365;0.0
std;0.9099207831088346;25.50404929533687;0.6610794862171752;25452.37769404214;0.0;0.7456039186052847;2.7977631096287383;6.228018205871146;3.6787139399964386;25452.37769404214;10609395.130512869;51277.84699231695;0.0;147.23593626906754;0.0;9.122172132818777;1893.243166783821;35.0736461560652;1.9370537917751567;36.1985471767412;0.0;9.661339752763451;39.85726848609762;1093.2184063134957;0.0;25452.37769404214;36.272436305723495;51.78190421148509;227.413155484172;234.93727694965756;13.321296346586799;0.0;8.362791645697772;3143.448525711325;0.6259673578471288;10.080070356376737;0.0;0.0;0.3793457253297093;80.1744649390207;0.0;1.124896290818028;37.81851134051843;0.0;0.0;0.0;0.0;0.46502725056513317;6.228018205871146;40.57412659147554;0.9387580965212481;1.2803032446654714;4.214254595217347;0.0;25452.37769404214;7.899599601665353;1.9408229382022446;18.16585356593301;0.0;0.0;0.0;5034.126665654631;0.0;;0.0;6.228018205871146;34.760559586699756;11.468005966730631;0.0;0.0;6.906839931355474;9.158286251088919;0.0;90.57384995397767;0.0;9.228740075318997;0.0;25452.37769404214;0.0
min;0.3200176735416021;0.0;0.0;90.0;0.0;0.0;0.06259286775631501;0.0;0.0;90.0;177.6211064707724;59.207035490257475;0.0;0.0;0.0;0.0;7.0;0.0;0.33438918268976603;0.04907384274684238;0.0;0.0209816947089416;0.0;25.266194298518442;0.0;90.0;0.0;3.0;7.0;13.0;6.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.07046661529687276;1.840081079341089;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0019502228826151558;0.0;0.0;0.0;0.0;1.5;0.0;90.0;0.0;0.062035661218424965;9.0;0.0;0.0;0.0;16.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;25.266194298518442;0.0;0.7285036691834681;0.0;90.0;0.0
25%;3.8503567494461963;0.0;0.0;3523.25;0.0;0.0;2.203963387852135;1.0;0.0;3523.25;50663.418619671;2371.5146684610563;0.0;0.0;0.0;0.0;165.5;0.0;4.2436084686329005;20.06463990717649;0.0;6.896908317358411;0.0;150.5684250302886;0.0;3523.25;0.0;14.227659574468086;60.0;82.0;13.0;0.0;0.0;211.5;0.0;0.0;0.0;0.0;1.0162613651270944;47.581409614200076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.49039780521262;1.0;0.0;0.0;0.0;3.5;0.0;3523.25;0.0;2.071685669572994;15.0;0.0;0.0;0.0;372.0;0.0;;0.0;1.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;49.82892142331044;0.0;14.978589847997807;0.0;3523.25;0.0
50%;4.270670494282689;3.0;0.0;7380.0;0.0;0.0;5.345023440317346;1.0;0.0;7380.0;199268.07756960808;8072.775221255299;0.0;0.0;0.0;0.0;450.5;0.0;6.013405501940818;40.050011389152964;0.0;16.927667972157835;0.0;496.4239051917757;0.0;7380.0;0.0;35.70782726045884;123.0;153.0;24.0;0.0;3.0;610.0;0.0;3.0;0.0;0.0;1.231879233510758;75.21005294819298;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9767025972165754;1.0;0.0;0.0;0.0;5.366666666666667;0.0;7380.0;3.0;4.263727038727039;25.0;0.0;0.0;0.0;1090.0;0.0;;0.0;1.0;0.0;3.0;0.0;0.0;17.0;3.0;0.0;102.18657103125851;0.0;21.646869107290065;0.0;7380.0;0.0
75%;4.860520993468708;15.0;0.0;26457.0;0.0;0.0;6.802848283999901;5.0;0.0;26457.0;857838.9495813254;14005.682138136059;0.0;95.0;0.0;3.5355339059327378;743.0;0.0;7.054120036109612;63.6678139362319;0.0;21.65878321559471;41.23307733685017;880.4795209683067;0.0;26457.0;0.0;69.96689551767678;227.0;244.0;35.0;0.0;5.0;1023.0;0.0;8.7375;0.0;0.0;1.5512785102336877;127.6884919707209;0.0;0.0;21.323529411764703;0.0;0.0;0.0;0.0;1.3136952522409484;5.0;0.0;0.0;0.0;7.5;0.0;26457.0;3.0;5.393497757847534;36.0;0.0;0.0;0.0;1766.0;0.0;;0.0;5.0;0.0;10.0;0.0;0.0;22.0;7.0;0.0;158.06534802811169;0.0;27.358457350998343;0.0;26457.0;0.0
