;NPathComplexity_25%;FileLength_std;MethodLength_std;CyclomaticComplexity_min;NestedForDepth_max;NumberOfProtectedMethod_50%;CyclomaticComplexity_50%;NumberOfPublicMethods_Checkstyle_75%;BooleanExpressionComplexity_75%;NestedTryDepth_50%;ThrowsCount_min;FileLength_25%;NCSSForThisClass_min;NestedIfElseDepth_75%;NestedIfElseDepth_50%;NumberOfMethods_Checkstyle_count;BooleanExpressionComplexity_std;NestedTryDepth_max;NCSSForThisFile_50%;NCSSForThisClass_mean;NestedIfElseDepth_25%;FileLength_min;NCSSForThisMethod_max;NumberOfProtectedMethod_max;FileLength_50%;NestedForDepth_25%;NumberOfPackageMethod_min;ExecutableStatementCount_min;NumberOfPackageMethod_max;MethodLength_mean;NCSSForThisClass_max;ClassDataAbstractionCoupling_min;ExecutableStatementCount_50%;ExecutableStatementCount_mean;NestedForDepth_75%;AnonymousInnerClassLength_max;NCSSForThisClass_count;FileLength_max;NumberOfPrivateMethod_50%;NCSSForThisFile_std;ClassFanOutComplexity_count;MethodLength_max;NPathComplexity_max;NCSSForThisFile_count;NumberOfPrivateMethod_mean;CyclomaticComplexity_25%;NestedIfElseDepth_std;ClassDataAbstractionCoupling_75%;NestedForDepth_mean;NumberOfPackageMethod_75%;ClassDataAbstractionCoupling_count;Bugged;NCSSForThisFile_mean;NumberOfPackageMethod_std;NestedTryDepth_25%;ExecutableStatementCount_max;ClassDataAbstractionCoupling_max;NumberOfPublicMethods_Checkstyle_std;NCSSForThisFile_min;BooleanExpressionComplexity_max;NCSSForThisMethod_75%;NumberOfProtectedMethod_75%;NumberOfProtectedMethod_25%;NumberOfMethods_Checkstyle_75%;NumberOfProtectedMethod_mean;NCSSForThisFile_max;ThrowsCount_25%;ClassDataAbstractionCoupling_mean;NumberOfMethods_Checkstyle_max;ExecutableStatementCount_25%;NCSSForThisMethod_50%;NPathComplexity_count;NumberOfPublicMethods_Checkstyle_mean;NumberOfProtectedMethod_std;NumberOfProtectedMethod_min;MethodLength_25%;AnonymousInnerClassLength_count;NCSSForThisFile_25%;NumberOfMethods_Checkstyle_25%;ClassDataAbstractionCoupling_50%;NumberOfMethods_Checkstyle_50%;NestedIfElseDepth_min;NCSSForThisClass_25%;BooleanExpressionComplexity_count;BooleanExpressionComplexity_25%;ThrowsCount_count;ClassFanOutComplexity_std;NumberOfPackageMethod_50%;NestedTryDepth_count;AnonymousInnerClassLength_75%;ClassFanOutComplexity_25%;ExecutableStatementCount_std;NCSSForThisMethod_min;ClassFanOutComplexity_mean;FileLength_count;NumberOfPrivateMethod_count;NCSSForThisMethod_std;NumberOfPackageMethod_mean;AnonymousInnerClassLength_std;ThrowsCount_75%;AnonymousInnerClassLength_mean;ClassDataAbstractionCoupling_25%;NumberOfPackageMethod_count;NumberOfPublicMethods_Checkstyle_count;NumberOfMethods_Checkstyle_std;ThrowsCount_mean;MethodLength_min;NumberOfProtectedMethod_count;CyclomaticComplexity_mean;NCSSForThisMethod_count;AnonymousInnerClassLength_min;CyclomaticComplexity_max;ClassDataAbstractionCoupling_std;NPathComplexity_min;NumberOfPrivateMethod_max;BooleanExpressionComplexity_mean;NestedForDepth_count;NPathComplexity_50%;NumberOfPrivateMethod_75%;NestedForDepth_50%;FileLength_mean;MethodLength_75%;NumberOfPublicMethods_Checkstyle_min;NPathComplexity_mean;AnonymousInnerClassLength_50%;ClassFanOutComplexity_75%;BooleanExpressionComplexity_min;ThrowsCount_max;NestedTryDepth_std;NumberOfPrivateMethod_std;NestedTryDepth_mean;NCSSForThisMethod_25%;NCSSForThisFile_75%;NestedIfElseDepth_mean;NestedForDepth_std;FileLength_75%;CyclomaticComplexity_std;NumberOfPublicMethods_Checkstyle_50%;NumberOfPublicMethods_Checkstyle_25%;ClassFanOutComplexity_50%;ExecutableStatementCount_75%;ThrowsCount_std;ClassFanOutComplexity_max;CyclomaticComplexity_75%;AnonymousInnerClassLength_25%;NumberOfPublicMethods_Checkstyle_max;NCSSForThisClass_std;NumberOfMethods_Checkstyle_mean;NestedTryDepth_75%;MethodLength_50%;ThrowsCount_50%;ClassFanOutComplexity_min;ExecutableStatementCount_count;NCSSForThisClass_50%;NumberOfPrivateMethod_min;NumberOfMethods_Checkstyle_min;NPathComplexity_std;NumberOfPackageMethod_25%;NCSSForThisClass_75%;NestedIfElseDepth_max;MethodLength_count;NPathComplexity_75%;NCSSForThisMethod_mean;NestedForDepth_min;NumberOfPrivateMethod_25%;CyclomaticComplexity_count;NestedIfElseDepth_count;BooleanExpressionComplexity_50%;NestedTryDepth_min
count;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;3.831222292590247;25.404705502349557;3.1382211476940904;0.9373020899303357;0.02026599113362888;0.022482583913869536;1.1187460417986068;0.6312539582013933;0.059531348955034834;0.0018999366687777073;0.015199493350221659;12.712792906903104;1.4053198226725776;0.03910702976567448;0.019632678910702975;3.039265357821406;0.06250175216370873;0.012032932235592146;3.993983533882204;4.512441001174175;0.01440785307156428;10.293856871437619;5.762507916402787;0.21912602913236226;15.131728942368587;0.003324889170360988;0.009499683343888538;1.2254591513616213;0.05763141228625712;6.168621311259138;16.64471184293857;0.04116529449018366;2.123179227359088;2.428956215262349;0.005383153894870171;0.49841671944268523;3.039265357821406;67.90626979100696;0.014566181127295756;9.0686743101336;3.039265357821406;10.701076630778974;39.1931602279924;3.039265357821406;0.0467281545433397;1.0061747941735275;0.04048427788266917;0.13758708043065232;0.006222630650492859;0.019316022799240027;3.039265357821406;;7.012069820217536;0.0203850486528799;0.0011082963901203294;4.442685243825206;0.5079164027865738;0.8735985852309264;2.520582647245092;0.15769474350854973;4.059689677010766;0.04243191893603546;0.016941101963267893;0.7249841671944268;0.051227364820019404;23.40215326155795;0.025174160861304622;0.14295453903600808;2.924002533248892;1.5943635212159595;3.0965801139962;3.039265357821406;0.6603967741328701;0.08560089482894473;0.011399620012666244;4.405478150728309;3.039265357821406;3.257283090563648;0.3503799873337555;0.08043065231158962;0.4316022799240025;0.011399620012666244;1.8419886003799872;3.039265357821406;0.023432552248258392;3.039265357821406;1.5882034790430661;0.01266624445851805;3.039265357821406;0.06317289423685878;1.0155161494616847;1.497298179605068;2.0930968967701076;1.6949250617818283;3.039265357821406;3.039265357821406;1.6821218399019626;0.019407818223942386;0.1628975173088789;0.048290056998100066;0.08636276577156934;0.060797973400886635;3.039265357821406;3.039265357821406;1.0709839497690432;0.03850408125211034;3.636478784040532;3.039265357821406;1.2050680933065425;3.039265357821406;0.010766307789740342;1.7884737175427485;0.20366561942541098;3.5680810639645344;0.2710576314122863;0.05327812833550071;3.039265357821406;4.1697276757441415;0.029765674477517417;0.0034832172260924636;23.111693985623173;7.2675744141861935;0.24129195693476885;7.1202077272446385;0.044648511716276124;1.8117479417352755;0.017099430018999367;0.07346421785940468;0.00490108248420225;0.09491065186275494;0.003146352639156902;2.5061747941735275;6.909436352121596;0.034677232033570024;0.006487189395331221;23.180493983533882;0.357131616918731;0.3818872704243192;0.31143128562381256;1.2064597846738443;2.9905003166561115;0.03113126092171449;4.070930968967701;1.3041481950601648;0.027707409753008234;2.388853704876504;6.399991632804065;0.777644964043276;0.0031665611146295125;5.549081697276757;0.036415452818239394;0.8271057631412286;3.039265357821406;2.285623812539582;0.007599746675110829;0.26979100696643443;10.10168183308481;0.011082963901203294;4.3351804939835334;0.10766307789740343;3.039265357821406;5.127929069031032;3.4442802748353833;0.0031665611146295125;0.010924635845471818;3.039265357821406;3.039265357821406;0.032932235592146926;0.0006333122229259025
std;104.24043959208166;30.67956441199804;7.634214408778998;1.071225476787483;0.16574808003507305;0.13891638454650976;1.249457453147599;0.6442615550436016;0.25458912597762284;0.04356063173912689;0.12745737168442364;19.523922256902868;5.564952073482586;0.21065207607776923;0.14869816774630368;4.705494290669996;0.21814081252289932;0.12012713556610748;6.600000616601917;7.185493897545579;0.13405946447131517;19.893787210813677;10.449830062373191;0.9084110537278719;20.907168532785434;0.056543019120978484;0.1898193136415045;2.388148884889195;0.4694437162360681;9.408690931773055;30.19190504306091;0.2444883639621495;5.1679211633886615;4.7836187840685;0.06873030627896257;6.7223001582883315;4.705494290669996;84.1803699316583;0.2844345755674686;13.36818945207919;4.705494290669996;18.71866470181814;527.2896333790668;4.705494290669996;0.310421411843585;1.1200520809219983;0.1592453065409042;0.39517183278273693;0.06495548492253231;0.22005135548857552;4.705494290669996;;7.573238367099744;0.1739624514562476;0.0326827559377882;9.54522166653154;1.2618641140934055;1.083398107919043;5.822799527470711;0.5120437991618078;7.320061014065813;0.19866803206687975;0.11497320325501505;0.7941232479632832;0.18136277071646417;35.26630206396379;0.14419882043046717;0.3346458311667198;4.514087251714337;3.273732674550959;5.680220586755857;4.705494290669996;0.4903728787801867;0.32187810169393877;0.10619232749170945;7.291561963282139;4.705494290669996;5.870319981241769;0.6550427244493234;0.3055105506366919;0.6981385018037292;0.1278535056612379;5.607929733054011;4.705494290669996;0.16194124090222392;4.705494290669996;2.168983735070049;0.19620395467971063;4.705494290669996;0.7202093607560088;1.8081712947449244;4.4885383492235436;3.194509186966192;1.8866779114378822;4.705494290669996;4.705494290669996;4.679271001709086;0.20859603378210279;1.5065040319677991;0.20816718315611765;0.7054748758999533;0.2595311099954288;4.705494290669996;4.705494290669996;1.2173967932562424;0.1650379131287651;6.41979564988923;4.705494290669996;1.3258358055147268;4.705494290669996;0.28792445139878586;2.7566431136083533;0.4659996933140871;104.21222202223781;1.1257970936938613;0.20526235102629703;4.705494290669996;104.34171253150346;0.30531935253753506;0.057574783601444496;19.354437869297847;12.174678547089954;0.47966755783347453;110.9888723475317;0.5760328685106121;2.3224983237186745;0.15216709886041002;0.27745693636824503;0.0498244177033808;0.3502345684143774;0.046168565384228546;3.9407648450333794;10.007638856739185;0.16504011351690623;0.06175779867517521;24.857026969111804;0.9489859834829062;0.5260766472117259;0.47433574746934987;1.9705843950900903;6.798480199242077;0.13434055724018287;4.2826362458026805;1.534896224208316;0.3936080710252769;4.0130683090351384;10.949941054767015;0.6451787198509461;0.05895244799394135;9.487115075274264;0.17739151965059888;1.8082685514619528;4.705494290669996;5.942781866443714;0.2779483076922492;0.6617702145588369;131.89544021607722;0.19139612492440028;8.715468461834188;0.3993794907932964;4.705494290669996;104.97723260415518;5.373264796101018;0.05620083935087848;0.27947199223426233;4.705494290669996;4.705494290669996;0.19219155617349737;0.025165695359475018
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;24.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;;1.3514705882352942;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.8166666666666667;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0
50%;0.0;23.09401076758503;0.0;1.0;0.0;0.0;1.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;3.5;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;6.0;0.0;1.0;1.0;0.0;0.0;2.0;46.0;0.0;4.024922359499622;2.0;3.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;;5.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;12.0;0.0;0.0;2.0;1.0;2.0;2.0;1.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.4142135623730951;0.0;3.0;2.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.5;0.0;0.0;22.0;3.0;0.0;0.5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;4.5;0.0;0.0;24.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;0.0;1.0;0.0;1.0;0.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.75;0.0;2.0;0.75;2.0;0.0;0.0;2.0;2.0;0.0;0.0
75%;1.0;44.72751958288871;2.8867513459481287;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;24.0;0.0;0.0;0.0;4.0;0.0;0.0;7.0;6.0;0.0;0.0;7.0;0.0;32.5;0.0;0.0;1.0;0.0;9.0;18.0;0.0;2.5;3.0;0.0;0.0;4.0;86.0;0.0;14.849242404917495;4.0;14.0;2.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;;10.428571428571429;0.0;0.0;5.0;1.0;1.557712671755728;0.0;0.0;5.0;0.0;0.0;1.0;0.0;29.0;0.0;0.1;4.0;1.75;4.0;4.0;1.0;0.0;0.0;5.0;4.0;5.0;1.0;0.0;1.0;0.0;2.75;4.0;0.0;4.0;2.8284271247461903;0.0;4.0;0.0;1.25;1.2821796266128667;2.0;2.6;4.0;4.0;1.5127164146827239;0.0;0.0;0.0;0.0;0.0;4.0;4.0;2.0;0.0;3.0;4.0;1.3166666666666667;4.0;0.0;2.0;0.0;1.0;0.0;0.0;4.0;1.0;0.0;0.0;35.45;10.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;11.0;0.0;0.0;40.0;0.0;1.0;0.5;2.0;4.0;0.0;6.0;1.0;0.0;3.0;9.237604307034012;1.0;0.0;7.5;0.0;0.0;4.0;3.5;0.0;1.0;0.7071067811865476;0.0;6.0;0.0;4.0;1.0;4.5;0.0;0.0;4.0;4.0;0.0;0.0
