;NSF;RTLOC;NOD;NOA;TLOC;NPF;NOL;NSM;ClTCi;PMd;Bugged;ClRCi
count;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329;329.0
unique;;;;;;;;;;;2;
top;;;;;;;;;;;False;
freq;;;;;;;;;;;182;
mean;0.5805471124620061;242.9969604863222;0.6960486322188449;0.0;136.34650455927053;0.12462006079027356;0.060790273556231005;0.8753799392097265;30.68103198727051;5.693009118541034;;1.2767437861428572
std;1.4484174517001316;411.39378277135927;2.6048763273051034;0.0;265.6609251085168;0.5292959471961683;0.3438669735738865;2.086462300504279;55.26584704216596;9.101727576730374;;1.316930495386956
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
50%;0.0;26.0;0.0;0.0;11.0;0.0;0.0;0.0;4.0;0.0;;1.333333333
75%;0.0;330.0;0.0;0.0;144.0;0.0;0.0;1.0;37.5;8.0;;2.5625
max;9.0;1782.0;12.0;0.0;1280.0;4.0;2.0;9.0;274.0;46.0;;3.904761905
