;ClRCi;TLOC;NSM;Bugged;NSF;NPF;NOA;ClTCi;NOL;NOD;RTLOC;PMd
count;1579.0;1579.0;1579.0;1579;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0
unique;;;;2;;;;;;;;
top;;;;False;;;;;;;;
freq;;;;1503;;;;;;;;
mean;0.7335199568910702;17.62317922735909;0.3046231792273591;;0.19632678910702978;0.022165927802406588;0.0;4.314006755330588;0.02026599113362888;0.0037998733375554147;34.21595946801773;1.2311589613679543
std;1.1197986335928967;47.14468730369755;1.843440783748862;;0.7747352037009153;0.2520187096064663;0.0;10.792825177089236;0.2632442232839065;0.15099417215685007;89.45986828800585;3.324890478112822
min;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;1.5477272725;11.0;0.0;;0.0;0.0;0.0;4.0;0.0;0.0;23.5;1.0
max;7.7125;433.0;25.0;;14.0;6.0;0.0;126.866666667;4.0;6.0;930.0;38.0
