ClRCi;TLOC;NSM;Bugged;NSF;NPF;NOA;ClTCi;NOL;NOD;RTLOC;PMd
0.6;7.0;0.0;False;0.0;0.0;0.0;3.0;0.0;0.0;41.0;0.0
1.166666667;32.0;2.0;False;1.0;0.0;0.0;3.5;0.0;0.0;59.0;1.0
0.5;6.0;0.0;False;0.0;0.0;0.0;2.0;0.0;0.0;32.0;0.0
2.25;73.0;0.0;False;2.0;0.0;0.0;11.25;0.0;0.0;134.0;5.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.238095238;70.0;0.0;False;0.0;0.0;0.0;26.0;0.0;0.0;125.0;21.0
1.517857143;84.0;2.0;False;1.0;0.0;0.0;42.5;0.0;0.0;151.0;27.0
2.125;59.0;0.0;False;1.0;0.0;0.0;12.75;0.0;0.0;103.0;6.0
7.7125;134.0;1.0;False;1.0;0.0;0.0;123.4;0.0;0.0;211.0;4.0
1.25;13.0;3.0;False;0.0;0.0;0.0;5.0;0.0;0.0;23.0;3.0
2.125;55.0;0.0;False;1.0;0.0;0.0;12.75;0.0;0.0;104.0;6.0
4.303846154;136.0;0.0;False;2.0;0.0;0.0;55.95;0.0;0.0;218.0;4.0
4.303846154;136.0;0.0;False;2.0;0.0;0.0;55.95;0.0;0.0;218.0;4.0
1.0;7.0;0.0;False;0.0;0.0;0.0;2.0;0.0;0.0;14.0;2.0
1.166666667;19.0;0.0;False;2.0;0.0;0.0;3.5;0.0;0.0;29.0;2.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.5;17.0;1.0;False;1.0;0.0;0.0;2.0;0.0;0.0;32.0;2.0
0.5;17.0;1.0;False;1.0;0.0;0.0;2.0;0.0;0.0;32.0;2.0
0.6;21.0;1.0;False;2.0;0.0;0.0;3.0;0.0;0.0;37.0;3.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.0;5.0;0.0;False;0.0;0.0;0.0;3.0;0.0;0.0;62.0;1.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.977272727;171.0;21.0;False;4.0;0.0;0.0;43.5;0.0;0.0;472.0;15.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;4.0;0.0;True;0.0;0.0;0.0;2.0;0.0;0.0;15.0;0.0
1.857142857;107.0;6.0;False;3.0;1.0;0.0;13.0;0.0;0.0;218.0;1.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.4;92.0;0.0;False;0.0;0.0;0.0;24.0;0.0;0.0;144.0;7.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;5.0;0.0;False;0.0;0.0;0.0;2.0;0.0;0.0;8.0;1.0
2.0;5.0;0.0;False;0.0;0.0;0.0;2.0;0.0;0.0;8.0;1.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.0;9.0;0.0;False;0.0;0.0;0.0;3.0;1.0;0.0;16.0;1.0
3.0;9.0;0.0;False;0.0;0.0;0.0;3.0;1.0;0.0;16.0;1.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.25;85.0;0.0;False;0.0;0.0;0.0;18.0;0.0;0.0;147.0;2.0
2.25;85.0;0.0;False;0.0;0.0;0.0;18.0;0.0;0.0;147.0;2.0
2.125;10.0;0.0;False;0.0;0.0;0.0;17.0;0.0;0.0;77.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.666666667;33.0;0.0;False;0.0;0.0;0.0;8.0;0.0;0.0;53.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.333333333;11.0;0.0;False;0.0;0.0;0.0;7.0;0.0;0.0;17.0;1.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;3.0;0.0;False;0.0;0.0;0.0;1.0;0.0;0.0;11.0;0.0
1.571428571;9.0;0.0;False;0.0;0.0;0.0;11.0;0.0;0.0;53.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.5;4.0;0.0;False;0.0;0.0;0.0;3.0;0.0;0.0;6.0;0.0
1.0;3.0;0.0;False;0.0;0.0;0.0;1.0;0.0;0.0;9.0;0.0
1.5;17.0;0.0;False;0.0;0.0;0.0;6.0;0.0;0.0;47.0;4.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.571428571;42.0;0.0;False;1.0;0.0;0.0;11.0;0.0;0.0;74.0;7.0
1.285714286;9.0;0.0;False;0.0;0.0;0.0;9.0;0.0;0.0;44.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.333333333;11.0;0.0;False;0.0;0.0;0.0;3.0;0.0;0.0;51.0;0.0
1.208333333;83.0;0.0;False;1.0;0.0;0.0;14.5;0.0;0.0;173.0;9.0
1.375;36.0;0.0;False;1.0;0.0;0.0;11.0;0.0;0.0;84.0;8.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;44.0;0.0;False;1.0;0.0;0.0;4.0;0.0;0.0;69.0;1.0
2.0;3.0;0.0;False;0.0;0.0;0.0;2.0;0.0;0.0;11.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;3.0;0.0;False;0.0;0.0;0.0;1.0;0.0;0.0;7.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
