;Volume;blamemerge_blamegetVocabulary_count;FileLength_max;MethodLength_count;blame_merge_blame_getVocabulary_mean;blame_merge_blame_getVolume_std;blamemerge_blamegetEffort_std;blamemerge_blamegetVolume_max;blamemerge_blamegetLength_std;blame_merge_blame_getEffort_mean;blamemerge_blamegetLength_count;AnonymousInnerClassLength_max;blame_merge_blame_getDifficulty_count;FileLength_std;blame_merge_blame_getLength_min;TotalNumberOfOperators;blame_merge_blame_getVocabulary_min;blame_merge_blame_getLength_max;blame_merge_blame_getVolume_count;MethodLength_min;AnonymousInnerClassLength_mean;AnonymousInnerClassLength_50%;MethodLength_75%;blame_merge_blame_getVocabulary_max;blamemerge_blamegetLength_mean;blame_merge_blame_getEffort_std;blame_merge_blame_getDifficulty_min;AnonymousInnerClassLength_25%;FileLength_count;blamemerge_blamegetEffort_mean;FileLength_75%;blame_merge_blame_getLength_count;FileLength_25%;Length;blame_merge_blame_getVolume_min;blamemerge_blamegetDifficulty_std;MethodLength_25%;blame_merge_blame_getEffort_max;AnonymousInnerClassLength_min;blame_merge_blame_getDifficulty_std;blamemerge_blamegetEffort_count;AnonymousInnerClassLength_std;MethodLength_mean;blamemerge_blamegetVocabulary_mean;blamemerge_blamegetVolume_count;blame_merge_blame_getVocabulary_count;blamemerge_blamegetVocabulary_max;blame_merge_blame_getDifficulty_mean;blamemerge_blamegetVocabulary_std;blame_merge_blame_getEffort_count;AnonymousInnerClassLength_count;FileLength_min;FileLength_50%;Bugged;blame_merge_blame_getDifficulty_max;blamemerge_blamegetLength_max;blamemerge_blamegetVolume_mean;blame_merge_blame_getVolume_mean;blamemerge_blamegetEffort_max;AnonymousInnerClassLength_75%;blame_merge_blame_getVolume_max;TotalNumberOfOperands;MethodLength_50%;blamemerge_blamegetDifficulty_max;Difficulty;blamemerge_blamegetDifficulty_count;blame_merge_blame_getLength_mean;Effort;MethodLength_max;blame_merge_blame_getLength_std;blamemerge_blamegetVolume_std;blame_merge_blame_getVocabulary_std;MethodLength_std;blamemerge_blamegetDifficulty_mean;NumberOfDistinctOperators;blame_merge_blame_getEffort_min;NumberOfDistinctOperands;FileLength_mean;Vocabulary
count;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1455;;;;;;;;;;;;;;;;;;;;;;;;;
mean;10242.822976579928;16363.518867924528;95.46091644204851;4.859838274932614;0.0;0.0;46.26517010812641;97.07736958129654;5.509421971661085;0.0;16363.518867924528;0.8827493261455526;0.0;30.7650002978209;0.0;762.6873315363881;0.0;0.0;0.0;4.462264150943396;0.16246459894355603;0.04683288409703504;10.025101078167117;0.0;9.053806868718672;0.0;0.0;0.02240566037735849;4.859838274932614;39.825895293173545;15.671327493261456;0.0;7.847708894878706;1251.3827493261456;0.0;0.7526663046159565;5.64588948787062;0.0;0.0;0.0;16363.518867924528;0.3475924441813711;8.503163873065876;6.367135713522422;16363.518867924528;0.0;15.723719676549866;0.0;3.7535098548820813;0.0;4.859838274932614;6.419137466307277;9.276280323450134;;0.0;24.378706199460918;29.31933325680202;0.0;480.93641138125844;0.13763477088948786;0.0;488.6954177897574;7.248315363881401;5.038282403102976;42.4229237289591;16363.518867924528;0.0;1313664.241887477;17.193396226415093;0.0;19.11232546585725;0.0;4.954362781544317;0.892997873233117;22.28099730458221;0.0;103.51078167115902;19.322259634355664;125.79177897574124
std;24192.793607935208;19506.12534931711;200.47077555028497;9.077505723264004;0.0;0.0;40.13356038440337;54.48943701995156;1.2940027073365683;0.0;19506.12534931711;6.223289431139168;0.0;42.569728760499;0.0;1607.1234688666427;0.0;0.0;0.0;10.830045081232699;0.8808926940392292;0.5180459645753932;16.107051945555696;0.0;3.7314405622247664;0.0;0.0;0.2561680265970146;9.077505723264004;22.457373088342425;30.86620358240685;0.0;26.580526985778537;2567.9304912362586;0.0;0.3435288477935823;11.40612362077987;0.0;0.0;0.0;19506.12534931711;1.9023467766287074;13.539727327871523;2.3831737948859084;19506.12534931711;0.0;4.993908971487094;0.0;0.7804238410730073;0.0;9.077505723264004;26.508478986734154;27.471891170719882;;0.0;11.40379936675656;12.953630773449563;0.0;605.0938113493394;1.0729700519260972;0.0;966.8086117003811;13.0318155674782;2.1258327984107246;42.98944116578177;19506.12534931711;0.0;4532773.934441016;29.327360312540296;0.0;5.507889445436592;0.0;9.494088139574078;0.3253469421539158;10.53644812667383;0.0;138.69625298363852;28.033608733782717;147.33150921426255
min;59.207035490257475;364.0;0.0;0.0;0.0;0.0;6.647854691575737;33.0;0.9888907495630906;0.0;364.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07519446845289543;0.0;0.0;0.0;0.0;0.4136119870494437;0.0;0.0;0.0;16.0;0.0;0.1268103874495309;0.0;0.0;0.0;0.0;364.0;0.0;0.0;0.05445116681071737;364.0;0.0;8.0;0.0;0.6944973889526479;0.0;0.0;0.0;0.0;;0.0;11.0;0.2290861864257479;0.0;33.0;0.0;0.0;7.0;0.0;1.0;2.5;364.0;0.0;148.0175887256437;0.0;0.0;3.27481852358532;0.0;0.0;0.008519570317323127;5.0;0.0;7.0;0.0;13.0
25%;851.8826638159185;4512.75;0.0;1.0;0.0;0.0;21.27387187253508;58.81033751683406;4.732030426112731;0.0;4512.75;0.0;0.0;0.0;0.0;85.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.986099062675885;0.0;0.0;0.0;1.0;27.874651194230218;0.0;0.0;0.0;151.0;0.0;0.47942730740717016;0.0;0.0;0.0;0.0;4512.75;0.0;0.0;5.152732723327143;4512.75;0.0;12.0;0.0;3.238794978073791;0.0;1.0;0.0;0.0;;0.0;17.0;21.612767365562046;0.0;171.24186512254624;0.0;0.0;68.0;0.0;3.75;14.994047619047619;4512.75;0.0;13062.352445982433;0.0;0.0;15.685388464680827;0.0;0.0;0.7323511091760978;14.0;0.0;32.0;0.0;47.75
50%;2616.673620888433;9138.0;50.0;3.0;0.0;0.0;32.54888812490967;81.57946531205542;5.412735560330575;0.0;9138.0;0.0;0.0;22.57203874818246;0.0;226.0;0.0;0.0;0.0;3.0;0.0;0.0;4.0;0.0;9.66555666846698;0.0;0.0;0.0;3.0;38.072655166888126;0.0;0.0;0.0;406.0;0.0;0.6584000359847062;3.0;0.0;0.0;0.0;9138.0;0.0;4.149456521739131;6.757366717774301;9138.0;0.0;15.0;0.0;3.7959460183887423;0.0;3.0;0.0;0.0;;0.0;21.0;30.781402092742468;0.0;337.6706772949986;0.0;0.0;171.0;3.0;4.733333333333333;28.98701298701299;9138.0;0.0;77431.37076507788;6.0;0.0;18.90043687030414;0.0;0.0;0.895111432043926;21.0;0.0;59.5;16.0;82.0
75%;8062.384273030037;17624.75;104.0;6.0;0.0;0.0;58.038308509307065;124.0;6.240841126584669;0.0;17624.75;0.0;0.0;45.067134033967044;0.0;666.25;0.0;0.0;0.0;3.0;0.0;0.0;13.0;0.0;11.792591860924537;0.0;0.0;0.0;6.0;47.02130499618474;28.0;0.0;0.0;1113.0;0.0;0.9628463132551618;6.0;0.0;0.0;0.0;17624.75;0.0;11.25;8.157650096836669;17624.75;0.0;18.0;0.0;4.254476329973935;0.0;6.0;0.0;0.0;;0.0;30.0;38.47603338550028;0.0;613.3333333333334;0.0;0.0;449.25;9.0;5.833333333333332;52.04754464285715;17624.75;0.0;380722.0791601789;22.0;0.0;21.912330250569195;0.0;6.310044487683129;1.0166560402829932;28.0;0.0;119.0;28.0;143.0
max;152992.19925623454;105292.0;4510.0;176.0;0.0;0.0;555.2916551439462;713.6518222585222;11.513783489383169;0.0;105292.0;177.0;0.0;501.1111111111111;0.0;10635.0;0.0;0.0;0.0;237.0;12.0;12.0;237.0;0.0;18.26201482773659;0.0;0.0;6.0;176.0;254.46390543478475;769.0;0.0;769.0;16648.0;0.0;2.171450419786725;237.0;0.0;0.0;0.0;105292.0;33.04974605478405;237.0;13.753074574792848;105292.0;0.0;34.0;0.0;7.1236487222780775;0.0;176.0;769.0;769.0;;0.0;168.0;72.6084983370983;0.0;13754.01693807334;18.0;0.0;6013.0;237.0;20.76923076923077;242.42878787878792;105292.0;0.0;32915359.33117596;399.0;0.0;52.74530100271594;0.0;95.1975139731425;2.8338537145327862;57.0;0.0;854.0;769.0;911.0
