;LOCMethod_CK;NumberOfNumbers;MaxNumberOfNestedBlocks;NumberOfVariables;BuggedMethods;NumberOfAnonymousClasses;NumberOfLambdas;CBO;NumberOfParameters_CK;NumberOfInnerClasses;NumberOfAssignments;NumberOfLogStatements;NumberOfStringLiterals;RFC;NumberOfMathOperations;WMC_CK;NumberOfParenthesizedExps;NumberOfUniqueWords;NumberOfComparisons;NumberOfLoops;NumberOfModifiers;Returns;IsConstructor;NumberOfTryCatch
count;2720.0;2720.0;2720.0;2720.0;2720;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720;2720.0
unique;;;;;2;;;;;;;;;;;;;;;;;;2;
top;;;;;False;;;;;;;;;;;;;;;;;;False;
freq;;;;;2446;;;;;;;;;;;;;;;;;;2634;
mean;3.0128676470588234;0.46948529411764706;0.10625;0.5191176470588236;;0.0003676470588235294;0.0;0.7397058823529412;0.15110294117647058;0.0;0.7731617647058824;0.0029411764705882353;0.9533088235294118;0.9;0.07058823529411765;0.6275735294117647;0.05772058823529412;4.439705882352941;0.10183823529411765;0.046691176470588236;2.9091911764705882;0.2577205882352941;;0.0007352941176470588
std;6.40581032316874;2.36247070844431;0.46277134620374955;1.5232663992605489;;0.01917412472118426;0.0;1.6286005477965273;0.4385340734422672;0.0;2.4800076528865187;0.05416275918578076;3.820208658779266;2.1760338248890845;0.5631986679185668;1.2992390317134914;0.5597567733650781;7.91612224858047;0.5944424509111133;0.3468293948384842;48.12035362846626;0.7278260332656257;;0.027111320320213562
min;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
25%;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
50%;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
75%;3.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;6.0;0.0;0.0;1.0;0.0;;0.0
max;86.0;56.0;7.0;16.0;;1.0;0.0;12.0;5.0;0.0;45.0;1.0;72.0;26.0;12.0;15.0;18.0;75.0;18.0;9.0;1028.0;10.0;;1.0
