;Returns_std;NumberOfLambdas_25%;WMC_CK_max;NumberOfMathOperations_25%;NumberOfUniqueWords_std;WMC_CK_25%;NumberOfParenthesizedExps_mean;NumberOfLambdas_75%;NumberOfMathOperations_75%;CBO_75%;NumberOfParenthesizedExps_25%;NumberOfAssignments_count;NumberOfComparisons_min;MaxNumberOfNestedBlocks_min;NumberOfLoops_75%;NumberOfAssignments_std;NumberOfParenthesizedExps_count;NumberOfStringLiterals_max;NumberOfVariables_std;NumberOfNumbers_count;RFC_min;MaxNumberOfNestedBlocks_75%;NumberOfTryCatch_25%;LOCMethod_CK_75%;NumberOfTryCatch_std;NumberOfLambdas_50%;NumberOfAssignments_50%;Returns_25%;NumberOfModifiers_min;NumberOfNumbers_50%;LOCMethod_CK_count;NumberOfStringLiterals_mean;NumberOfComparisons_25%;IsConstructor_freq;NumberOfLoops_std;NumberOfVariables_50%;NumberOfInnerClasses_count;NumberOfUniqueWords_max;NumberOfAnonymousClasses_25%;RFC_std;WMC_CK_mean;NumberOfComparisons_max;Returns_min;NumberOfVariables_count;NumberOfModifiers_count;Bugged;NumberOfLambdas_std;NumberOfLambdas_max;NumberOfModifiers_75%;NumberOfStringLiterals_25%;NumberOfAssignments_min;WMC_CK_50%;NumberOfInnerClasses_std;MaxNumberOfNestedBlocks_mean;NumberOfUniqueWords_50%;NumberOfInnerClasses_75%;NumberOfAnonymousClasses_min;NumberOfInnerClasses_25%;LOCMethod_CK_max;NumberOfParenthesizedExps_75%;NumberOfComparisons_50%;NumberOfParameters_CK_50%;IsConstructor_top;NumberOfVariables_75%;NumberOfInnerClasses_50%;IsConstructor_count;NumberOfAnonymousClasses_50%;RFC_mean;NumberOfComparisons_std;NumberOfParameters_CK_count;CBO_min;NumberOfLoops_count;MaxNumberOfNestedBlocks_max;WMC_CK_min;NumberOfUniqueWords_min;NumberOfModifiers_50%;CBO_count;NumberOfVariables_max;NumberOfMathOperations_mean;NumberOfVariables_min;NumberOfLogStatements_mean;RFC_max;NumberOfNumbers_min;NumberOfParameters_CK_mean;NumberOfAssignments_75%;CBO_mean;NumberOfStringLiterals_std;LOCMethod_CK_25%;NumberOfLogStatements_count;NumberOfStringLiterals_min;MaxNumberOfNestedBlocks_std;NumberOfLoops_max;NumberOfParameters_CK_max;NumberOfVariables_mean;NumberOfLoops_25%;NumberOfNumbers_std;WMC_CK_std;NumberOfAnonymousClasses_mean;NumberOfAnonymousClasses_75%;MaxNumberOfNestedBlocks_50%;NumberOfNumbers_75%;NumberOfInnerClasses_min;NumberOfModifiers_25%;NumberOfTryCatch_mean;NumberOfVariables_25%;NumberOfTryCatch_max;CBO_25%;RFC_count;NumberOfParameters_CK_min;NumberOfLogStatements_25%;NumberOfLoops_mean;NumberOfAssignments_25%;NumberOfLogStatements_std;NumberOfInnerClasses_mean;RFC_50%;NumberOfParameters_CK_75%;NumberOfParameters_CK_std;CBO_std;LOCMethod_CK_std;NumberOfLambdas_min;NumberOfLoops_50%;NumberOfNumbers_25%;NumberOfMathOperations_max;Returns_75%;NumberOfComparisons_75%;NumberOfUniqueWords_25%;LOCMethod_CK_min;Returns_50%;LOCMethod_CK_mean;NumberOfModifiers_std;NumberOfTryCatch_75%;NumberOfMathOperations_min;NumberOfAnonymousClasses_max;NumberOfUniqueWords_count;NumberOfParenthesizedExps_50%;NumberOfStringLiterals_50%;NumberOfTryCatch_count;NumberOfParenthesizedExps_max;NumberOfLogStatements_75%;NumberOfParenthesizedExps_std;MaxNumberOfNestedBlocks_count;NumberOfInnerClasses_max;NumberOfNumbers_mean;NumberOfAssignments_max;MaxNumberOfNestedBlocks_25%;NumberOfLogStatements_min;NumberOfLoops_min;CBO_50%;NumberOfLambdas_count;NumberOfTryCatch_50%;NumberOfStringLiterals_count;RFC_25%;NumberOfParenthesizedExps_min;WMC_CK_75%;NumberOfLogStatements_50%;NumberOfMathOperations_50%;NumberOfModifiers_max;LOCMethod_CK_50%;RFC_75%;NumberOfModifiers_mean;IsConstructor_unique;NumberOfComparisons_mean;NumberOfUniqueWords_mean;NumberOfUniqueWords_75%;NumberOfAssignments_mean;Returns_max;NumberOfAnonymousClasses_count;NumberOfNumbers_max;NumberOfComparisons_count;Returns_mean;NumberOfTryCatch_min;NumberOfParameters_CK_25%;NumberOfMathOperations_count;CBO_max;NumberOfStringLiterals_75%;NumberOfAnonymousClasses_std;NumberOfLogStatements_max;NumberOfMathOperations_std;WMC_CK_count;NumberOfLambdas_mean;Returns_count
count;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2437;;;;;;;;;;;;;;;;;2351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.42226392540757707;0.0003035208417644678;3.7486847430190204;0.1328409550789154;5.127893654906899;1.3180898421691623;0.07815731521130628;0.0010117361392148927;0.39103601780655606;2.6003642250101175;0.023371104815864022;6.795629299878592;0.07284500202347227;0.16106839336301093;0.2535410764872521;1.6502901945235078;6.795629299878592;3.065965196276811;1.2234220497460289;6.795629299878592;1.3322541481181709;0.637292594091461;0.046539862403885066;9.186665317685147;0.11573312216863692;0.0006070416835289356;1.3241602590044517;0.3216309186564144;3.4779441521651155;0.5293403480372318;6.795629299878592;1.0868916541234963;0.10046539862403885;6.583974099554836;0.24090349043842896;0.9461756373937678;6.795629299878592;19.494131930392555;0.003743423715095103;2.368681744669237;1.8501423200304616;1.2096317280453257;0.16875758802104412;6.795629299878592;6.795629299878592;;0.003921459670113694;0.013354917037636584;14.44435451234318;0.5206394172399839;0.5702144880615135;1.556252529340348;0.0;0.49063689564066465;9.693646297045731;0.0;0.003237555645487657;0.0;16.815459328207204;0.06687575880210442;0.15884257385673817;0.7887494941319304;;1.658842573856738;0.0;6.795629299878592;0.0054633751517604206;3.2915046262086562;0.4157660056874588;6.795629299878592;0.9951436665317686;6.795629299878592;1.2108458114123837;1.1938486442735734;5.8421691622824765;8.332456495346014;6.795629299878592;3.4965600971266695;0.3534420764675232;0.4111695669769324;0.16237164046436967;7.5058680696074465;0.22622420072845;0.8932220144047013;2.2805544314042896;2.1130146657691093;1.0404378136021244;5.205787130716309;6.795629299878592;0.3698907324969648;0.42409492314793257;0.679481991096722;1.7515176042088223;1.310043128891814;0.07699312019425333;0.9176328217830467;0.9446866671223492;0.02050495251843344;0.013658437879401053;0.37980574666127076;0.9703561311210036;0.0;5.4006475111290975;0.1059097540487777;0.603399433427762;0.3294212869283691;1.4212869283690814;6.795629299878592;0.41764467826790774;0.07567786321327398;0.2074008692568348;0.8400445163901255;0.17469839026409395;0.0;2.6857547551598544;1.1090651558073654;0.5317332062369907;1.179177333901597;4.750568912312694;0.0;0.12383650343990288;0.33093889113719144;1.3322541481181709;0.6868676649129907;0.35694050991501414;7.691015783083771;4.29825981384055;0.5149736948603804;7.932082715315393;17.912421536330186;0.12140833670578713;0.10238769728854714;0.11898016997167139;6.795629299878592;0.029745042492917848;0.7632537434237151;6.795629299878592;0.405908539053015;0.17968433832456496;0.13023185564408615;6.795629299878592;0.0;0.8158330219610804;4.804127883447997;0.2339133953864832;0.06151355726426548;0.056657223796033995;1.895993524888709;6.795629299878592;0.06576284904896802;6.795629299878592;1.9105625252934035;0.019020639417239985;2.038243626062323;0.09955483609874545;0.1944556859571024;51.98826386078511;6.540671792796439;4.049878591663294;13.066575461416623;1.0789154188587617;0.31373104247148725;10.70183902962939;12.644374747065966;1.7986732262207454;1.2865236746256576;6.795629299878592;2.584783488466208;6.795629299878592;0.553841105153323;0.03844597329016593;0.5727438284095507;6.795629299878592;3.9834075273168756;1.2944152165115337;0.040952274091252655;0.5410764872521246;0.44129836563085845;6.795629299878592;0.0015767383121997579;6.795629299878592
std;0.605955533628948;0.011243934205809165;4.447850466851554;0.86461183551434;6.436004045184716;1.6805304955819715;0.3077766971330236;0.027533348639576825;1.1080034470989537;3.115480459057353;0.23804434205450778;12.866266233844906;0.43008703555459055;0.5269631809774561;0.5920463091844436;2.4702434737699037;12.866266233844906;5.803330318239164;2.0393816770389335;12.866266233844906;3.979818488343396;0.855409314968813;0.2246435916032374;10.210018064400856;0.2889182095851611;0.02248786841161833;2.5302499942527352;0.585873280642474;46.077449972125436;2.64434488069993;12.866266233844906;2.699945466093844;0.46059148945517364;12.771747751869576;0.4704483332424576;2.06854614200618;12.866266233844906;18.295789043545163;0.06450645177108483;3.5023550038323594;1.9309948208452659;2.185470123770103;0.5155980316888996;12.866266233844906;12.866266233844906;;0.04817645868993977;0.1616705398536857;106.72240865728969;2.2664332310880164;2.0116631371723317;1.8437640713437318;0.0;0.6530611315684831;9.195648729998979;0.0;0.06354602258020248;0.0;19.812234487970837;0.3668369453543409;0.5539348716307678;1.0645611203316647;;2.741846897405144;0.0;12.866266233844906;0.07303774310030899;4.7021256931107915;0.7602290865761526;12.866266233844906;1.8702812930089159;12.866266233844906;1.3716548314430685;1.618984849550505;7.966794599054143;73.36392740942136;12.866266233844906;5.281919383406365;0.9789340563226255;1.6232435814370851;0.603302317505885;9.737520091667271;1.530597601239516;1.0313024044836894;3.297101422408379;2.4325113153601885;2.185932303562738;7.610730684782359;12.866266233844906;2.0852207788523986;0.5385116443032404;1.2858856550226219;1.7427039125204997;2.1495568829177256;0.3707632781906447;2.9839897704732135;1.504079358375636;0.0957772880685535;0.10831153097212874;0.6736216416479782;3.401499495882323;0.0;55.900145426374976;0.2745847308794434;1.733214051782187;0.7708901927298648;1.9824830367289734;12.866266233844906;0.9710361534707005;0.5271853454844605;0.46533098489248;2.1425031800583163;0.49966649130168467;0.0;4.547221359474084;1.1713053620719873;0.5948336644004071;1.8242223316664883;6.904359030385026;0.0;0.4364959989091773;1.8492324944504412;2.8750088431052157;0.7826952695075424;0.8148553609153795;8.268999482981503;7.269067694599066;0.6615360524570615;8.746671487083065;402.9724757614701;0.34188244007152024;0.8453482890453506;0.4148165928208336;12.866266233844906;0.25256877796341215;2.6634049802892354;12.866266233844906;1.309243644699551;0.6835902345845718;0.4000344932152923;12.866266233844906;0.0;2.6246367938876403;6.54993889688064;0.5674354758183983;0.5092862113380267;0.34854700637831554;2.390413574900245;12.866266233844906;0.2589010855070676;12.866266233844906;4.1229759759198314;0.23126656189506747;2.2134581895343413;0.5664398050640648;0.9252013771161696;1326.1887562753327;8.410668049470878;5.526771977138043;139.3222903492184;0.5560165921426006;0.6340995724582816;9.357637822188972;11.074673971110407;2.618536704321425;1.7993634995149406;12.866266233844906;7.043818545367799;12.866266233844906;0.6682294645489952;0.21610054690220212;1.0028525704580131;12.866266233844906;4.706973021351704;3.229666252294447;0.15194870678579964;1.5507058255211483;0.8915503489559703;12.866266233844906;0.02364351074247489;12.866266233844906
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.75;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;6.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.424812030075188;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.25;2.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;0.0;1.0;1.0;0.0;4.980769230769231;5.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
50%;0.3535533905932738;0.0;2.0;0.0;3.1091263510296048;1.0;0.0;0.0;0.0;2.0;0.0;4.0;0.0;0.0;0.0;0.7071067811865476;4.0;1.0;0.40824829046386296;4.0;0.0;0.0;0.0;6.25;0.0;0.0;0.5;0.0;1.0;0.0;4.0;0.125;0.0;4.0;0.0;0.0;4.0;15.0;0.0;0.9759000729485332;1.375;0.0;0.0;4.0;4.0;;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.21052631578947367;8.0;0.0;0.0;0.0;11.0;0.0;0.0;0.5;;0.75;0.0;4.0;0.0;2.0;0.0;4.0;0.0;4.0;1.0;1.0;4.0;1.0;4.0;2.0;0.0;0.0;0.0;4.0;0.0;0.6666666666666666;1.0;1.5555555555555556;0.0;3.0;4.0;0.0;0.0;0.0;1.0;0.5;0.0;0.0;0.2773500981126146;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5163977794943222;0.621581560508061;2.065591117977289;0.0;0.0;0.0;0.0;1.0;0.0;5.75;3.0;0.0;6.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;4.0;0.0;4.0;1.0;0.0;1.0;0.0;0.0;1.0;4.0;2.25;1.0;1.0;0.0;9.0;10.5;1.0;1.0;4.0;0.0;4.0;0.5;0.0;0.0;4.0;3.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0
75%;0.595676623078076;0.0;5.0;0.0;7.6385060543095005;1.0;0.0;0.0;0.25;4.0;0.0;8.0;0.0;0.0;0.0;2.3656254810240656;8.0;4.0;1.7525491637693282;8.0;1.0;1.0;0.0;13.0;0.0;0.0;2.0;0.75;1.0;0.0;8.0;1.1319444444444444;0.0;8.0;0.421637021355784;1.0;8.0;27.0;0.0;3.577708763999664;2.3053613053613056;2.0;0.0;8.0;8.0;;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.8571428571428571;13.0;0.0;0.0;0.0;24.0;0.0;0.0;1.0;;2.5;0.0;8.0;0.0;4.8;0.5773502691896258;8.0;1.0;8.0;2.0;1.0;7.0;1.0;8.0;5.0;0.4;0.0;0.0;11.0;0.0;1.25;3.0;3.0;1.224744871391589;5.75;8.0;0.0;0.7559289460184544;1.0;3.0;2.0;0.0;0.9861402998647135;1.4478892802884162;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.5;0.0;2.0;8.0;1.0;0.0;0.25;1.0;0.0;0.0;4.0;2.0;0.8425857144263316;1.6761634196950514;7.368065772467108;0.0;0.0;0.0;2.0;1.0;0.5;10.0;3.0;1.0;10.666666666666666;0.7544319083480784;0.0;0.0;0.0;8.0;0.0;0.5;8.0;0.0;0.0;0.0;8.0;0.0;0.7142857142857143;7.0;0.0;0.0;0.0;3.0;8.0;0.0;8.0;2.0;0.0;2.75;0.0;0.0;6.0;8.5;6.0;2.138095238095238;1.0;0.4;14.436507936507937;17.5;2.5;2.0;8.0;3.0;8.0;0.9875;0.0;1.0;8.0;6.0;1.5;0.0;0.0;0.5773502691896258;8.0;0.0;8.0
