;blamemerge_blamegetVolume_count;AnonymousInnerClassLength_std;Effort;blame_merge_blame_getEffort_max;MethodLength_std;MethodLength_50%;FileLength_min;MethodLength_75%;blame_merge_blame_getEffort_count;AnonymousInnerClassLength_count;FileLength_count;blamemerge_blamegetEffort_std;blame_merge_blame_getVocabulary_std;TotalNumberOfOperators;blamemerge_blamegetLength_std;blamemerge_blamegetLength_count;blamemerge_blamegetLength_mean;blame_merge_blame_getLength_mean;blame_merge_blame_getEffort_min;blamemerge_blamegetEffort_count;FileLength_std;FileLength_mean;blamemerge_blamegetDifficulty_std;AnonymousInnerClassLength_mean;blamemerge_blamegetDifficulty_count;blamemerge_blamegetVocabulary_count;blame_merge_blame_getDifficulty_std;blamemerge_blamegetEffort_mean;blamemerge_blamegetDifficulty_max;blame_merge_blame_getVocabulary_mean;FileLength_50%;Bugged;Volume;AnonymousInnerClassLength_25%;blamemerge_blamegetVolume_max;blame_merge_blame_getVolume_max;blame_merge_blame_getVolume_min;blame_merge_blame_getDifficulty_count;blamemerge_blamegetDifficulty_mean;blame_merge_blame_getLength_count;blamemerge_blamegetLength_max;blame_merge_blame_getVocabulary_max;MethodLength_mean;blame_merge_blame_getDifficulty_min;blame_merge_blame_getVolume_count;blame_merge_blame_getEffort_std;blame_merge_blame_getEffort_mean;FileLength_75%;AnonymousInnerClassLength_max;Length;blamemerge_blamegetVocabulary_mean;blame_merge_blame_getVocabulary_count;FileLength_25%;blamemerge_blamegetEffort_max;blamemerge_blamegetVolume_std;Difficulty;FileLength_max;AnonymousInnerClassLength_min;blame_merge_blame_getVolume_mean;TotalNumberOfOperands;blame_merge_blame_getDifficulty_max;blame_merge_blame_getLength_max;MethodLength_25%;MethodLength_min;blame_merge_blame_getLength_std;MethodLength_max;blamemerge_blamegetVocabulary_max;blame_merge_blame_getDifficulty_mean;AnonymousInnerClassLength_50%;blamemerge_blamegetVolume_mean;blame_merge_blame_getVolume_std;AnonymousInnerClassLength_75%;MethodLength_count;NumberOfDistinctOperators;Vocabulary;blame_merge_blame_getVocabulary_min;NumberOfDistinctOperands;blame_merge_blame_getLength_min;blamemerge_blamegetVocabulary_std
count;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;20901.365342163357;0.13208920533817456;470856.97303830116;0.0;7.946999769902301;9.580022075055188;10.929359823399558;13.77869757174393;0.0;3.8642384105960264;3.8642384105960264;65.65121613412978;0.0;478.68653421633553;4.590876240050935;20901.365342163357;3.3715260765075725;0.0;0.0;20901.365342163357;39.40541300723916;29.04077502843292;1.106849833124487;0.06091345914455012;20901.365342163357;20901.365342163357;0.0;32.915392020288984;5.6497253359836135;0.0;16.428256070640177;;5563.195194788312;0.002207505518763797;86.41292785062377;0.0;0.0;0.0;0.7420691701816025;0.0;22.207505518763796;0.0;11.636254390418918;0.0;0.0;0.0;0.0;26.889348785871963;0.3620309050772627;755.650110375276;2.7654297184100884;0.0;13.678807947019868;533.9910920669836;16.00196411443321;40.298562160687574;111.17770419426049;0.002207505518763797;0.0;276.9635761589404;0.0;0.0;7.26462472406181;5.838852097130243;0.0;24.647902869757175;14.775938189845474;0.0;0.012141280353200883;10.575495319323691;0.0;0.02924944812362031;3.8642384105960264;23.81788079470199;95.67770419426049;0.0;71.8598233995585;0.0;3.5988105762350737
std;30994.046201851575;1.1058322138803727;1238834.1831753368;0.0;15.176545017755672;13.418773375183731;25.269847055284206;17.797460209367408;0.0;5.006989735851351;5.006989735851351;92.4488149343823;0.0;765.3480694275536;2.038819455908939;30994.046201851575;2.7543640011803223;0.0;0.0;30994.046201851575;49.554066670303186;24.74921712811382;0.4822093364308666;0.5605572140220288;30994.046201851575;30994.046201851575;0.0;52.72588521402435;2.8422703698494294;0.0;26.945347524172774;;9431.616121716977;0.06644554941850955;52.58715659005745;0.0;0.0;0.0;0.585750671903384;0.0;11.65095443236529;0.0;14.443381868448936;0.0;0.0;0.0;0.0;30.693899005340416;3.038837714554269;1132.1803802193267;2.0193323155974743;0.0;25.106849742486695;808.3945108556912;9.112479215496082;31.726063443689064;190.548578193381;0.06644554941850955;0.0;373.46941386374243;0.0;0.0;11.299433747236346;10.832041297967018;0.0;45.18542131555917;3.714911783719254;0.0;0.3062271679004784;10.076940783524314;0.0;0.6258473942674021;5.006989735851351;9.953202673502009;71.68886033211804;0.0;63.61963279424722;0.0;1.1470195134302255
min;21.0;0.0;11.60964047443681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.060332013179523;0.0;2.0;0.3996065033491905;21.0;0.021739130434782608;0.0;0.0;21.0;0.0;0.0;0.09020211346707413;0.0;21.0;21.0;0.0;0.09216027104596684;1.0;0.0;0.0;;11.60964047443681;0.0;11.60964047443681;0.0;0.0;0.0;0.004446640316205534;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.01976284584980237;0.0;0.0;11.60964047443681;1.1227834400173584;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.05658714851632257;0.0;0.0;0.0;2.0;5.0;0.0;3.0;0.0;0.3579542343557788
25%;2878.25;0.0;14848.746302281084;0.0;0.0;2.625;0.0;3.0;0.0;1.0;1.0;28.340660874178056;0.0;90.25;3.429081829551324;2878.25;1.6145951142275503;0.0;0.0;2878.25;0.0;14.333333333333336;0.8009873596219478;0.0;2878.25;2878.25;0.0;9.245273986765843;4.0;0.0;0.0;;844.2975054550009;0.0;55.748141232358584;0.0;0.0;0.0;0.3481067731666541;0.0;16.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;149.0;1.408872427052703;0.0;0.0;210.795795042404;10.692651806231902;18.17104231974922;37.0;0.0;0.0;62.25;0.0;0.0;1.625;0.0;0.0;3.0;13.0;0.0;0.0;4.7151858477172;0.0;0.0;1.0;17.0;48.0;0.0;30.0;0.0;2.897072767240911
50%;10846.0;0.0;73949.84872848526;0.0;1.79184550355699;5.0;0.0;9.0;0.0;2.0;2.0;53.52834451938547;0.0;214.5;4.424611411846023;10846.0;2.8162999225101784;0.0;0.0;10846.0;35.10918321028359;24.5;1.1009512093571021;0.0;10846.0;10846.0;0.0;21.271087188175777;5.0;0.0;0.0;;2299.740773573912;0.0;77.68551403235969;0.0;0.0;0.0;0.64221878196862;0.0;20.0;0.0;7.75;0.0;0.0;0.0;0.0;22.25;0.0;363.5;2.4005797703326275;0.0;0.0;370.04397181410917;14.902366995800097;31.435265911072364;67.0;0.0;0.0;146.5;0.0;0.0;3.0;3.0;0.0;14.0;15.0;0.0;0.0;8.259455371689437;0.0;0.0;2.0;23.0;79.0;0.0;54.0;0.0;3.644014979706093
75%;26067.5;0.0;313123.7792535749;0.0;9.442165700448955;12.375;0.0;18.5;0.0;5.0;5.0;79.43485476481345;0.0;530.75;5.429797133711612;26067.5;4.220761399679799;0.0;0.0;26067.5;57.067289144453376;39.66666666666666;1.3917742258682673;0.0;26067.5;26067.5;0.0;37.975014147399136;7.5;0.0;32.0;;5950.455609255806;0.0;101.95026032264605;0.0;0.0;0.0;0.9498766611227536;0.0;25.0;0.0;15.5;0.0;0.0;0.0;0.0;47.0;0.0;851.75;3.5403449156998867;0.0;18.4375;560.7264317745532;19.393400363788718;55.60619926948052;119.75;0.0;0.0;326.0;0.0;0.0;8.0;4.0;0.0;28.0;17.0;0.0;0.0;13.030789487034752;0.0;0.0;5.0;31.0;117.75;0.0;88.0;0.0;4.254414534809319
