NumberOfAssignments_75%;RFC_50%;LOCMethod_CK_count;NumberOfVariables_min;NumberOfStringLiterals_mean;NumberOfLambdas_50%;NumberOfLambdas_mean;NumberOfModifiers_mean;LOCMethod_CK_25%;NumberOfParameters_CK_mean;NumberOfInnerClasses_mean;WMC_CK_mean;NumberOfMathOperations_75%;NumberOfParenthesizedExps_max;NumberOfStringLiterals_min;NumberOfComparisons_min;NumberOfLogStatements_max;NumberOfStringLiterals_std;NumberOfModifiers_min;LOCMethod_CK_50%;NumberOfLoops_50%;NumberOfParameters_CK_75%;NumberOfLogStatements_75%;NumberOfLogStatements_25%;NumberOfAssignments_min;NumberOfParenthesizedExps_std;NumberOfAnonymousClasses_75%;NumberOfAssignments_50%;CBO_count;NumberOfLambdas_count;NumberOfLoops_75%;NumberOfLoops_25%;MaxNumberOfNestedBlocks_75%;NumberOfMathOperations_25%;NumberOfModifiers_count;LOCMethod_CK_75%;NumberOfMathOperations_count;NumberOfAssignments_mean;NumberOfUniqueWords_min;NumberOfStringLiterals_count;MaxNumberOfNestedBlocks_50%;NumberOfLoops_min;NumberOfStringLiterals_75%;NumberOfUniqueWords_75%;NumberOfInnerClasses_75%;MaxNumberOfNestedBlocks_mean;NumberOfComparisons_count;NumberOfStringLiterals_max;NumberOfComparisons_mean;Returns_mean;RFC_mean;NumberOfMathOperations_max;NumberOfParameters_CK_count;IsConstructor_count;NumberOfLoops_count;CBO_max;NumberOfNumbers_min;NumberOfAnonymousClasses_50%;NumberOfMathOperations_min;NumberOfVariables_75%;NumberOfLogStatements_std;NumberOfUniqueWords_25%;NumberOfModifiers_75%;NumberOfAssignments_max;NumberOfLogStatements_50%;Returns_min;LOCMethod_CK_std;NumberOfNumbers_75%;NumberOfTryCatch_count;NumberOfVariables_50%;Returns_75%;NumberOfTryCatch_75%;NumberOfUniqueWords_mean;NumberOfParenthesizedExps_50%;NumberOfTryCatch_max;NumberOfModifiers_50%;Bugged;NumberOfNumbers_25%;CBO_std;LOCMethod_CK_mean;NumberOfUniqueWords_50%;NumberOfMathOperations_std;NumberOfLogStatements_count;RFC_count;NumberOfAnonymousClasses_count;NumberOfModifiers_25%;MaxNumberOfNestedBlocks_std;NumberOfInnerClasses_min;NumberOfTryCatch_min;NumberOfNumbers_50%;NumberOfAssignments_25%;NumberOfParameters_CK_min;NumberOfUniqueWords_max;NumberOfParameters_CK_std;CBO_25%;NumberOfComparisons_50%;Returns_max;WMC_CK_std;MaxNumberOfNestedBlocks_25%;NumberOfTryCatch_mean;NumberOfAnonymousClasses_25%;NumberOfLogStatements_mean;NumberOfAnonymousClasses_mean;NumberOfParameters_CK_max;NumberOfLambdas_75%;WMC_CK_25%;NumberOfParameters_CK_25%;CBO_mean;NumberOfAssignments_count;CBO_75%;NumberOfAnonymousClasses_std;NumberOfLambdas_max;WMC_CK_max;RFC_75%;NumberOfLambdas_min;NumberOfVariables_25%;MaxNumberOfNestedBlocks_count;NumberOfModifiers_max;NumberOfUniqueWords_std;NumberOfLoops_max;NumberOfNumbers_std;RFC_max;NumberOfInnerClasses_25%;NumberOfStringLiterals_50%;NumberOfStringLiterals_25%;MaxNumberOfNestedBlocks_min;Returns_25%;NumberOfInnerClasses_50%;CBO_min;NumberOfLoops_std;NumberOfInnerClasses_std;NumberOfNumbers_max;NumberOfParameters_CK_50%;WMC_CK_50%;MaxNumberOfNestedBlocks_max;Returns_std;IsConstructor_freq;Returns_count;NumberOfNumbers_mean;WMC_CK_count;WMC_CK_min;NumberOfMathOperations_50%;NumberOfLogStatements_min;NumberOfParenthesizedExps_count;NumberOfVariables_count;NumberOfInnerClasses_max;NumberOfComparisons_std;CBO_50%;WMC_CK_75%;NumberOfAnonymousClasses_max;NumberOfComparisons_25%;NumberOfInnerClasses_count;IsConstructor_unique;NumberOfComparisons_max;NumberOfTryCatch_25%;NumberOfLoops_mean;NumberOfParenthesizedExps_75%;NumberOfTryCatch_std;NumberOfVariables_mean;LOCMethod_CK_max;NumberOfUniqueWords_count;NumberOfVariables_max;NumberOfMathOperations_mean;NumberOfComparisons_75%;NumberOfParenthesizedExps_min;NumberOfVariables_std;NumberOfParenthesizedExps_25%;Returns_50%;NumberOfParenthesizedExps_mean;NumberOfLambdas_25%;LOCMethod_CK_min;NumberOfNumbers_count;NumberOfTryCatch_50%;NumberOfModifiers_std;NumberOfAnonymousClasses_min;RFC_min;RFC_25%;IsConstructor_top;NumberOfLambdas_std;RFC_std;NumberOfAssignments_std
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
4.5;5.0;3.0;3.0;0.0;0.0;0.0;1.0;11.0;1.0;0.0;3.6666666666666665;0.0;2.0;0.0;0.0;1.0;0.0;1.0;12.0;0.0;1.0;0.5;0.0;3.0;1.0;0.0;4.0;3.0;3.0;0.0;0.0;2.0;0.0;3.0;14.0;3.0;4.0;22.0;3.0;2.0;0.0;0.0;33.0;0.0;1.6666666666666667;3.0;0.0;1.6666666666666667;2.333333333333333;5.0;0.0;3.0;3.0;3.0;6.0;0.0;0.0;0.0;4.5;0.5773502691896258;25.0;1.0;5.0;0.0;2.0;3.055050463303893;1.5;3.0;4.0;2.5;0.0;29.33333333333333;1.0;0.0;1.0;False;0.0;1.5275252316519463;12.666666666666664;28.0;0.0;3.0;3.0;3.0;1.0;0.5773502691896257;0.0;0.0;0.0;3.5;1.0;38.0;0.0;4.0;1.0;3.0;1.5275252316519468;1.5;0.0;0.0;0.3333333333333333;0.0;1.0;0.0;3.0;1.0;4.666666666666667;3.0;5.5;0.0;0.0;5.0;5.5;0.0;3.5;3.0;1.0;8.082903768654761;0.0;1.7320508075688772;6.0;0.0;0.0;0.0;1.0;2.0;0.0;3.0;0.0;0.0;3.0;1.0;4.0;2.0;0.5773502691896258;3.0;3.0;1.0;3.0;2.0;0.0;0.0;3.0;3.0;0.0;2.0816659994661326;5.0;4.5;0.0;0.5;3.0;1.0;4.0;0.0;0.0;1.5;0.0;4.0;16.0;3.0;5.0;0.0;2.5;0.0;1.0;0.5;2.0;1.0;0.0;10.0;3.0;0.0;0.0;0.0;4.0;4.5;False;0.0;1.0;1.0
0.0;0.0;4.0;0.0;0.25;0.0;0.0;1.0;3.0;0.0;0.0;1.25;0.0;0.0;0.0;0.0;0.0;0.5;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;4.0;3.0;4.0;0.0;5.0;4.0;0.0;0.0;0.25;7.0;0.0;0.0;4.0;1.0;0.25;1.0;0.0;0.0;4.0;4.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;5.75;1.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;1.0;0.0;6.75;0.0;0.0;1.0;False;0.0;0.5773502691896257;3.0;6.0;0.0;4.0;4.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.5;4.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;4.0;1.0;2.217355782608345;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;4.0;0.0;4.0;1.0;0.0;0.0;4.0;4.0;0.0;0.5;0.5;1.25;0.0;0.0;4.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;4.0;0.0;0.0;0.25;0.0;0.0;0.0;1.0;0.0;0.0;3.0;4.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
1.25;1.0;12.0;0.0;0.3333333333333333;0.0;0.0;3.0;3.0;0.4166666666666667;0.0;1.8333333333333333;0.0;0.0;0.0;0.0;0.0;0.8876253645985945;1.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;12.0;12.0;0.0;0.0;1.25;0.0;12.0;11.0;12.0;1.0833333333333333;7.0;12.0;1.0;0.0;0.0;17.5;0.0;0.8333333333333334;12.0;3.0;0.6666666666666666;0.8333333333333334;2.083333333333333;0.0;12.0;12.0;12.0;5.0;0.0;0.0;0.0;0.0;0.0;11.0;3.0;3.0;0.0;0.0;4.601547829181223;0.0;12.0;0.0;1.0;0.25;15.083333333333336;0.0;1.0;1.0;False;0.0;1.2673044646258478;7.083333333333332;15.5;0.0;12.0;12.0;12.0;1.0;0.8348471099367218;0.0;0.0;0.0;0.0;0.0;28.0;0.5149286505444373;1.0;0.5;1.0;1.0298573010888743;0.0;0.25;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.8333333333333333;12.0;2.25;0.0;0.0;4.0;4.25;0.0;0.0;12.0;9.0;5.743903223629752;0.0;0.0;8.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.5;2.0;0.38924947208076144;12.0;12.0;0.0;12.0;1.0;0.0;0.0;12.0;12.0;0.0;0.7784989441615229;1.0;2.25;0.0;0.0;12.0;1.0;2.0;0.0;0.0;0.0;0.4522670168666454;0.4166666666666667;17.0;12.0;3.0;0.0;1.0;0.0;0.996204919895622;0.0;1.0;0.0;0.0;3.0;12.0;0.0;3.618136134933164;0.0;0.0;0.0;False;0.0;2.7122058561364044;1.0836246694508318
1.75;5.5;6.0;0.0;1.6666666666666667;0.0;0.0;3.5;5.25;0.6666666666666666;0.0;1.8333333333333333;0.0;0.0;0.0;0.0;2.0;1.5055453054181618;1.0;8.0;0.0;1.0;2.0;0.25;0.0;0.0;0.0;0.5;6.0;6.0;0.0;0.0;1.0;0.0;6.0;13.0;6.0;1.3333333333333333;7.0;6.0;0.5;0.0;2.0;28.5;0.0;0.6666666666666666;6.0;4.0;0.5;0.3333333333333333;4.666666666666667;4.0;6.0;6.0;6.0;5.0;0.0;0.0;0.0;1.0;0.983192080250175;10.25;4.0;5.0;1.5;0.0;5.215361924162119;1.0;6.0;0.5;0.75;0.75;19.33333333333333;0.0;1.0;4.0;False;0.0;1.7888543819998317;9.0;17.5;1.6329931618554518;6.0;6.0;6.0;4.0;0.8164965809277259;0.0;0.0;0.5;0.0;0.0;34.0;0.5163977794943223;2.25;0.0;1.0;1.1690451944500122;0.0;0.3333333333333333;0.0;1.1666666666666667;0.0;1.0;0.0;1.0;0.25;3.0;6.0;4.0;0.0;0.0;4.0;6.75;0.0;0.0;6.0;4.0;11.518101695447333;0.0;1.5491933384829668;8.0;0.0;2.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;1.5;2.0;0.5163977794943223;6.0;6.0;1.0;6.0;1.0;0.0;0.0;6.0;6.0;0.0;0.8366600265340756;3.5;2.0;0.0;0.0;6.0;1.0;2.0;0.0;0.0;0.0;0.5163977794943223;0.6666666666666666;16.0;6.0;2.0;0.6666666666666666;0.75;0.0;0.8164965809277259;0.0;0.0;0.0;0.0;3.0;6.0;0.0;1.224744871391589;0.0;0.0;2.75;False;0.0;3.0767948691238205;1.9663841605003505
4.0;6.0;5.0;0.0;0.8;0.0;0.0;2.8;3.0;0.6;0.0;2.0;0.0;2.0;0.0;0.0;2.0;0.8366600265340756;1.0;5.0;0.0;1.0;1.0;0.0;0.0;0.8944271909999161;0.0;0.0;5.0;5.0;0.0;0.0;1.0;0.0;5.0;12.0;5.0;3.6;5.0;5.0;0.0;0.0;1.0;21.0;0.0;0.6;5.0;2.0;0.4;0.4;7.6;3.0;5.0;5.0;5.0;10.0;0.0;0.0;0.0;3.0;0.8366600265340756;8.0;4.0;14.0;1.0;0.0;18.376615575235828;1.0;5.0;0.0;1.0;0.0;20.4;0.0;1.0;4.0;False;0.0;3.834057902536163;13.8;14.0;1.3416407864998738;5.0;5.0;5.0;1.0;0.8944271909999157;0.0;0.0;0.0;0.0;0.0;54.0;0.5477225575051662;1.0;0.0;1.0;1.4142135623730951;0.0;0.2;0.0;0.8;0.2;1.0;0.0;1.0;0.0;4.2;5.0;6.0;0.4472135954999581;0.0;4.0;8.0;0.0;0.0;5.0;4.0;19.756011743264374;0.0;5.272570530585627;22.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;12.0;1.0;1.0;2.0;0.5477225575051662;5.0;5.0;2.6;5.0;1.0;0.0;0.0;5.0;5.0;0.0;0.8944271909999161;3.0;3.0;1.0;0.0;5.0;1.0;2.0;0.0;0.0;0.0;0.4472135954999581;1.4;46.0;5.0;4.0;0.6;0.0;0.0;1.949358868961793;0.0;0.0;0.4;0.0;3.0;5.0;0.0;1.6431676725154984;0.0;0.0;2.0;False;0.0;8.648699324175862;6.06630035524124
0.0;1.0;1.0;0.0;0.0;0.0;0.0;9.0;8.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;9.0;8.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;8.0;1.0;0.0;20.0;1.0;1.0;0.0;0.0;20.0;0.0;1.0;1.0;0.0;0.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;20.0;9.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;2.0;1.0;20.0;0.0;1.0;9.0;False;0.0;0.0;8.0;20.0;0.0;1.0;1.0;1.0;9.0;0.0;0.0;1.0;0.0;0.0;1.0;20.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;9.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;1.0;0.0;1.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;8.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;8.0;1.0;1.0;0.0;0.0;1.0;1.0;False;0.0;0.0;0.0
6.0;3.0;13.0;0.0;0.4615384615384616;0.0;0.0;2.0;3.0;0.7692307692307693;0.0;1.5384615384615383;0.0;0.0;0.0;0.0;3.0;0.9674179220468452;1.0;11.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;13.0;13.0;0.0;0.0;1.0;0.0;13.0;14.0;13.0;4.846153846153847;7.0;13.0;0.0;0.0;0.0;24.0;0.0;0.5384615384615384;13.0;3.0;0.38461538461538464;0.15384615384615385;4.307692307692308;1.0;13.0;13.0;13.0;9.0;0.0;0.0;0.0;3.0;0.8320502943378436;11.0;2.0;27.0;0.0;0.0;14.70478728954517;0.0;13.0;1.0;0.0;0.0;17.76923076923077;0.0;0.0;2.0;False;0.0;3.0042704647952427;13.692307692307693;19.0;0.2773500981126146;13.0;13.0;13.0;1.0;0.7762500258061849;0.0;0.0;0.0;0.0;0.0;32.0;1.3634420996046583;1.0;0.0;1.0;0.7762500258061847;0.0;0.0;0.0;0.2307692307692308;0.38461538461538464;5.0;0.0;1.0;0.0;3.7692307692307687;13.0;7.0;0.9607689228305228;0.0;3.0;7.0;0.0;0.0;13.0;4.0;8.267948618549486;0.0;0.7510676161988108;11.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;2.0;0.3755338080994054;12.0;13.0;0.3076923076923077;13.0;1.0;0.0;0.0;13.0;13.0;0.0;0.6504436355879909;2.0;2.0;3.0;0.0;13.0;2.0;2.0;0.0;0.0;0.0;0.0;2.230769230769231;57.0;13.0;7.0;0.07692307692307693;1.0;0.0;2.7127429585153027;0.0;0.0;0.0;0.0;3.0;13.0;0.0;1.0;0.0;1.0;1.0;False;0.0;3.568020351787421;7.232405706795789
4.0;6.0;5.0;0.0;0.8;0.0;0.0;2.8;3.0;0.6;0.0;2.0;0.0;2.0;0.0;0.0;2.0;0.8366600265340756;1.0;5.0;0.0;1.0;1.0;0.0;0.0;0.8944271909999161;0.0;0.0;5.0;5.0;0.0;0.0;1.0;0.0;5.0;12.0;5.0;3.6;5.0;5.0;0.0;0.0;1.0;23.0;0.0;0.6;5.0;2.0;0.4;0.4;7.6;3.0;5.0;5.0;5.0;10.0;0.0;0.0;0.0;3.0;0.8366600265340756;8.0;4.0;14.0;1.0;0.0;18.376615575235828;0.0;5.0;0.0;1.0;0.0;20.0;0.0;1.0;4.0;False;0.0;3.834057902536163;13.8;14.0;1.3416407864998738;5.0;5.0;5.0;1.0;0.8944271909999157;0.0;0.0;0.0;0.0;0.0;50.0;0.5477225575051662;1.0;0.0;1.0;1.4142135623730951;0.0;0.2;0.0;0.8;0.2;1.0;0.0;1.0;0.0;4.2;5.0;6.0;0.4472135954999581;0.0;4.0;8.0;0.0;0.0;5.0;4.0;18.12456896039186;0.0;5.366563145999495;22.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;12.0;1.0;1.0;2.0;0.5477225575051662;5.0;5.0;2.4;5.0;1.0;0.0;0.0;5.0;5.0;0.0;0.8944271909999161;3.0;3.0;1.0;0.0;5.0;1.0;2.0;0.0;0.0;0.0;0.4472135954999581;1.4;46.0;5.0;4.0;0.6;0.0;0.0;1.949358868961793;0.0;0.0;0.4;0.0;3.0;5.0;0.0;1.6431676725154984;0.0;0.0;2.0;False;0.0;8.648699324175862;6.06630035524124
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
