;NumberOfAssignments_75%;RFC_50%;LOCMethod_CK_count;NumberOfVariables_min;NumberOfStringLiterals_mean;NumberOfLambdas_50%;NumberOfLambdas_mean;NumberOfModifiers_mean;LOCMethod_CK_25%;NumberOfParameters_CK_mean;NumberOfInnerClasses_mean;WMC_CK_mean;NumberOfMathOperations_75%;NumberOfParenthesizedExps_max;NumberOfStringLiterals_min;NumberOfComparisons_min;NumberOfLogStatements_max;NumberOfStringLiterals_std;NumberOfModifiers_min;LOCMethod_CK_50%;NumberOfLoops_50%;NumberOfParameters_CK_75%;NumberOfLogStatements_75%;NumberOfLogStatements_25%;NumberOfAssignments_min;NumberOfParenthesizedExps_std;NumberOfAnonymousClasses_75%;NumberOfAssignments_50%;CBO_count;NumberOfLambdas_count;NumberOfLoops_75%;NumberOfLoops_25%;MaxNumberOfNestedBlocks_75%;NumberOfMathOperations_25%;NumberOfModifiers_count;LOCMethod_CK_75%;NumberOfMathOperations_count;NumberOfAssignments_mean;NumberOfUniqueWords_min;NumberOfStringLiterals_count;MaxNumberOfNestedBlocks_50%;NumberOfLoops_min;NumberOfStringLiterals_75%;NumberOfUniqueWords_75%;NumberOfInnerClasses_75%;MaxNumberOfNestedBlocks_mean;NumberOfComparisons_count;NumberOfStringLiterals_max;NumberOfComparisons_mean;Returns_mean;RFC_mean;NumberOfMathOperations_max;NumberOfParameters_CK_count;IsConstructor_count;NumberOfLoops_count;CBO_max;NumberOfNumbers_min;NumberOfAnonymousClasses_50%;NumberOfMathOperations_min;NumberOfVariables_75%;NumberOfLogStatements_std;NumberOfUniqueWords_25%;NumberOfModifiers_75%;NumberOfAssignments_max;NumberOfLogStatements_50%;Returns_min;LOCMethod_CK_std;NumberOfNumbers_75%;NumberOfTryCatch_count;NumberOfVariables_50%;Returns_75%;NumberOfTryCatch_75%;NumberOfUniqueWords_mean;NumberOfParenthesizedExps_50%;NumberOfTryCatch_max;NumberOfModifiers_50%;Bugged;NumberOfNumbers_25%;CBO_std;LOCMethod_CK_mean;NumberOfUniqueWords_50%;NumberOfMathOperations_std;NumberOfLogStatements_count;RFC_count;NumberOfAnonymousClasses_count;NumberOfModifiers_25%;MaxNumberOfNestedBlocks_std;NumberOfInnerClasses_min;NumberOfTryCatch_min;NumberOfNumbers_50%;NumberOfAssignments_25%;NumberOfParameters_CK_min;NumberOfUniqueWords_max;NumberOfParameters_CK_std;CBO_25%;NumberOfComparisons_50%;Returns_max;WMC_CK_std;MaxNumberOfNestedBlocks_25%;NumberOfTryCatch_mean;NumberOfAnonymousClasses_25%;NumberOfLogStatements_mean;NumberOfAnonymousClasses_mean;NumberOfParameters_CK_max;NumberOfLambdas_75%;WMC_CK_25%;NumberOfParameters_CK_25%;CBO_mean;NumberOfAssignments_count;CBO_75%;NumberOfAnonymousClasses_std;NumberOfLambdas_max;WMC_CK_max;RFC_75%;NumberOfLambdas_min;NumberOfVariables_25%;MaxNumberOfNestedBlocks_count;NumberOfModifiers_max;NumberOfUniqueWords_std;NumberOfLoops_max;NumberOfNumbers_std;RFC_max;NumberOfInnerClasses_25%;NumberOfStringLiterals_50%;NumberOfStringLiterals_25%;MaxNumberOfNestedBlocks_min;Returns_25%;NumberOfInnerClasses_50%;CBO_min;NumberOfLoops_std;NumberOfInnerClasses_std;NumberOfNumbers_max;NumberOfParameters_CK_50%;WMC_CK_50%;MaxNumberOfNestedBlocks_max;Returns_std;IsConstructor_freq;Returns_count;NumberOfNumbers_mean;WMC_CK_count;WMC_CK_min;NumberOfMathOperations_50%;NumberOfLogStatements_min;NumberOfParenthesizedExps_count;NumberOfVariables_count;NumberOfInnerClasses_max;NumberOfComparisons_std;CBO_50%;WMC_CK_75%;NumberOfAnonymousClasses_max;NumberOfComparisons_25%;NumberOfInnerClasses_count;IsConstructor_unique;NumberOfComparisons_max;NumberOfTryCatch_25%;NumberOfLoops_mean;NumberOfParenthesizedExps_75%;NumberOfTryCatch_std;NumberOfVariables_mean;LOCMethod_CK_max;NumberOfUniqueWords_count;NumberOfVariables_max;NumberOfMathOperations_mean;NumberOfComparisons_75%;NumberOfParenthesizedExps_min;NumberOfVariables_std;NumberOfParenthesizedExps_25%;Returns_50%;NumberOfParenthesizedExps_mean;NumberOfLambdas_25%;LOCMethod_CK_min;NumberOfNumbers_count;NumberOfTryCatch_50%;NumberOfModifiers_std;NumberOfAnonymousClasses_min;RFC_min;RFC_25%;IsConstructor_top;NumberOfLambdas_std;RFC_std;NumberOfAssignments_std
count;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891;1891.0;1891.0;1891.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1803;;;
mean;1.6669751454257007;2.0624008461131678;6.794288736118456;0.20306716023268112;0.6594508381204383;0.0;0.0;3.492812749130158;4.957033315705976;0.6625905388687371;0.0001220355530244478;2.188825502274055;0.15534108937070334;1.1411951348492861;0.16234796404019036;0.08461131676361713;0.20200951877313592;0.8406752685897876;1.4896879957694342;6.493125330512956;0.02749867794817557;0.858011634056055;0.021946060285563194;0.0033051295610787945;0.3220518244315177;0.37924215251025684;0.017054468535166577;0.854574299312533;6.794288736118456;6.794288736118456;0.10642517186673718;0.011369645690111053;0.7268640930724485;0.0898995240613432;6.794288736118456;9.744182971972501;6.794288736118456;1.4073821512100522;5.964040190375463;6.794288736118456;0.39344262295081966;0.006345848757271285;0.7111316763617134;13.364357482813327;0.0;0.5606313500820627;6.794288736118456;2.4558434690639874;0.48982425603154955;0.7593726384086341;2.7495178309570063;0.6499206768905341;6.794288736118456;6.794288736118456;6.794288736118456;4.219460602855632;0.10100475938656796;0.003437334743521946;0.07667900581702802;1.0456107879428873;0.07343080499092008;8.092940243257535;3.1048387096774195;4.789529349550502;0.006610259122157589;0.3030142781597039;6.323746406648411;0.668958223162348;6.794288736118456;0.5066102591221576;0.9278159703860391;0.10259122157588578;11.279027627494864;0.20518244315177156;0.2977260708619778;2.073241671073506;;0.2025383395029085;1.3234962165254434;8.506013016337896;10.035695399259652;0.2032609477994181;6.794288736118456;6.794288736118456;6.794288736118456;1.7636171337916446;0.5246763605048224;0.0;0.0597567424643046;0.32231623479640403;0.5014542570068746;0.2617662612374405;20.84029613960867;0.449006101542309;1.0179799048122686;0.2530407191961925;1.7244843997884718;1.44256155306063;0.2392913802221047;0.10272785070092552;0.002379693283976732;0.035079973418248055;0.03944840881292119;1.3410893707033316;0.0;1.4053410893707032;0.3703067160232681;1.7864355278999562;6.794288736118456;2.1894500264410364;0.09905770530192777;0.0;5.029613960867266;3.4352194606028554;0.0;0.3028820729772607;6.794288736118456;13.96985721840296;5.340919516834981;0.46959280803807507;0.9858587722655241;7.390269698572184;0.0;0.3707033315705976;0.24471179270227392;0.17028027498677947;0.4545214172395558;0.0;0.5928080380750925;0.17201216514961915;0.0003452585437398307;2.7842411422527764;0.5959809624537282;1.7107350608143839;1.4780539397144368;0.5725768901219628;6.498149127445796;6.794288736118456;0.6554354155218064;6.794288736118456;1.2400846113167636;0.1047065044949762;0.0021152829190904283;6.794288736118456;6.794288736118456;0.0010576414595452142;0.6574805364579028;1.4791115811739821;2.4447382337387626;0.3120042305658382;0.1442358540454786;6.794288736118456;1.1771549444738234;1.8212585933368588;0.06240084611316764;0.09798693256198482;0.33130618720253835;0.08714098783850913;0.8698411965717799;21.202009518773135;6.794288736118456;2.884188260179799;0.1729217619292707;0.58011634056055;0.13590692755156003;1.015334116787407;0.16327340031729243;0.6464833421470122;0.33294159142833407;0.0;3.995769434161819;6.794288736118456;0.06874669487043893;4.356994074858514;0.0021152829190904283;0.7176097303014278;1.3063194077207827;;0.0;2.4464760215606227;1.6391323914495433
std;3.360629515372613;2.7779495216899615;9.909403858180562;0.9061874931468619;1.9341575998823577;0.0;0.0;18.650367032303404;7.672550242642507;0.6098973173591012;0.0039546126550881215;3.0018609272813515;0.703141497571482;3.7150701887588733;1.2709949389913477;0.583032661430853;0.8083009693500325;2.000583061514833;2.3211186998953695;9.503756167186854;0.16992072341809428;0.7528609010783556;0.17978417174968192;0.05035242432146979;1.7913475816154072;1.4029742548906803;0.12119880338378691;2.4694972960913764;9.909403858180562;9.909403858180562;0.33374532805862994;0.1147358425005841;0.9217536495801051;0.5527550434391281;9.909403858180562;12.867953427159293;9.909403858180562;2.6639860744950012;5.829570429550781;9.909403858180562;0.6834315409585893;0.1026728760617419;2.5630817242101753;9.375407086592784;0.0;0.6728692024201329;9.909403858180562;5.513190672501553;1.1181277989965426;1.23331188890828;2.923249446110604;2.5981523235464885;9.909403858180562;9.909403858180562;9.909403858180562;4.614328033523438;0.8525430650442909;0.0550500365188193;0.5304892142466491;1.9917991348043529;0.3043996216056278;6.192229438939546;29.577967572636563;7.684459432028901;0.07856979427199363;0.8348788267476794;10.848075534957607;2.445884443932008;9.909403858180562;1.3453166602237732;1.5780650666163836;0.3170401331681852;7.35854700138268;1.9349048364082777;0.7522031915149269;12.027550077287977;;1.2440446103644853;1.6007388364190058;10.218796136323949;7.238467951576858;0.762005272227919;9.909403858180562;9.909403858180562;9.909403858180562;6.3624731414410025;0.6468834834278068;0.0;0.2370982964302434;1.7408564235008666;2.004681491912763;0.5517771676064365;16.362846181222576;0.5108265793530067;1.4187685030350918;0.9207111398820884;2.8039518948663793;3.1224431794319885;0.5611287049494552;0.2686343876206037;0.04665697960808503;0.1586037416000847;0.12885892437581972;1.2924275497581017;0.0;2.3075882477518865;0.5960652382997759;1.7863868690634364;9.909403858180562;2.219823152785865;0.3178376353465531;0.0;7.5401690302230024;3.8508958886125777;0.0;1.0472846706239685;9.909403858180562;104.86914820084665;5.574858944835196;1.1219318152758404;2.527421694243398;8.68465718094299;0.0;1.7796820601505479;1.4296458876178229;0.5087435250835353;0.9748392465179277;0.0;1.2733454228042855;0.3935220472676058;0.010733010549273139;7.282216157319519;0.6523581381251565;2.83816321091312;1.6051898696801847;1.282123513639186;9.851885741172312;9.909403858180562;1.890403386368792;9.909403858180562;2.039685833582085;0.6006029211061723;0.045955688735513096;9.909403858180562;9.909403858180562;0.03251279534105565;1.5870425235389785;1.6795415265467255;3.7434669826899487;1.1012060497487548;0.6776270340338333;9.909403858180562;0.6127624558523955;4.027654759230131;0.24057547865586934;0.24577271417714808;2.1528019976580355;0.2512199910084881;1.5132998722260684;28.174520670409226;9.909403858180562;4.560680657277052;0.6512405967733833;1.4940556597731023;1.7758032565990387;1.8177076004203527;1.8116907005680871;1.2335529864945263;1.9709580333615628;0.0;6.747994652361006;9.909403858180562;0.25308982623010895;37.933563940830076;0.04595568873551309;1.7504653343503873;2.106302206653978;;0.0;3.0481242058304248;3.0551902777954725
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
25%;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;0.1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.5106382978723405;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;6.5;0.0;0.0;1.0;;0.0;0.0;3.0;5.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.3060200668896321;1.0;0.5;0.0;0.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
50%;1.0;1.0;4.0;0.0;0.061224489795918366;0.0;0.0;1.0;3.0;0.5833333333333334;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.25;0.0;4.0;7.0;4.0;0.6666666666666666;5.0;4.0;0.0;0.0;0.0;12.0;0.0;0.3333333333333333;4.0;1.0;0.0;0.5;2.0;0.0;4.0;4.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;2.0;0.0;0.0;2.8047578623950176;0.0;4.0;0.0;1.0;0.0;10.5;0.0;0.0;1.0;;0.0;0.7867957924694432;6.5;9.0;0.0;4.0;4.0;4.0;1.0;0.3779644730092273;0.0;0.0;0.0;0.0;0.0;18.0;0.5;1.0;0.0;1.0;0.483045891539648;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.5;4.0;2.0;0.0;0.0;2.0;2.25;0.0;0.0;4.0;1.0;3.8913824205360674;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;1.0;0.4472135954999579;4.0;4.0;0.0;4.0;1.0;0.0;0.0;4.0;4.0;0.0;0.0;1.0;1.75;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.3;11.0;4.0;1.0;0.0;0.0;0.0;0.39295262399668784;0.0;0.0;0.0;0.0;3.0;4.0;0.0;0.0;0.0;0.0;0.75;;0.0;1.5615574079941918;0.5976143046671968
75%;2.0;3.0;9.0;0.0;0.6125;0.0;0.0;2.0;5.0;1.0;0.0;2.4285714285714284;0.0;1.0;0.0;0.0;0.0;0.9045340337332908;1.0;8.0;0.0;1.0;0.0;0.0;0.0;0.3157647668295719;0.0;1.0;9.0;9.0;0.0;0.0;1.0;0.0;9.0;12.0;9.0;2.0;7.0;9.0;1.0;0.0;0.75;19.0;0.0;1.0;9.0;2.0;0.6;1.0;4.0;1.0;9.0;9.0;9.0;6.0;0.0;0.0;0.0;1.5;0.0;11.0;2.0;6.0;0.0;0.0;8.487423581235522;0.25;9.0;0.0;1.0;0.0;15.872983870967742;0.0;0.0;1.0;;0.0;2.1213203435596424;11.0;14.0;0.0;9.0;9.0;9.0;1.0;0.9015801334626208;0.0;0.0;0.0;0.0;0.0;29.0;0.6875516509523286;1.25;0.0;2.0;1.77937550226134;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;2.6899038461538463;9.0;3.0;0.0;0.0;6.0;5.0;0.0;0.0;9.0;4.0;8.381527036335175;1.0;1.0712451179637639;11.0;0.0;0.0;0.0;0.0;0.875;0.0;1.0;0.16260230641715467;0.0;3.0;1.0;2.0;2.0;0.7071067811865476;8.0;9.0;0.6363636363636364;9.0;1.0;0.0;0.0;9.0;9.0;0.0;0.8164965809277259;2.0;3.0;0.0;0.0;9.0;2.0;2.0;0.0;0.038838612368024134;0.0;0.0;1.1428571428571428;27.0;9.0;4.0;0.07019704433497537;1.0;0.0;1.404323469964944;0.0;1.0;0.13076923076923075;0.0;3.0;9.0;0.0;0.6399634763332362;0.0;1.0;1.75;;0.0;3.783002637383567;2.1679483388678804
