;FileLength;NumberOfPublicMethods_Checkstyle;ThrowsCount;CyclomaticComplexity;NCSSForThisFile;NumberOfMethods_Checkstyle;NestedForDepth;NCSSForThisMethod;BuggedMethods;BooleanExpressionComplexity;NCSSForThisClass;MethodLength;AnonymousInnerClassLength;NPathComplexity;ClassFanOutComplexity;NestedTryDepth;NumberOfProtectedMethod;NumberOfPrivateMethod;ExecutableStatementCount;ClassDataAbstractionCoupling;NestedIfElseDepth;NumberOfPackageMethod
count;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0
unique;;;;;;;;;2;;;;;;;;;;;;;
top;;;;;;;;;False;;;;;;;;;;;;;
freq;;;;;;;;;1570;;;;;;;;;;;;;
mean;12.285623409669212;0.41348600508905853;0.1851145038167939;0.926208651399491;4.8893129770992365;0.4993638676844784;0.009541984732824428;4.038167938931298;;0.08396946564885496;4.520992366412214;5.877226463104326;0.048982188295165395;8.337786259541986;0.1876590330788804;0.0;0.01717557251908397;0.05788804071246819;3.241730279898219;0.07188295165394402;0.01717557251908397;0.02099236641221374
std;79.21963745211936;3.3464531416619816;0.40140719961665133;2.6676075391952705;41.268297760350244;3.6894916204653736;0.11522228324840184;11.662277945450215;;0.6306998681631787;39.95610503102249;14.081677372530866;1.0960342759201913;254.8598067408378;1.0679166393470767;0.0;0.20886809548739138;0.7651429842267209;10.802024425796546;0.4603137518428586;0.16454760143919428;0.3072508558496905
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
75%;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
max;1301.0;92.0;2.0;91.0;999.0;93.0;2.0;175.0;;7.0;991.0;245.0;36.0;10000.0;15.0;0.0;5.0;27.0;111.0;7.0;3.0;8.0
