;NumberOfSubclasses;NumberUserDefinedAttributes;NumberOfPrivateAttributes;Bugged;NumberOfAttributes;NumberOfPolymorphicMethods;NumberOfAncestors;NumberOfCoupledClasses;Cohesion;NumberPublicMethods;NumberOfInheritedMethods;NumberOfMethods_Mood;NumberOfProtectedAttributes;NumberOfPublicAttributes
count;906.0;906.0;906.0;906;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0
unique;;;;2;;;;;;;;;;
top;;;;False;;;;;;;;;;
freq;;;;825;;;;;;;;;;
mean;0.0;0.1534216335540839;1.6501103752759383;;2.0805739514348787;2.740618101545254;0.0;0.18101545253863136;0.26584326589078316;3.109271523178808;0.0;4.286975717439294;0.16335540838852097;0.2671081677704194
std;0.0;0.43807009320324125;3.302114673019501;;3.898592762339937;3.8214349296299326;0.0;0.5174453458567393;0.30775261123127046;3.7795878227154764;0.0;5.6731787608402025;0.9004746443667987;1.2620074438317728
min;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
50%;0.0;0.0;0.0;;1.0;1.0;0.0;0.0;0.16666666666666666;2.0;0.0;3.0;0.0;0.0
75%;0.0;0.0;2.0;;2.0;3.0;0.0;0.0;0.4916666666666667;4.0;0.0;5.0;0.0;0.0
max;0.0;5.0;36.0;;36.0;51.0;0.0;3.0;1.0;57.0;0.0;62.0;13.0;14.0
