;MethodLength;NumberOfMethods_Checkstyle;NCSSForThisClass;ClassDataAbstractionCoupling;BuggedMethods;CyclomaticComplexity;ExecutableStatementCount;NumberOfPublicMethods_Checkstyle;NCSSForThisFile;NestedTryDepth;FileLength;NPathComplexity;ThrowsCount;NestedForDepth;NumberOfPackageMethod;NumberOfPrivateMethod;BooleanExpressionComplexity;NestedIfElseDepth;NCSSForThisMethod;AnonymousInnerClassLength;ClassFanOutComplexity;NumberOfProtectedMethod
count;2720.0;2720.0;2720.0;2720.0;2720;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0
unique;;;;;2;;;;;;;;;;;;;;;;;
top;;;;;False;;;;;;;;;;;;;;;;;
freq;;;;;2446;;;;;;;;;;;;;;;;;
mean;3.2974264705882352;0.3801470588235294;3.228676470588235;0.08125;;0.6209558823529412;1.9378676470588236;0.31176470588235294;3.3316176470588235;0.0;6.968014705882353;1.0794117647058823;0.13713235294117648;0.0058823529411764705;0.013970588235294118;0.008455882352941176;0.03161764705882353;0.01948529411764706;2.4683823529411764;0.03419117647058824;0.3003676470588235;0.046691176470588236
std;7.350230285271496;2.788546950268075;27.485779955379346;0.6739637953919191;;1.2666261717773;5.112435697535873;2.12393006008076;29.945131145549286;0.0;58.502189260907315;13.092659944142541;0.344050271496778;0.12707401467334256;0.20428394452712784;0.13120304334322377;0.2246986313636997;0.16041422957549506;5.683101192335201;0.6027460210893429;2.268125037365508;1.4749433785939707
min;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;3.0;0.0;0.0;0.0;;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
max;105.0;85.0;650.0;16.0;;13.0;71.0;44.0;666.0;0.0;1178.0;512.0;1.0;4.0;7.0;4.0;4.0;3.0;76.0;16.0;77.0;76.0
