;Di;NCOMP;Si;Ci;NOP;Fin;NBD;MCLC;NVAR;Fout;IOVars;BuggedMethods;VG
count;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360;360.0
unique;;;;;;;;;;;;2;
top;;;;;;;;;;;;False;
freq;;;;;;;;;;;;356;
mean;0.46435185185;0.26944444444444443;0.08055555555555556;0.5449074074055555;0.20555555555555555;0.10555555555555556;0.5027777777777778;0.425;0.15555555555555556;0.05277777777777778;0.49166666666666664;;0.6611111111111111
std;0.6949952937529416;1.3629231743123618;0.4913283934597575;0.8501489978424831;0.411495299251519;0.5970887796907254;0.8176282403009734;1.7440507710276112;0.6273454906134301;0.2792609736909238;0.7197473248989289;;1.321195916801357
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
75%;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;;1.0
max;3.0;19.0;4.0;4.666666667;2.0;8.0;5.0;19.0;4.0;2.0;3.0;;10.0
