;NOL;TLOC;RTLOC;PMd;NSM;NOA;Bugged;ClRCi;NOD;ClTCi;NSF;NPF
count;684.0;684.0;684.0;684.0;684.0;684.0;684;684.0;684.0;684.0;684.0;684.0
unique;;;;;;;2;;;;;
top;;;;;;;False;;;;;
freq;;;;;;;409;;;;;
mean;0.0;75.77631578947368;116.55847953216374;6.1345029239766085;0.9985380116959064;0.0;;1.7531809851564328;0.0;19.37536454773538;1.840643274853801;0.48830409356725146
std;0.0;114.69446825709865;171.87949343869352;9.435581525675218;3.944898393533429;0.0;;1.7979802538011809;0.0;63.86541182012792;5.540960231618112;3.846792589301854
min;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
25%;0.0;11.0;17.0;1.0;0.0;0.0;;1.0;0.0;3.0;0.0;0.0
50%;0.0;30.0;49.0;3.0;0.0;0.0;;1.6;0.0;9.0;1.0;0.0
75%;0.0;78.25;134.0;7.0;1.0;0.0;;2.166666667;0.0;20.0;2.0;0.0
max;0.0;848.0;1036.0;66.0;63.0;0.0;;34.003246753;0.0;1496.142857143;117.0;85.0
