;AIF;MHF;AHF;MIF;Aa;Bugged
count;329.0;329.0;329.0;329.0;329.0;329
unique;;;;;;2
top;;;;;;False
freq;;;;;;182
mean;0.0;0.3146416452705167;0.03369035557142857;0.0;2.398176291793313;
std;0.0;0.38219811368243484;0.13673360494448633;0.0;3.9750897005429997;
min;0.0;0.0;0.0;0.0;0.0;
25%;0.0;0.0;0.0;0.0;0.0;
50%;0.0;0.0;0.0;0.0;0.0;
75%;0.0;0.772727273;0.0;0.0;3.0;
max;0.0;1.0;1.0;0.0;17.0;
