;MethodLength_75%;CyclomaticComplexity_min;NumberOfProtectedMethod_count;NestedIfElseDepth_count;NumberOfProtectedMethod_std;ExecutableStatementCount_50%;NestedTryDepth_25%;CyclomaticComplexity_mean;NCSSForThisFile_count;BooleanExpressionComplexity_min;NestedForDepth_50%;NumberOfPublicMethods_Checkstyle_count;NumberOfMethods_Checkstyle_min;NumberOfPublicMethods_Checkstyle_min;ClassDataAbstractionCoupling_50%;ClassFanOutComplexity_min;ExecutableStatementCount_75%;NPathComplexity_min;ClassDataAbstractionCoupling_mean;AnonymousInnerClassLength_50%;AnonymousInnerClassLength_25%;NPathComplexity_mean;NCSSForThisMethod_min;NumberOfMethods_Checkstyle_count;FileLength_max;NumberOfPublicMethods_Checkstyle_mean;NumberOfPublicMethods_Checkstyle_std;NCSSForThisClass_25%;ThrowsCount_25%;MethodLength_min;ClassDataAbstractionCoupling_75%;ThrowsCount_mean;NCSSForThisClass_min;NumberOfPackageMethod_max;ExecutableStatementCount_count;CyclomaticComplexity_25%;BooleanExpressionComplexity_75%;NestedTryDepth_50%;ClassDataAbstractionCoupling_std;FileLength_count;NestedIfElseDepth_min;NestedIfElseDepth_std;NPathComplexity_count;NumberOfPackageMethod_50%;NestedIfElseDepth_max;NestedTryDepth_max;NestedTryDepth_75%;ThrowsCount_75%;ClassFanOutComplexity_std;ThrowsCount_max;NCSSForThisClass_count;NumberOfProtectedMethod_min;NestedForDepth_mean;NumberOfProtectedMethod_75%;ClassFanOutComplexity_count;ClassFanOutComplexity_max;NumberOfMethods_Checkstyle_50%;NumberOfPackageMethod_std;ThrowsCount_50%;MethodLength_25%;NumberOfPrivateMethod_count;ThrowsCount_std;ThrowsCount_min;AnonymousInnerClassLength_75%;AnonymousInnerClassLength_min;NumberOfProtectedMethod_50%;NestedForDepth_max;CyclomaticComplexity_count;NestedTryDepth_mean;NumberOfPrivateMethod_mean;NestedForDepth_75%;NCSSForThisClass_mean;NPathComplexity_25%;MethodLength_50%;NCSSForThisMethod_max;NumberOfPrivateMethod_25%;MethodLength_max;FileLength_25%;NCSSForThisMethod_25%;ExecutableStatementCount_25%;FileLength_min;AnonymousInnerClassLength_max;NCSSForThisClass_75%;NumberOfPrivateMethod_50%;FileLength_75%;ExecutableStatementCount_max;NestedIfElseDepth_75%;NestedTryDepth_min;NCSSForThisMethod_75%;Bugged;NCSSForThisMethod_count;NCSSForThisFile_25%;BooleanExpressionComplexity_mean;NCSSForThisClass_std;NumberOfPublicMethods_Checkstyle_50%;NumberOfPrivateMethod_max;NumberOfPackageMethod_25%;NCSSForThisFile_max;NumberOfPackageMethod_75%;ClassDataAbstractionCoupling_min;NCSSForThisMethod_mean;MethodLength_mean;ExecutableStatementCount_std;NestedTryDepth_count;BooleanExpressionComplexity_25%;NCSSForThisFile_50%;NPathComplexity_75%;NPathComplexity_max;BooleanExpressionComplexity_max;MethodLength_std;ClassDataAbstractionCoupling_count;NumberOfPackageMethod_min;NumberOfMethods_Checkstyle_75%;NCSSForThisFile_min;ClassDataAbstractionCoupling_25%;FileLength_50%;NumberOfMethods_Checkstyle_25%;NumberOfPackageMethod_count;NestedForDepth_25%;BooleanExpressionComplexity_50%;CyclomaticComplexity_max;NPathComplexity_50%;BooleanExpressionComplexity_std;NPathComplexity_std;ThrowsCount_count;NumberOfMethods_Checkstyle_max;NestedIfElseDepth_mean;ClassFanOutComplexity_mean;BooleanExpressionComplexity_count;NestedIfElseDepth_50%;NumberOfPrivateMethod_min;NCSSForThisClass_max;ExecutableStatementCount_mean;AnonymousInnerClassLength_mean;ClassDataAbstractionCoupling_max;NumberOfProtectedMethod_max;NCSSForThisMethod_std;MethodLength_count;NumberOfProtectedMethod_25%;NestedForDepth_count;AnonymousInnerClassLength_count;NumberOfPrivateMethod_std;NestedIfElseDepth_25%;NCSSForThisFile_mean;NumberOfMethods_Checkstyle_mean;ClassFanOutComplexity_75%;NestedTryDepth_std;ClassFanOutComplexity_50%;NestedForDepth_std;FileLength_mean;ExecutableStatementCount_min;NCSSForThisClass_50%;AnonymousInnerClassLength_std;NCSSForThisFile_std;NCSSForThisFile_75%;NCSSForThisMethod_50%;NumberOfProtectedMethod_mean;FileLength_std;NumberOfPublicMethods_Checkstyle_max;CyclomaticComplexity_50%;NumberOfPrivateMethod_75%;NumberOfMethods_Checkstyle_std;NestedForDepth_min;NumberOfPublicMethods_Checkstyle_75%;ClassFanOutComplexity_25%;NumberOfPublicMethods_Checkstyle_25%;NumberOfPackageMethod_mean;CyclomaticComplexity_std;CyclomaticComplexity_75%
count;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;6.645617070357555;0.9065743944636678;4.499423298731257;4.499423298731257;0.0569333581748022;2.2249134948096887;0.0002883506343713956;1.2620345575481002;4.499423298731257;0.00922722029988466;0.00461361014994233;4.499423298731257;0.16839677047289503;0.1395617070357555;0.17704728950403692;0.6113033448673587;3.1277393310265285;0.6378316032295271;0.3693822686315684;0.15916955017301038;0.07929642445213379;8.850846698587583;2.2318339100346023;4.499423298731257;73.47635524798154;0.5780829075576672;1.029114647281482;1.5836216839677046;0.05392156862745098;3.2618223760092273;0.32497116493656286;0.09856737186428198;1.2329873125720876;0.049596309111880045;4.499423298731257;0.9855824682814303;0.04123414071510957;0.0005767012687427913;0.5599009783086258;4.499423298731257;0.008073817762399077;0.04100492354830144;4.499423298731257;0.0011534025374855825;0.11072664359861592;0.0057670126874279125;0.0014417531718569781;0.1375432525951557;2.118724178980183;0.1972318339100346;4.499423298731257;0.029988465974625143;0.009383119914363554;0.04815455594002307;4.499423298731257;5.916955017301038;0.27335640138408307;0.016239927660791457;0.09400230680507497;3.956170703575548;4.499423298731257;0.08370709159338754;0.025374855824682813;0.4740484429065744;0.04498269896193772;0.03748558246828143;0.03690888119953864;4.499423298731257;0.0012235831151632766;0.043248140078275855;0.00865051903114187;4.709175788051907;0.8849480968858131;4.884083044982699;7.630911188004614;0.010092272202998846;11.668973471741637;5.649077277970012;2.6707035755478663;1.71280276816609;4.468281430219147;1.4994232987312572;3.8272779700115342;0.0132641291810842;11.767012687427913;5.565167243367935;0.0328719723183391;0.0;4.414936562860438;;4.499423298731257;1.9769319492502884;0.03898909951297677;8.025809751925737;0.2301038062283737;0.31718569780853517;0.0005767012687427913;32.56978085351788;0.0034602076124567475;0.11534025374855825;3.867468986152231;5.816215740764946;1.7105700348457125;4.499423298731257;0.0132641291810842;2.42560553633218;13.21482122260669;46.97923875432526;0.14417531718569782;3.4081762443481063;4.499423298731257;0.0;0.5432525951557093;1.5282583621683967;0.1459054209919262;6.8298731257208765;0.2179930795847751;4.499423298731257;0.004036908881199538;0.020184544405997693;2.2572087658592848;1.3552479815455594;0.05655498455798727;16.554440507460438;4.499423298731257;3.660899653979239;0.029739171365614554;1.6460722116315702;4.499423298731257;0.015570934256055362;0.006920415224913495;24.61361014994233;2.655466564762059;0.39965776684782345;1.610149942329873;0.18685121107266436;2.1877732407269432;4.499423298731257;0.03373702422145329;4.499423298731257;4.499423298731257;0.09844204101074108;0.010380622837370242;6.064038201290954;0.6705284389738838;1.5703575547866204;0.0023523169325628647;0.9152249134948097;0.01437329335058049;15.072928317730556;1.362168396770473;1.9988465974625145;0.6166704297802131;10.967484329189926;4.418396770472895;3.275663206459054;0.05447124538645066;24.97264340537806;3.162629757785467;1.1009227220299884;0.02249134948096886;1.184917579603225;0.0011534025374855825;0.47231833910034604;0.7546136101499423;0.18194925028835063;0.006209175527673718;0.5381050913204474;1.3572664359861593
std;8.128873448338815;0.867312835265672;6.515813922742697;6.515813922742697;0.2434329336090289;3.3681262854822194;0.008490445135141555;1.237446898956658;6.515813922742697;0.09566940669980167;0.08651279497541124;6.515813922742697;0.5279859237649674;0.46854035228464863;0.5548164512051388;1.876070664974337;4.128988430698442;3.3333431891834016;0.6100164970408782;1.1115780566696287;0.7562181574377005;143.9688531875207;3.0602874972648824;6.515813922742697;103.95758964548504;0.5568169332545445;1.2357032173468911;4.7632230471252885;0.20611793600069236;4.613661598933719;0.7295138011056451;0.23762596379904177;4.691761804000065;0.46700282465009274;6.515813922742697;0.9212307141531987;0.19509984259097715;0.01698089027028311;0.9018555642070502;6.515813922742697;0.1016235597357991;0.15574051042272427;6.515813922742697;0.03396178054056622;0.39243752126921105;0.07576526391051874;0.03059641574608266;0.3323588921230214;2.544184068967342;0.4234377023381521;6.515813922742697;0.22340091211597404;0.08783940156724634;0.2577931912087816;6.515813922742697;6.97024530312485;0.5863285902866215;0.14709369373566375;0.28040059597119343;4.924424150897219;6.515813922742697;0.19693627057599514;0.1573516133426787;2.0183671887208923;0.6990968065768272;0.2355077031778324;0.2171059803398428;6.515813922742697;0.021208562110537087;0.161836930495197;0.10086302597280532;5.832365323180698;3.4439526060516874;6.189287133939733;10.051133217748408;0.12983909307418806;15.775195960923307;15.442554252020123;3.2776159925285815;2.5844820015335737;15.245560355510058;4.605793834886624;6.652984915538648;0.13844009932854992;20.02033281000005;7.812398215558643;0.18358801650014225;0.0;5.082820323229453;;6.515813922742697;6.183214878555796;0.1458909548790359;11.174004971968085;0.5279096109573628;0.9975570234979473;0.01698089027028311;51.22727658532266;0.057514124956151935;0.48352293427882775;4.14619672796692;6.449122882540479;2.8000501199268926;6.515813922742697;0.10319638957029248;6.730368900689534;339.5978699181452;545.9069953805541;0.4364697838690576;5.731573431367231;6.515813922742697;0.0;0.7750832687753008;6.065658612194113;0.4990382948050132;16.66545764119158;0.5350576882395022;6.515813922742697;0.08049264320891243;0.13115568412803766;3.2685149365647126;8.812492682366967;0.18644550444845134;225.4551059490697;6.515813922742697;5.917085343202447;0.138133631091094;2.0299447779705577;6.515813922742697;0.1250394505300188;0.12695800213299302;44.114295696041346;3.2747889107581423;1.4071986451464982;2.873433036279242;0.7776690639252708;3.519250829686023;6.515813922742697;0.22623970008714764;6.515813922742697;6.515813922742697;0.273542058010589;0.1055972478168529;7.422875403056513;0.6000031503063921;2.48931508549454;0.03492071368311932;2.0508881169613202;0.08624488917573543;16.81018593380111;2.399066197140265;5.145907906593155;1.962025984894611;13.89939477754;8.44984449011084;4.108392314040811;0.24667376640662753;28.25058798002028;5.2799316344855205;1.1267374378427575;0.1609599475559989;1.3775643087271772;0.033961780540566214;0.7180135544424341;1.9006369861974821;0.47738704426407774;0.05704391915807107;1.1140869774102886;1.5077835856548107
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
50%;5.0;1.0;2.0;2.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;49.0;0.6666666666666666;0.7071067811865476;0.0;0.0;3.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.2060453783110543;0.0;2.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;3.9;0.25;3.0;5.0;0.0;7.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;;2.0;0.0;0.0;3.5355339059327378;0.0;0.0;0.0;16.0;0.0;0.0;3.0;4.666666666666667;0.4472135954999579;2.0;0.0;0.0;1.0;1.0;0.0;0.6666666666666667;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;2.0;0.0;1.0;2.0;0.0;0.0;10.0;1.8888888888888888;0.0;0.0;0.0;0.5;2.0;0.0;2.0;2.0;0.0;0.0;4.888888888888889;1.0;0.0;0.0;0.0;0.0;13.666666666666664;1.0;0.0;0.0;4.949747468305833;0.0;2.0;0.0;24.494897427831784;1.0;1.0;0.0;0.8320502943378437;0.0;0.0;0.0;0.0;0.0;0.0;1.0
75%;9.375;1.0;6.0;6.0;0.0;3.0;0.0;1.6666666666666667;6.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;4.5;1.0;0.5;0.0;0.0;1.6666666666666667;2.0;6.0;104.0;1.0;1.7320508075688772;0.0;0.0;3.0;0.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0;0.9331731167663804;6.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;3.6790883011199016;0.0;6.0;0.0;0.0;0.0;6.0;9.0;0.0;0.0;0.0;5.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;7.090909090909091;1.0;6.5;11.0;0.0;16.0;0.0;3.0;2.0;0.0;0.0;6.0;0.0;24.5;8.0;0.0;0.0;6.0;;6.0;0.0;0.0;12.78935707183579;0.0;0.0;0.0;46.0;0.0;0.0;5.5;8.186813186813186;2.5294428182415123;6.0;0.0;0.0;2.0;3.0;0.0;4.820303980079723;6.0;0.0;1.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;3.0;1.0;0.0;1.1547005383792517;6.0;4.0;0.0;2.5;6.0;0.0;0.0;31.0;3.8285714285714283;0.0;2.0;0.0;3.320731224364967;6.0;0.0;6.0;6.0;0.0;0.0;9.5;1.0;2.875;0.0;0.0;0.0;24.25;1.0;0.0;0.0;19.0;6.375;4.0;0.0;44.477985363800585;4.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.7071067811865476;2.0
