;blamemerge_blamegetDifficulty_count;TotalNumberOfOperands;AnonymousInnerClassLength_50%;blame_merge_blame_getEffort_max;blame_merge_blame_getLength_count;MethodLength_mean;Effort;blame_merge_blame_getVocabulary_mean;blame_merge_blame_getEffort_count;blame_merge_blame_getVocabulary_max;MethodLength_min;blame_merge_blame_getLength_mean;blame_merge_blame_getDifficulty_min;blamemerge_blamegetVocabulary_max;blame_merge_blame_getDifficulty_std;Difficulty;blame_merge_blame_getVolume_count;MethodLength_std;blame_merge_blame_getVolume_std;blamemerge_blamegetVolume_mean;Vocabulary;blamemerge_blamegetVocabulary_std;blame_merge_blame_getLength_min;blame_merge_blame_getEffort_std;AnonymousInnerClassLength_mean;AnonymousInnerClassLength_min;Bugged;blame_merge_blame_getVolume_mean;blame_merge_blame_getDifficulty_count;blamemerge_blamegetLength_mean;MethodLength_max;blamemerge_blamegetEffort_count;blamemerge_blamegetDifficulty_mean;blame_merge_blame_getVocabulary_std;blamemerge_blamegetVolume_std;AnonymousInnerClassLength_75%;Length;blame_merge_blame_getLength_std;blamemerge_blamegetVocabulary_count;FileLength_min;MethodLength_25%;blamemerge_blamegetDifficulty_max;blamemerge_blamegetDifficulty_std;blamemerge_blamegetLength_std;blamemerge_blamegetEffort_mean;blamemerge_blamegetEffort_std;blamemerge_blamegetVolume_count;NumberOfDistinctOperands;blamemerge_blamegetLength_count;MethodLength_75%;blame_merge_blame_getEffort_min;FileLength_50%;blame_merge_blame_getVolume_min;FileLength_std;AnonymousInnerClassLength_count;TotalNumberOfOperators;NumberOfDistinctOperators;blame_merge_blame_getVocabulary_min;FileLength_mean;Volume;FileLength_max;AnonymousInnerClassLength_max;MethodLength_count;blame_merge_blame_getDifficulty_max;blame_merge_blame_getLength_max;blame_merge_blame_getEffort_mean;MethodLength_50%;FileLength_75%;blamemerge_blamegetVocabulary_mean;blamemerge_blamegetEffort_max;blamemerge_blamegetVolume_max;blame_merge_blame_getDifficulty_mean;blame_merge_blame_getVocabulary_count;blame_merge_blame_getVolume_max;blamemerge_blamegetLength_max;AnonymousInnerClassLength_std;FileLength_count;FileLength_25%;AnonymousInnerClassLength_25%
count;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;1032.7659574468084;318.8510638297872;0.0;0.0;0.0;13.415457778138101;450027.91679353744;0.0;0.0;0.0;6.787234042553192;0.0;0.0;17.0;0.0;42.8335969726041;0.0;8.580036398476286;0.0;7.250336912057829;106.70212765957447;2.992197130704239;0.0;0.0;0.011264080100125157;0.0;;0.0;0.0;2.2403435651476227;30.829787234042552;1032.7659574468084;0.4817526353968473;0.0;15.595712532396902;0.0;885.4255319148937;0.0;1032.7659574468084;10.851063829787234;8.707446808510639;5.82742354010517;0.9209850870994729;4.174023405914321;24.73722822773769;70.329963028021;1032.7659574468084;82.70212765957447;1032.7659574468084;15.21808510638298;0.0;14.936170212765957;0.0;53.97700458421522;7.446808510638298;566.5744680851063;24.0;0.0;31.407541998911146;6412.336556725947;181.36170212765958;0.19148936170212766;7.446808510638298;0.0;0.0;0.0;10.329787234042554;23.98404255319149;1.7358545760604898;647.9831405186592;116.08107087145078;0.0;0.0;0.0;27.76595744680851;0.04644299202823397;7.446808510638298;12.893617021276595;0.0
std;1220.6549954620043;319.6221940057004;0.0;0.0;0.0;13.219671477504138;700378.3156007798;0.0;0.0;0.0;9.62319699705006;0.0;0.0;7.052597424692736;0.0;29.73583140406658;0.0;13.575677012083876;0.0;8.107193235076581;74.84416125280264;1.7101177536241552;0.0;0.0;0.0772226425577089;0.0;;0.0;0.0;2.3721713443599297;33.68803112765859;1220.6549954620043;0.5044838220627773;0.0;12.493807224774196;0.0;886.1224457709936;0.0;1220.6549954620043;24.747401025952513;10.340969483623844;1.734375605560896;0.5097864942137057;2.7567983316833637;30.695701167214033;72.70818487332852;1220.6549954620043;68.42416141203245;1220.6549954620043;15.043471159088869;0.0;26.00201016921505;0.0;43.55514643010216;8.694847326304936;568.1615180899687;9.105659969396006;0.0;21.968712434812296;7017.067617614546;185.24653673133224;1.312784923481051;8.694847326304936;0.0;0.0;0.0;11.06123105998795;31.835233260976096;1.7795040839361569;553.6857816949756;82.44472036370223;0.0;0.0;0.0;15.144539503753773;0.31839711195475123;8.694847326304936;24.611091563299162;0.0
min;27.0;13.0;0.0;0.0;0.0;0.0;582.3522445702661;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;4.727272727272728;0.0;0.0;0.0;0.10422679194091042;19.0;0.4741485088611369;0.0;0.0;0.0;0.0;;0.0;0.0;0.04723127035830619;0.0;27.0;0.008143322475570033;0.0;1.3648053355827252;0.0;29.0;0.0;27.0;0.0;0.0;1.5;0.10265070397769352;0.5260432703525559;0.1263110065001643;1.6195563834290858;27.0;11.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;8.0;0.0;0.0;123.18989788986393;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.043973941368078175;25.266194298518442;25.266194298518442;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0
25%;170.0;70.0;0.0;0.0;0.0;5.961538461538462;22922.808713284343;0.0;0.0;0.0;3.0;0.0;0.0;13.0;0.0;18.80681818181818;0.0;0.0;0.0;1.2198563783233936;56.0;1.602557390306976;0.0;0.0;0.0;0.0;;0.0;0.0;0.43084190923121607;7.0;170.0;0.0865301985708305;0.0;6.278290951770415;0.0;197.0;0.0;170.0;0.0;3.0;4.326388888888889;0.5013943126495692;1.9949043640539994;3.1842896465085393;18.700597385682883;170.0;34.0;170.0;5.625;0.0;0.0;0.0;0.0;1.0;125.5;18.0;0.0;18.375;1154.341299577326;61.0;0.0;1.0;0.0;0.0;0.0;3.25;0.0;0.3574251044579482;266.58941141594505;67.30395746326982;0.0;0.0;0.0;18.0;0.0;1.0;0.0;0.0
50%;675.0;218.0;0.0;0.0;0.0;11.0;153376.911505591;0.0;0.0;0.0;4.0;0.0;0.0;16.0;0.0;36.74666666666667;0.0;4.304142310105583;0.0;3.375754397404272;93.0;2.635686749261265;0.0;0.0;0.0;0.0;;0.0;0.0;1.2062062062062062;20.0;675.0;0.2650025025025025;0.0;14.381882506943828;0.0;593.0;0.0;675.0;0.0;6.5;6.4;0.8007957854769973;4.125277292340424;11.771703102089615;55.620863924727146;675.0;72.0;675.0;13.0;0.0;0.0;0.0;57.99999999999999;4.0;375.0;22.0;0.0;23.0;3780.398382788727;138.0;0.0;4.0;0.0;0.0;0.0;8.0;0.0;1.0070070070070072;540.0;100.0;0.0;0.0;0.0;25.0;0.0;4.0;0.0;0.0
75%;1474.5;452.0;0.0;0.0;0.0;15.20138888888889;496924.1965938378;0.0;0.0;0.0;7.0;0.0;0.0;19.0;0.0;56.88939763939764;0.0;11.860255151896249;0.0;11.765020165923744;132.0;4.0571347930207535;0.0;0.0;0.0;0.0;;0.0;0.0;3.7239509997183893;43.0;1474.5;0.6951655236243999;0.0;19.052036517639287;0.0;1297.5;0.0;1474.5;0.0;10.125;7.0;1.3229087055152917;5.459828143619818;32.997678349777445;80.50594816135512;1474.5;106.0;1474.5;17.25;0.0;32.25;0.0;78.38342993002827;9.0;837.0;29.5;0.0;46.0;9558.270811235347;252.5;0.0;9.0;0.0;0.0;0.0;11.75;50.75;2.9311461560123906;840.7677275742421;129.11831816165923;0.0;0.0;0.0;31.0;0.0;9.0;19.75;0.0
