;NOP_mean;Di_50%;Ci_25%;blamemerge_blamegetDifficulty_count;VG_max;Fout_count;Ci_count;IOVars_50%;Fin_75%;Ci_mean;Si_mean;Fin_count;NVAR_max;Fout_25%;Ci_max;blamemerge_blamegetDistinctOperatorsCnt_count;blame_merge_blame_getDistinctOperatorsCnt_mean;MCLC_min;blame_merge_blame_getDistinctOperandsCnt_min;Si_std;Fin_std;IOVars_max;NBD_count;blame_merge_blame_getDifficulty_min;blamemerge_blamegetDistinctOperandsCnt_std;blame_merge_blame_getDifficulty_std;blamemerge_blamegetDistinctOperatorsCnt_max;blamemerge_blamegetDistinctOperandsCnt_mean;Fin_50%;NVAR_25%;Fout_min;Difficulty;NOP_std;VG_std;VG_75%;Di_min;NCOMP_75%;IOVars_75%;blame_merge_blame_getDistinctOperatorsCnt_count;Si_75%;MCLC_75%;MCLC_std;NBD_std;Bugged;Fin_25%;blame_merge_blame_getDistinctOperandsCnt_count;NOP_25%;blame_merge_blame_getDifficulty_count;Si_50%;blamemerge_blamegetDistinctOperatorsCnt_mean;MCLC_max;blame_merge_blame_getDistinctOperatorsCnt_std;Fin_max;NCOMP_25%;blamemerge_blamegetDifficulty_mean;Fout_50%;Di_25%;NCOMP_max;Fout_75%;IOVars_min;NBD_75%;IOVars_25%;MCLC_count;Fout_max;NVAR_count;VG_mean;blamemerge_blamegetDistinctOperandsCnt_max;MCLC_25%;NBD_25%;blamemerge_blamegetDifficulty_max;NBD_max;NBD_min;NCOMP_mean;Ci_std;VG_min;IOVars_count;blamemerge_blamegetDifficulty_std;NCOMP_min;Fout_std;NBD_50%;IOVars_std;NVAR_min;NCOMP_count;NumberOfDistinctOperands;Di_75%;NOP_50%;NOP_max;VG_count;NVAR_50%;IOVars_mean;NCOMP_std;Di_std;blame_merge_blame_getDistinctOperatorsCnt_max;blame_merge_blame_getDistinctOperandsCnt_max;MCLC_mean;NumberOfDistinctOperators;Fin_mean;NOP_count;Si_max;Si_count;NVAR_75%;ClRCi;ClTCi;NOP_75%;NCOMP_50%;blame_merge_blame_getDifficulty_max;NOP_min;Di_count;blamemerge_blamegetDistinctOperandsCnt_count;NBD_mean;Fin_min;blame_merge_blame_getDifficulty_mean;blamemerge_blamegetDistinctOperatorsCnt_std;Si_25%;MCLC_50%;blame_merge_blame_getDistinctOperandsCnt_std;Di_mean;NOPa;blame_merge_blame_getDistinctOperatorsCnt_min;Di_max;Ci_50%;Ci_75%;VG_50%;Fout_mean;NVAR_mean;VG_25%;Si_min;Ci_min;NVAR_std;blame_merge_blame_getDistinctOperandsCnt_mean
count;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.5683892286635848;0.8638297872340426;0.8058510638297872;1032.7659574468084;2.4468085106382977;3.851063829787234;3.851063829787234;0.925531914893617;0.05851063829787234;1.0601975820622267;0.18108435983575963;3.851063829787234;1.0638297872340425;0.010638297872340425;2.3152988855106384;1032.7659574468084;0.0;0.2978723404255319;0.0;0.4158399918973952;0.14270987976590707;1.3404255319148937;3.851063829787234;0.0;1.5130651159593647;0.0;9.02127659574468;0.7825341178731411;0.0425531914893617;0.2074468085106383;0.0;42.8335969726041;0.19637936764941222;0.5698207558961861;1.3138297872340425;0.6170212765957447;0.7712765957446809;1.0159574468085106;0.0;0.13297872340425532;1.2872340425531914;0.8973147877680211;0.35706275140276367;;0.02127659574468085;0.0;0.4521276595744681;0.0;0.02127659574468085;0.9533204581873483;3.0;0.0;0.46808510638297873;0.26595744680851063;0.4817526353968473;0.02127659574468085;0.7526595744680851;2.0638297872340425;0.0797872340425532;0.6808510638297872;0.898936170212766;0.7872340425531915;3.851063829787234;0.425531914893617;3.851063829787234;1.1959387352724418;9.659574468085106;0.5212765957446809;0.6542553191489362;5.82742354010517;1.5319148936170213;0.5957446808510638;0.6003926551238981;0.4625933020278697;0.7872340425531915;3.851063829787234;0.9209850870994729;0.1276595744680851;0.13818183459819522;0.723404255319149;0.2138984683750761;0.14893617021276595;3.851063829787234;82.70212765957447;0.9680851063829787;0.5425531914893617;0.9361702127659575;3.851063829787234;0.23404255319148937;0.9315700940840919;0.6505050641033917;0.22375038678783207;0.0;0.0;0.9887838458667125;24.0;0.0764385390645189;3.851063829787234;1.446808510638298;3.851063829787234;0.4574468085106383;1.0651802378297872;11.651114488361701;0.675531914893617;0.4574468085106383;0.0;0.3617021276595745;3.851063829787234;1032.7659574468084;0.8366437438385926;0.0;0.0;1.5984653151979342;0.010638297872340425;0.7553191489361702;0.0;0.879113222226467;0.0;0.0;1.2765957446808511;0.9574468085106383;1.0691489361702127;1.0425531914893618;0.0764385390645189;0.3883911907428145;0.9308510638297872;0.0;0.723404255319149;0.34984152756871384;0.0
std;0.888449226006749;1.2013444519108207;1.1562121059120336;1220.6549954620043;4.174500806596379;8.720238138462122;8.720238138462122;1.2334941682430978;0.26174978695563994;1.4791313842744997;0.6835184126406801;8.720238138462122;1.9605262749439514;0.07293249574894728;5.815791424145;1220.6549954620043;0.0;1.6274131729596715;0.0;1.592669694247497;0.4135739535635427;1.9591102211117126;8.720238138462122;0.0;1.0415100704823301;0.0;2.625041297415335;0.8330306580273701;0.2040297088885788;0.9241905226246143;0.0;29.73583140406658;0.4647555806817152;1.107412194328199;2.471834869600252;1.1244509629776347;2.2115247710880355;1.3795914007170638;0.0;0.5208976987671797;3.1316141844989533;1.9793685803169028;0.7025605655541332;;0.1020148544442894;0.0;0.815339183008367;0.0;0.14586499149789456;0.9635836811824031;6.440361858588787;0.0;1.3807852811351389;0.9417898306450239;0.5044838220627773;0.14586499149789456;1.127593771051359;5.218713215206568;0.313233413188688;1.1441036548267705;1.507823415509564;1.1444320826765515;8.720238138462122;1.1372101800126986;8.720238138462122;2.2165699712607014;5.850591184341158;1.8531918610887403;1.2700064099133879;1.734375605560896;2.421381781489627;1.227574038643505;1.5619509066959107;1.5196806554512161;1.8289480251816652;8.720238138462122;0.5097864942137057;0.7406525112768366;0.36072720850737894;1.3424851656467192;0.47896184144412746;0.8841287385171748;8.720238138462122;68.42416141203245;1.3007282881355224;0.8774331835954099;1.6863164811937306;8.720238138462122;0.9546856062838246;1.2448863107435744;1.7286855561592902;0.46034347323759106;0.0;0.0;2.396746351952655;9.105659969396006;0.23236715956334425;8.720238138462122;5.721084233810999;8.720238138462122;1.2184264051299343;1.4596202494022803;26.103263205198086;1.0541260722196422;1.425046861296767;0.0;0.7919577260043514;8.720238138462122;1220.6549954620043;1.4091687887162088;0.0;0.0;0.8235019990991577;0.07293249574894728;2.361080124106642;0.0;1.2072173977846403;0.0;0.0;1.8847457175920308;1.2804117341955596;1.435254142367274;2.2574268422688952;0.23236715956334425;1.0214692757022996;2.025450921117947;0.0;1.1553679568144826;0.7070382469200415;0.0
min;0.0;0.0;0.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27608529931246445;0.0;3.0;0.021172638436482084;0.0;0.0;0.0;4.727272727272728;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.02280130293159609;0.0;0.0;0.0;0.0;0.008143322475570033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.10265070397769352;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;0.0;0.0;0.0;0.2200429357441256;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;170.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;170.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7334292427560403;0.0;7.0;0.14607900646775518;0.0;0.0;0.0;18.80681818181818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.20933171717012516;0.0;0.0;0.0;0.0;0.0865301985708305;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;4.326388888888889;0.0;0.0;0.0;0.0;0.0;0.0;0.5013943126495692;0.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;170.0;0.0;0.0;0.0;0.8854765442568648;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;675.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;675.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2631656944120493;0.0;9.0;0.4093919325707405;0.0;0.0;0.0;36.74666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.6136136136136137;0.0;0.0;0.0;0.0;0.2650025025025025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;6.4;0.0;0.0;0.0;0.0;0.0;0.0;0.8007957854769973;0.0;0.0;0.0;0.0;0.0;0.0;72.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;675.0;0.0;0.0;0.0;1.4714568377310513;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;1.0;2.0;1.125;1474.5;4.0;2.0;2.0;2.0;0.0;2.0;0.0;2.0;1.0;0.0;3.0;1474.5;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.9837339567340404;0.0;11.0;1.51866576819407;0.0;0.0;0.0;56.88939763939764;0.0;0.5112042744144267;1.25;0.8333333334999999;0.125;2.0;0.0;0.0;0.875;0.22941573387056174;0.4403773405747456;;0.0;0.0;1.0;0.0;0.0;1.2884398760912419;2.0;0.0;0.0;0.0;0.6951655236243999;0.0;1.0;1.0;0.0;1.0;1.125;1.0;2.0;0.0;2.0;1.6041666666666665;10.0;0.0;1.0;7.0;3.0;1.0;0.22916666666666666;0.18600595228571126;1.0;2.0;1.3229087055152917;0.0;0.0;1.0;0.0;0.0;2.0;106.0;2.0;1.0;1.0;2.0;0.0;1.9166666666666665;0.11470786693528087;0.17306650975725388;0.0;0.0;0.7708333333333333;29.5;0.0;2.0;0.0;2.0;0.0;1.875;7.666666666499999;1.0;0.0;0.0;0.0;2.0;1474.5;1.3076923076923077;0.0;0.0;2.213627394448668;0.0;0.0;0.0;1.6542658730833333;0.0;0.0;2.0;2.0;2.0;1.0;0.0;0.3333333333333333;1.0;0.0;1.0;0.11470786693528087;0.0
