LOCMethod_CK_min;LOCMethod_min;LOCMethod_count;NumberOfParameters_Designite_count;NumberOfParameters_Designite_75%;LOCMethod_50%;NumberOfParameters_Designite_std;LOCMethod_max;CyclomaticComplexity_Designite_count;LOCMethod_std;LOCMethod;CyclomaticComplexity_Designite_std;LOCMethod_CK_mean;CyclomaticComplexity_Designite_max;LOCMethod_CK_max;NumberOfParameters_Designite_50%;Bugged;CyclomaticComplexity_Designite_75%;LOCMethod_CK_50%;LOCMethod_CK_count;CyclomaticComplexity_Designite_min;NumberOfParameters_Designite_min;LOCMethod_CK_std;LOCMethod_25%;CyclomaticComplexity_Designite_25%;NumberOfParameters_Designite_25%;LOCMethod_mean;NumberOfParameters_Designite_mean;NumberOfParameters_Designite_max;LOCMethod_CK_75%;CyclomaticComplexity_Designite_50%;LOCMethod_CK_25%;LOCMethod_75%;CyclomaticComplexity_Designite_mean
1.0;0.0;6.0;6.0;1.0;0.0;1.3662601021279464;0.0;6.0;0.0;12.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;7.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.3333333333333333;4.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;5.0;5.0;1.0;0.0;0.5477225575051662;0.0;5.0;0.0;11.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;5.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.6;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;9.0;9.0;1.0;0.0;0.33333333333333337;0.0;9.0;0.0;15.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;9.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.8888888888888888;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;5.0;5.0;1.0;0.0;0.4472135954999581;0.0;5.0;0.0;11.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;5.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.8;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;8.0;8.0;1.0;0.0;0.3535533905932738;0.0;8.0;0.0;14.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;8.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.875;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;8.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;2.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;6.0;6.0;1.0;0.0;0.40824829046386296;0.0;6.0;0.0;12.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;6.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.8333333333333334;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;17.0;17.0;1.0;0.0;0.696630546019236;0.0;17.0;0.0;24.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;18.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.8823529411764706;3.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;16.0;16.0;1.0;0.0;0.4472135954999579;0.0;16.0;0.0;100.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;15.0;1.0;0.0;0.0;0.0;1.0;0.75;0.0;0.75;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;7.0;7.0;1.0;0.0;0.5773502691896257;0.0;7.0;0.0;12.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;7.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;1.0;1.0;1.0;0.0;1.0
