;Fout;VG;Fin;Si;Ci;NVAR;Di;NBD;BuggedMethods;NCOMP;NOP;IOVars;MCLC
count;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256;13256.0;13256.0;13256.0;13256.0
unique;;;;;;;;;2;;;;
top;;;;;;;;;False;;;;
freq;;;;;;;;;13206;;;;
mean;0.13412794206397102;1.2125075437537718;0.16173808086904043;0.790132770066385;1.3638786763246078;0.3822420036210018;0.5737459062582226;0.9136994568497284;;0.6200211225105613;0.2684067592033796;0.6099124924562462;1.002263126131563
std;0.8787495195702076;2.754405493518872;1.3191916398954444;28.277589018364647;28.274518010191315;1.2146527684871053;0.750388087236633;1.1828420077455488;;3.3249629817764523;0.534795232973513;0.7666107244905358;4.047939173311194
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
50%;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;0.0;0.0;0.0
75%;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;;0.0;0.0;1.0;0.0
max;52.0;108.0;114.0;2704.0;2704.018867925;36.0;13.0;20.0;;163.0;12.0;13.0;176.0
