;NPF;RTLOC;Bugged;NOL;NSF;NSM;NOD;ClTCi;TLOC;PMd;ClRCi;NOA
count;145.0;145.0;145;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0
unique;;;2;;;;;;;;;
top;;;False;;;;;;;;;
freq;;;123;;;;;;;;;
mean;0.47586206896551725;108.97931034482758;;0.0;1.903448275862069;0.6137931034482759;0.0;12.069901477827585;37.648275862068964;3.7724137931034485;1.0452253831103446;0.0
std;1.5003830928424102;204.30782429697965;;0.0;4.162204507247723;3.021189535083251;0.0;22.1436694549094;64.30650682414161;6.275774440464396;1.311958087686291;0.0
min;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;172.0;;0.0;2.0;0.0;0.0;14.0;58.0;5.0;2.090909091;0.0
max;11.0;1091.0;;0.0;29.0;32.0;0.0;140.75;419.0;36.0;6.666666667;0.0
