AnonymousInnerClassLength_count;AnonymousInnerClassLength_25%;blamemerge_blamegetVocabulary_max;FileLength_50%;FileLength_mean;blame_merge_blame_getVolume_count;FileLength_min;blamemerge_blamegetEffort_mean;blamemerge_blamegetLength_mean;Difficulty;blame_merge_blame_getVocabulary_mean;MethodLength_std;blame_merge_blame_getLength_max;Bugged;blame_merge_blame_getDifficulty_mean;blame_merge_blame_getVocabulary_std;Vocabulary;blamemerge_blamegetDifficulty_mean;blamemerge_blamegetEffort_count;blame_merge_blame_getVolume_mean;blame_merge_blame_getEffort_max;Volume;AnonymousInnerClassLength_min;blamemerge_blamegetVolume_mean;blamemerge_blamegetVocabulary_mean;MethodLength_count;blamemerge_blamegetLength_count;blamemerge_blamegetDifficulty_count;blamemerge_blamegetVocabulary_std;FileLength_25%;FileLength_max;blame_merge_blame_getDifficulty_count;blame_merge_blame_getVocabulary_count;blame_merge_blame_getLength_mean;FileLength_std;blame_merge_blame_getLength_min;blame_merge_blame_getVolume_max;blame_merge_blame_getDifficulty_min;blame_merge_blame_getLength_count;blame_merge_blame_getEffort_std;NumberOfDistinctOperands;AnonymousInnerClassLength_max;blamemerge_blamegetVolume_count;blame_merge_blame_getVolume_std;blamemerge_blamegetEffort_std;AnonymousInnerClassLength_std;AnonymousInnerClassLength_mean;TotalNumberOfOperators;blame_merge_blame_getVolume_min;AnonymousInnerClassLength_75%;blame_merge_blame_getVocabulary_max;blamemerge_blamegetVocabulary_count;AnonymousInnerClassLength_50%;blamemerge_blamegetLength_std;MethodLength_25%;blamemerge_blamegetVolume_std;MethodLength_mean;TotalNumberOfOperands;MethodLength_max;Effort;NumberOfDistinctOperators;MethodLength_min;blamemerge_blamegetDifficulty_std;blame_merge_blame_getEffort_mean;blame_merge_blame_getDifficulty_std;blamemerge_blamegetDifficulty_max;blame_merge_blame_getDifficulty_max;FileLength_75%;blame_merge_blame_getLength_std;FileLength_count;blame_merge_blame_getVocabulary_min;blamemerge_blamegetVolume_max;Length;MethodLength_75%;blame_merge_blame_getEffort_min;blame_merge_blame_getEffort_count;blamemerge_blamegetEffort_max;blamemerge_blamegetLength_max;MethodLength_50%
56.0;0.0;23.0;0.0;0.0;0.0;0.0;40.436644006606095;4.039889958734525;259.10550458715596;0.0;13.390719309893838;0.0;False;0.0;0.0;273.0;1.0677683074605355;1454.0;0.0;0.0;47536.85544576321;0.0;12.180992653932162;3.4222833562585966;56.0;1454.0;1454.0;4.190140002560532;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;218.0;0.0;1454.0;0.0;113.99592891652706;0.0;0.0;3820.0;0.0;0.0;0.0;1454.0;0.0;5.489756862348609;3.0;19.302067190258697;13.125;2054.0;63.0;12317060.91676117;55.0;0.0;1.5370566782371249;0.0;0.0;13.125;0.0;0.0;0.0;56.0;0.0;226.1780978028506;5874.0;20.0;0.0;0.0;2968.587533662416;50.0;8.0
1.0;0.0;23.0;0.0;0.0;0.0;0.0;40.436644006606095;4.039889958734525;259.10550458715596;0.0;0.0;0.0;False;0.0;0.0;273.0;1.0677683074605355;1454.0;0.0;0.0;47536.85544576321;0.0;12.180992653932162;3.4222833562585966;1.0;1454.0;1454.0;4.190140002560532;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;218.0;0.0;1454.0;0.0;113.99592891652706;0.0;0.0;3820.0;0.0;0.0;0.0;1454.0;0.0;5.489756862348609;35.0;19.302067190258697;35.0;2054.0;35.0;12317060.91676117;55.0;35.0;1.5370566782371249;0.0;0.0;13.125;0.0;0.0;0.0;1.0;0.0;226.1780978028506;5874.0;35.0;0.0;0.0;2968.587533662416;50.0;35.0
2.0;0.0;23.0;0.0;0.0;0.0;0.0;40.436644006606095;4.039889958734525;259.10550458715596;0.0;0.0;0.0;False;0.0;0.0;273.0;1.0677683074605355;1454.0;0.0;0.0;47536.85544576321;0.0;12.180992653932162;3.4222833562585966;2.0;1454.0;1454.0;4.190140002560532;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;218.0;0.0;1454.0;0.0;113.99592891652706;0.0;0.0;3820.0;0.0;0.0;0.0;1454.0;0.0;5.489756862348609;0.0;19.302067190258697;0.0;2054.0;0.0;12317060.91676117;55.0;0.0;1.5370566782371249;0.0;0.0;13.125;0.0;0.0;0.0;2.0;0.0;226.1780978028506;5874.0;0.0;0.0;0.0;2968.587533662416;50.0;0.0
1.0;0.0;23.0;1454.0;1454.0;0.0;1454.0;40.436644006606095;4.039889958734525;259.10550458715596;0.0;0.0;0.0;False;0.0;0.0;273.0;1.0677683074605355;1454.0;0.0;0.0;47536.85544576321;0.0;12.180992653932162;3.4222833562585966;1.0;1454.0;1454.0;4.190140002560532;1454.0;1454.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;218.0;0.0;1454.0;0.0;113.99592891652706;0.0;0.0;3820.0;0.0;0.0;0.0;1454.0;0.0;5.489756862348609;20.0;19.302067190258697;20.0;2054.0;20.0;12317060.91676117;55.0;20.0;1.5370566782371249;0.0;0.0;13.125;0.0;1454.0;0.0;1.0;0.0;226.1780978028506;5874.0;20.0;0.0;0.0;2968.587533662416;50.0;20.0
1.0;0.0;23.0;0.0;0.0;0.0;0.0;40.436644006606095;4.039889958734525;259.10550458715596;0.0;0.0;0.0;False;0.0;0.0;273.0;1.0677683074605355;1454.0;0.0;0.0;47536.85544576321;0.0;12.180992653932162;3.4222833562585966;1.0;1454.0;1454.0;4.190140002560532;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;218.0;0.0;1454.0;0.0;113.99592891652706;0.0;0.0;3820.0;0.0;0.0;0.0;1454.0;0.0;5.489756862348609;0.0;19.302067190258697;0.0;2054.0;0.0;12317060.91676117;55.0;0.0;1.5370566782371249;0.0;0.0;13.125;0.0;0.0;0.0;1.0;0.0;226.1780978028506;5874.0;0.0;0.0;0.0;2968.587533662416;50.0;0.0
26.0;0.0;13.0;0.0;13.576923076923075;0.0;0.0;8.514545232146776;1.6798866855524082;35.932203389830505;0.0;0.5083911274417939;0.0;True;0.0;0.0;79.0;0.4206798866855524;353.0;0.0;0.0;3738.141983669022;0.0;4.338165861103549;1.6175637393767706;26.0;353.0;353.0;2.8271065681668848;0.0;353.0;0.0;0.0;0.0;69.22899570377896;0.0;0.0;0.0;0.0;0.0;59.0;0.0;353.0;0.0;20.92953094354504;0.0;0.0;381.0;0.0;0.0;0.0;353.0;0.0;3.0051221402852253;3.0;8.956073816003906;3.4615384615384617;212.0;4.0;134319.67805725973;20.0;3.0;0.849931542743289;0.0;0.0;4.0;0.0;0.0;0.0;26.0;0.0;48.10571633583421;593.0;4.0;0.0;0.0;168.3700071754197;13.0;3.0
1.0;0.0;13.0;0.0;0.0;0.0;0.0;8.514545232146776;1.6798866855524082;35.932203389830505;0.0;0.0;0.0;True;0.0;0.0;79.0;0.4206798866855524;353.0;0.0;0.0;3738.141983669022;0.0;4.338165861103549;1.6175637393767706;1.0;353.0;353.0;2.8271065681668848;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.0;0.0;353.0;0.0;20.92953094354504;0.0;0.0;381.0;0.0;0.0;0.0;353.0;0.0;3.0051221402852253;4.0;8.956073816003906;4.0;212.0;4.0;134319.67805725973;20.0;4.0;0.849931542743289;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;48.10571633583421;593.0;4.0;0.0;0.0;168.3700071754197;13.0;4.0
5.0;0.0;10.0;0.0;24.0;0.0;0.0;2.039858426137531;0.55;7.363636363636362;0.0;0.0;0.0;False;0.0;0.0;31.0;0.1;120.0;0.0;0.0;326.97695648553383;0.0;1.3850902378647392;0.5333333333333333;5.0;120.0;120.0;1.7724944836805192;0.0;120.0;0.0;0.0;0.0;53.66563145999496;0.0;0.0;0.0;0.0;0.0;22.0;0.0;120.0;0.0;9.44719503552032;0.0;0.0;30.0;0.0;0.0;0.0;120.0;0.0;1.8418569365696988;0.0;5.266358453840429;0.0;36.0;0.0;2407.7394068480207;9.0;0.0;0.3757345746510897;0.0;0.0;2.5;0.0;0.0;0.0;5.0;0.0;33.219280948873624;66.0;0.0;0.0;0.0;83.04820237218406;10.0;0.0
0.0;0.0;19.0;0.0;0.0;0.0;0.0;21.597961325759385;2.236754966887417;71.81612903225806;0.0;0.0;0.0;True;0.0;0.0;196.0;0.5294025281194155;604.0;0.0;0.0;10287.472999399646;0.0;6.989202338991547;1.9470198675496688;0.0;604.0;604.0;3.839289043275276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;155.0;0.0;604.0;0.0;67.35199694610826;0.0;0.0;808.0;0.0;0.0;0.0;604.0;0.0;4.716356641136588;0.0;17.051882731542776;0.0;543.0;0.0;738806.4883407558;41.0;0.0;1.1520151330949688;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;118.9419703764204;1351.0;0.0;0.0;0.0;588.7627533632809;29.0;0.0
0.0;0.0;19.0;0.0;0.0;0.0;0.0;21.597961325759385;2.236754966887417;71.81612903225806;0.0;0.0;0.0;True;0.0;0.0;196.0;0.5294025281194155;604.0;0.0;0.0;10287.472999399646;0.0;6.989202338991547;1.9470198675496688;0.0;604.0;604.0;3.839289043275276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;155.0;0.0;604.0;0.0;67.35199694610826;0.0;0.0;808.0;0.0;0.0;0.0;604.0;0.0;4.716356641136588;0.0;17.051882731542776;0.0;543.0;0.0;738806.4883407558;41.0;0.0;1.1520151330949688;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;118.9419703764204;1351.0;0.0;0.0;0.0;588.7627533632809;29.0;0.0
