;all_process_insertions_std;all_process_insertions_min;all_process_deletions_std;all_process_deletions_mean;all_process_insertions_max;all_process_changes_max;Bugged;all_process_changes_count;all_process_changes_std;all_process_insertions_count;all_process_deletions_max;all_process_deletions_count;all_process_insertions_mean;all_process_changes_min;all_process_deletions_min;all_process_changes_mean;all_process_count
count;145.0;145.0;145.0;145.0;145.0;145.0;145;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0
unique;;;;;;;2;;;;;;;;;;
top;;;;;;;False;;;;;;;;;;
freq;;;;;;;123;;;;;;;;;;
mean;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.227586206896552
std;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.081612367001959
min;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0
75%;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0
max;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.0
