;BuggedMethods;NCSSForThisFile;NestedIfElseDepth;BooleanExpressionComplexity;CyclomaticComplexity;NCSSForThisMethod;NPathComplexity;ThrowsCount;NCSSForThisClass;NumberOfProtectedMethod;NumberOfPackageMethod;NumberOfPrivateMethod;ExecutableStatementCount;MethodLength;FileLength;AnonymousInnerClassLength;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;ClassFanOutComplexity;NestedTryDepth;ClassDataAbstractionCoupling;NestedForDepth;IsConstructor;CBO;WMC_CK;RFC;LOCMethod_CK;Returns;NumberOfVariables;NumberOfParameters_CK;NumberOfLoops;NumberOfComparisons;NumberOfTryCatch;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfNumbers;NumberOfAssignments;NumberOfMathOperations;MaxNumberOfNestedBlocks;NumberOfAnonymousClasses;NumberOfInnerClasses;NumberOfLambdas;NumberOfUniqueWords;NumberOfModifiers;NumberOfLogStatements;Ci;Di;Fin;Fout;IOVars;MCLC;NBD;NCOMP;NOP;NVAR;Si;VG;Complexity;Statements;Maximum Depth;Calls
count;1572;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0
unique;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;1570;;;;;;;;;;;;;;;;;;;;;;1551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;;4.8893129770992365;0.01717557251908397;0.08396946564885496;0.926208651399491;4.038167938931298;8.337786259541986;0.1851145038167939;4.520992366412214;0.01717557251908397;0.02099236641221374;0.05788804071246819;3.241730279898219;5.877226463104326;12.285623409669212;0.048982188295165395;0.4993638676844784;0.41348600508905853;0.1876590330788804;0.0;0.07188295165394402;0.009541984732824428;;1.35941475826972;0.9389312977099237;1.5534351145038168;4.827608142493639;0.21055979643765904;0.5502544529262087;0.15521628498727735;0.0693384223918575;0.09351145038167939;0.003816793893129771;0.10432569974554708;2.5197201017811706;8.11323155216285;1.3791348600508906;0.11513994910941476;0.13994910941475827;0.0;0.0;0.0;10.522900763358779;6.035623409669212;0.0;0.4589825145178117;0.27259574606997455;0.04071246819338423;0.04389312977099236;0.2970737913486005;0.39185750636132316;0.27099236641221375;0.2729007633587786;0.1361323155216285;0.11895674300254452;0.18638676844783714;0.40076335877862596;0.5012722646310432;2.1857506361323153;0.9427480916030534;1.7143765903307888
std;;41.268297760350244;0.16454760143919428;0.6306998681631787;2.6676075391952705;11.662277945450215;254.8598067408378;0.40140719961665133;39.95610503102249;0.20886809548739138;0.3072508558496905;0.7651429842267209;10.802024425796546;14.081677372530866;79.21963745211936;1.0960342759201913;3.6894916204653736;3.3464531416619816;1.0679166393470767;0.0;0.4603137518428586;0.11522228324840184;;1.4458022517713114;2.6807821384249744;1.9432612921679482;12.28673661953699;0.5066739230283905;1.3931335428625562;0.4297403672400176;0.3084241707487093;0.7404188850013491;0.061681814466882694;0.9327790504704989;9.279875925059397;270.3334596469701;7.275869608754422;0.7603140449732431;0.476841931707961;0.0;0.0;0.0;29.52701807959134;63.23403834992779;0.0;4.234269779491137;0.664089395385839;0.3837852960030515;0.429624926381639;0.7029385168870483;2.9145059376591043;0.7638211970577456;2.2574476177729124;0.39801199525022196;0.7763020474728777;4.1813130916607015;2.6477377158764748;0.6978175742592694;9.229231534265486;1.129672509971938;5.207639878649678
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;2.0;1.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0
max;;999.0;3.0;7.0;91.0;175.0;10000.0;2.0;991.0;5.0;8.0;27.0;111.0;245.0;1301.0;36.0;93.0;92.0;15.0;0.0;7.0;2.0;;8.0;91.0;18.0;225.0;4.0;12.0;6.0;5.0;21.0;1.0;11.0;114.0;10713.0;98.0;15.0;5.0;0.0;0.0;0.0;1081.0;1025.0;0.0;144.153846154;6.0;10.0;12.0;6.0;72.0;15.0;61.0;5.0;17.0;144.0;91.0;8.0;111.0;6.0;54.0
