;RFC_max;NumberOfLoops_max;NumberOfLogStatements_50%;NumberOfComparisons_mean;NumberOfAnonymousClasses_50%;NumberOfLambdas_max;NumberOfLogStatements_75%;NumberOfUniqueWords_max;NumberOfVariables_count;LOCMethod_CK_mean;NumberOfStringLiterals_std;NumberOfLambdas_50%;NumberOfLogStatements_min;NumberOfMathOperations_50%;Bugged;IsConstructor_top;MaxNumberOfNestedBlocks_25%;NumberOfNumbers_25%;NumberOfNumbers_count;WMC_CK_std;NumberOfMathOperations_25%;NumberOfTryCatch_max;NumberOfVariables_min;NumberOfNumbers_min;NumberOfInnerClasses_count;NumberOfTryCatch_mean;NumberOfAnonymousClasses_max;NumberOfInnerClasses_75%;NumberOfNumbers_50%;NumberOfParameters_CK_25%;LOCMethod_CK_50%;NumberOfParenthesizedExps_std;LOCMethod_CK_count;NumberOfParenthesizedExps_max;NumberOfNumbers_max;MaxNumberOfNestedBlocks_count;NumberOfLoops_std;WMC_CK_25%;NumberOfAssignments_50%;CBO_max;RFC_min;Returns_count;WMC_CK_mean;NumberOfAnonymousClasses_mean;NumberOfUniqueWords_mean;NumberOfModifiers_min;NumberOfParameters_CK_max;NumberOfLoops_min;NumberOfTryCatch_50%;NumberOfParenthesizedExps_50%;WMC_CK_max;MaxNumberOfNestedBlocks_75%;MaxNumberOfNestedBlocks_min;NumberOfParameters_CK_75%;NumberOfInnerClasses_mean;NumberOfMathOperations_count;NumberOfUniqueWords_25%;LOCMethod_CK_std;NumberOfAnonymousClasses_75%;NumberOfVariables_mean;NumberOfModifiers_50%;NumberOfLambdas_mean;NumberOfInnerClasses_50%;CBO_count;RFC_75%;NumberOfAssignments_mean;MaxNumberOfNestedBlocks_max;NumberOfInnerClasses_max;Returns_75%;NumberOfStringLiterals_50%;NumberOfParameters_CK_count;NumberOfParameters_CK_mean;RFC_50%;CBO_75%;CBO_mean;NumberOfStringLiterals_mean;Returns_min;NumberOfStringLiterals_75%;NumberOfAnonymousClasses_count;NumberOfMathOperations_std;NumberOfAssignments_max;WMC_CK_min;NumberOfLambdas_75%;MaxNumberOfNestedBlocks_std;IsConstructor_freq;NumberOfUniqueWords_75%;NumberOfParenthesizedExps_25%;NumberOfModifiers_25%;NumberOfLambdas_25%;IsConstructor_unique;NumberOfModifiers_count;Returns_mean;RFC_std;NumberOfUniqueWords_min;NumberOfParameters_CK_std;MaxNumberOfNestedBlocks_mean;MaxNumberOfNestedBlocks_50%;Returns_std;NumberOfMathOperations_mean;NumberOfTryCatch_75%;NumberOfLoops_mean;CBO_50%;NumberOfVariables_25%;NumberOfUniqueWords_count;IsConstructor_count;NumberOfVariables_max;NumberOfComparisons_75%;WMC_CK_75%;NumberOfModifiers_mean;NumberOfModifiers_std;NumberOfModifiers_max;NumberOfTryCatch_25%;NumberOfParenthesizedExps_count;NumberOfTryCatch_std;NumberOfMathOperations_min;NumberOfLoops_75%;NumberOfLambdas_std;NumberOfAssignments_25%;Returns_max;WMC_CK_50%;NumberOfParameters_CK_50%;NumberOfParenthesizedExps_min;NumberOfAnonymousClasses_min;NumberOfVariables_50%;NumberOfLoops_25%;NumberOfLambdas_count;NumberOfLoops_count;LOCMethod_CK_75%;NumberOfInnerClasses_25%;NumberOfComparisons_50%;NumberOfModifiers_75%;NumberOfUniqueWords_std;Returns_50%;NumberOfStringLiterals_max;NumberOfComparisons_min;NumberOfLambdas_min;NumberOfLogStatements_std;NumberOfParameters_CK_min;NumberOfNumbers_75%;NumberOfComparisons_count;NumberOfTryCatch_count;NumberOfTryCatch_min;NumberOfComparisons_max;Returns_25%;NumberOfAssignments_count;NumberOfNumbers_mean;NumberOfAnonymousClasses_std;NumberOfParenthesizedExps_75%;NumberOfStringLiterals_count;NumberOfMathOperations_max;NumberOfLogStatements_max;CBO_25%;LOCMethod_CK_25%;NumberOfInnerClasses_std;RFC_count;LOCMethod_CK_min;NumberOfAssignments_75%;NumberOfComparisons_25%;CBO_min;NumberOfLogStatements_25%;NumberOfLogStatements_mean;NumberOfLogStatements_count;NumberOfLoops_50%;NumberOfUniqueWords_50%;NumberOfMathOperations_75%;NumberOfStringLiterals_min;RFC_mean;NumberOfStringLiterals_25%;NumberOfAssignments_std;LOCMethod_CK_max;NumberOfNumbers_std;NumberOfParenthesizedExps_mean;CBO_std;NumberOfAnonymousClasses_25%;NumberOfInnerClasses_min;NumberOfVariables_std;NumberOfComparisons_std;WMC_CK_count;NumberOfVariables_75%;RFC_25%;NumberOfAssignments_min
count;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289;289;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0
unique;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;273;263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;6.522491349480969;0.5086505190311419;0.0;0.49218549208067297;0.0034602076124567475;0.0;0.0008650519031141869;34.83044982698962;6.743944636678201;11.262819936072997;1.2362739863324086;0.0;0.0;0.23875432525951557;;;0.3036332179930796;0.8875432525951558;6.743944636678201;1.3393360470499185;0.18252595155709342;0.5882352941176471;0.6470588235294118;0.7231833910034602;6.743944636678201;0.28443807229508955;0.01730103806228374;0.0;1.1626297577854672;0.4740484429065744;9.250865051903114;0.28409014662483206;6.743944636678201;0.7577854671280276;3.8823529411764706;6.743944636678201;0.19023241413672304;1.7240484429065743;1.5363321799307958;2.0207612456747404;1.5951557093425606;6.743944636678201;2.4161411633144345;0.005247981545559401;20.9468446092766;2.1038062283737022;1.4325259515570934;0.05536332179930796;0.2231833910034602;0.0847750865051903;4.972318339100346;0.6487889273356401;0.22491349480968859;0.8711072664359861;0.0;6.743944636678201;16.021626297577853;6.381970750061234;0.006055363321799308;1.418507062437439;3.3460207612456747;0.0;0.0;6.743944636678201;3.7145328719723185;2.112076232615887;1.2768166089965398;0.0;0.6384083044982699;0.9792387543252595;6.743944636678201;0.7199094370167449;2.64878892733564;1.3745674740484428;1.1451947050293365;1.4403015024950303;0.20761245674740483;1.6920415224913494;6.743944636678201;0.4373321131635535;5.29757785467128;1.560553633217993;0.0;0.425354514878637;6.470588235294118;24.44463667820069;0.05536332179930796;2.7448096885813147;0.0;1.1176470588235294;6.743944636678201;0.5159986610244682;1.9626381883826918;12.321799307958477;0.45451630312658625;0.5354800002781354;0.4186851211072664;0.34185831969961467;0.38575124620737355;0.3209342560553633;0.1662471752025357;1.0346020761245676;0.8053633217993079;6.743944636678201;6.743944636678201;3.2698961937716264;0.551038062283737;2.6072664359861593;8.686740211804544;10.03081752540978;22.88235294117647;0.1980968858131488;6.743944636678201;0.17879788625078982;0.14186851211072665;0.18079584775086505;0.0;1.1470588235294117;1.0795847750865053;1.9653979238754324;0.629757785467128;0.03806228373702422;0.0;1.0795847750865053;0.07179930795847751;6.743944636678201;6.743944636678201;12.512110726643598;0.0;0.328719723183391;12.786332179930795;8.521962150919666;0.4619377162629758;3.6955017301038064;0.20069204152249134;0.0;0.003037939352973105;0.33217993079584773;1.722318339100346;6.743944636678201;6.743944636678201;0.17301038062283736;1.4705882352941178;0.32785467128027684;6.743944636678201;1.552324586918689;0.009130413906068498;0.222318339100346;6.743944636678201;1.273356401384083;0.006920415224913495;0.8114186851211073;7.833044982698962;0.0;6.743944636678201;6.868512110726644;2.480968858131488;0.24480968858131488;0.6020761245674741;0.0;0.0013593672763222936;6.743944636678201;0.10380622837370242;19.37370242214533;0.421280276816609;0.671280276816609;3.1478777546618577;0.7941176470588235;1.7749334437828885;22.608996539792386;1.2737174675917813;0.19740356992809782;0.5856062815632616;0.0017301038062283738;0.0;1.1277618422971294;0.4760840668910673;6.743944636678201;1.6643598615916955;2.059688581314879;0.8961937716262975
std;8.030346913390733;0.9056695913460747;0.0;1.2554395999501462;0.0588235294117647;0.0;0.014705882352941175;32.181596925878786;12.688447816692326;18.194631888508567;3.3959798139108845;0.0;0.0;0.8468199327260372;;;0.7181759425435309;2.7366913796268855;12.688447816692326;3.5959867075388408;0.7449115720622373;1.4018836534383934;2.3003622903070435;2.6873253633700687;12.688447816692326;0.8856626355044601;0.15493608460077557;0.0;2.9278692013751915;0.7358157871676418;16.890380057452763;0.7054600531648045;12.688447816692326;1.910356444615116;5.9389252675322775;12.688447816692326;0.37731783770274846;2.824545417777802;3.351703812216842;2.251446627946771;4.284027674750892;12.688447816692326;3.420971924151818;0.061585485390350636;16.765986464775516;4.028063798194137;1.347495433994742;0.29529991140841244;0.8515807835045918;0.3099787760466591;8.344529675746829;0.9866330162557198;0.6728376445793525;0.9391397616575407;0.0;12.688447816692326;14.841354612061956;15.296751214712394;0.08940200862666411;2.714756548977239;5.949701767699577;0.0;0.0;12.688447816692326;5.164086708654877;3.842007564037134;1.589739967468777;0.0;0.8913914447135857;2.999927911475281;12.688447816692326;0.7638390856806897;4.570855012150265;1.5544409620930715;1.375748156833626;3.402179009379009;0.6860293679815607;4.170401116258736;12.688447816692326;1.1099130784573525;9.597165435201115;2.7620885260540304;0.0;0.623723484842903;12.621905561364338;19.608637392001796;0.23469977017939467;4.907916724868011;0.0;0.6346477588219924;12.688447816692326;0.7882362295575925;3.1944477673776004;13.918546862056022;0.5487141267918406;0.8146935611221185;0.8267218990831701;0.5296485015793178;0.9446295427740182;0.987853044751008;0.3723223561673333;1.3732994272194357;2.3677625007377823;12.688447816692326;12.688447816692326;5.4208151091436605;1.4757115616303766;3.7423763898556106;44.00835978032159;65.71887857007778;133.73940768025955;0.8322314658811982;12.688447816692326;0.5291924385727431;0.6901675294897714;0.4482447130312601;0.0;3.078966502289725;1.606377859343691;2.992846783976217;0.8055451980667578;0.2090098588757632;0.0;2.576044522624789;0.3037535114100969;12.688447816692326;12.688447816692326;19.60507061433987;0.0;1.1331060223905356;90.06414079221138;10.55161285981681;0.786344643833125;8.101183931018872;1.0109811337255221;0.0;0.03680796354967054;0.6669549549684295;3.380411580542212;12.688447816692326;12.688447816692326;0.8277930015191544;3.0356676000144973;0.7195756607779379;12.688447816692326;3.012319989269975;0.09303102712485686;0.6088996984338122;12.688447816692326;2.8206855231403716;0.0830444820887128;1.308820660751795;16.299058629984245;0.0;12.688447816692326;16.147003017868492;4.415888425428384;1.0437349708380237;1.2627664107323324;0.0;0.016912163411391203;12.688447816692326;0.35787671075380345;16.35607898993609;1.1186497104296624;2.6717215282743014;4.658731102151894;2.7746683986058986;4.2603739377250465;35.95400305178694;2.3783678518205;0.45269630760966395;0.8697185134084954;0.02941176470588235;0.0;2.4713057133368674;1.1075986940487976;12.688447816692326;3.089207752275112;4.359409870219884;3.0005125795603598
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;1.0;3.0;0.0;0.0;0.0;0.0;;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;6.25;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;11.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
50%;3.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;3.0;5.5;0.0;0.0;0.0;0.0;;;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;1.0;3.0;0.0;1.0;0.0;2.0;0.0;3.0;1.25;0.0;19.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;3.0;13.0;1.4142135623730951;0.0;0.3076923076923077;1.0;0.0;0.0;3.0;1.75;0.6666666666666666;1.0;0.0;0.5;0.0;3.0;0.5454545454545454;1.0;1.0;0.9534883720930232;0.09090909090909093;0.0;0.0;3.0;0.0;2.0;1.0;0.0;0.0;3.0;21.25;0.0;1.0;0.0;1.0;3.0;0.3333333333333333;0.7559289460184545;8.0;0.2886751345948129;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;3.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;5.25;0.0;0.0;1.0;5.019960159204453;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;3.0;0.16666666666666666;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;3.0;3.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;18.0;0.0;0.0;1.5;0.0;0.5;10.0;0.0;0.0;0.3875533878815898;0.0;0.0;0.0;0.0;3.0;0.0;0.25;0.0
75%;10.0;1.0;0.0;0.5;0.0;0.0;0.0;49.0;7.0;10.555555555555557;1.0;0.0;0.0;0.0;;;0.0;0.0;7.0;1.5;0.0;1.0;0.0;0.0;7.0;0.03448275862068965;0.0;0.0;0.5;1.0;8.0;0.3498040439993687;7.0;1.0;7.0;7.0;0.33333333333333337;1.0;1.5;3.0;1.0;7.0;2.5;0.0;28.0;1.0;2.0;0.0;0.0;0.0;6.0;1.0;0.0;1.0;0.0;7.0;21.0;7.0298628956769695;0.0;1.25;2.0;0.0;0.0;7.0;5.75;2.117647058823529;2.0;0.0;1.0;0.0;7.0;1.0;3.0;2.0;1.6666666666666667;1.0;0.0;1.0;7.0;0.492365963917331;7.0;1.0;0.0;0.7071067811865476;7.0;32.0;0.0;1.0;0.0;2.0;7.0;0.9047619047619048;2.748737083745107;18.0;0.8047478161629565;0.8;0.5;0.5345224838248488;0.38461538461538464;0.0;0.16666666666666666;1.5;0.0;7.0;7.0;4.0;0.5;3.0;2.7222222222222223;1.4769288003552108;9.0;0.0;7.0;0.0;0.0;0.0;0.0;0.75;1.0;2.0;1.0;0.0;0.0;1.0;0.0;7.0;7.0;14.25;0.0;0.0;4.0;13.44666744948636;1.0;4.0;0.0;0.0;0.0;1.0;2.0;7.0;7.0;0.0;2.0;0.75;7.0;1.9545454545454544;0.0;0.0;7.0;1.0;0.0;1.0;5.0;0.0;7.0;4.0;2.75;0.0;1.0;0.0;0.0;7.0;0.0;26.0;0.0;0.0;4.0;0.0;2.0;27.0;1.5275252316519468;0.1875;0.8366600265340756;0.0;0.0;1.2720777563426766;0.5622957145383871;7.0;2.0;1.5;0.0
