;NumberOfInheritedMethods;Cohesion;NumberOfPolymorphicMethods;NumberPublicMethods;Bugged;NumberOfAttributes;NumberOfMethods_Mood;NumberOfProtectedAttributes;NumberOfAncestors;NumberOfPublicAttributes;NumberOfPrivateAttributes;NumberOfCoupledClasses;NumberUserDefinedAttributes;NumberOfSubclasses
count;684.0;684.0;684.0;684.0;684;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0
unique;;;;;2;;;;;;;;;
top;;;;;False;;;;;;;;;
freq;;;;;409;;;;;;;;;
mean;0.0;0.2728508680698297;5.969298245614035;5.907894736842105;;6.0774853801169595;7.70906432748538;0.14181286549707603;0.0;0.6666666666666666;5.269005847953216;0.16666666666666666;0.16374269005847952;0.0
std;0.0;0.288465455407663;8.684004856977827;9.472870824209195;;9.261050008208809;10.214328623346919;0.6921904375426259;0.0;3.9305836150506748;7.619088969566746;0.5451771778033793;0.6989437950008608;0.0
min;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;1.0;1.0;;1.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
50%;0.0;0.18333333333333326;3.0;3.0;;3.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
75%;0.0;0.4308035714285714;7.0;6.0;;8.0;9.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0
max;0.0;1.0;68.0;71.0;;117.0;72.0;7.0;0.0;85.0;52.0;4.0;6.0;0.0
