Bugged;NPF;NSF;PMd;NOA;NOD;ClTCi;NSM;RTLOC;TLOC;ClRCi;NOL
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;7.0;0.0;0.0;85.422222222;0.0;66.0;37.0;12.203174602999999;0.0
False;0.0;0.0;7.0;0.0;0.0;10.666666667000001;0.0;47.0;28.0;1.523809524;0.0
False;0.0;0.0;7.0;0.0;0.0;87.422222222;0.0;44.0;38.0;12.488888889000002;0.0
False;0.0;0.0;11.0;0.0;0.0;329.72875817;0.0;67.0;59.0;29.975341651999997;0.0
False;0.0;0.0;12.0;0.0;0.0;12.0;0.0;82.0;44.0;1.0;0.0
False;0.0;2.0;15.0;0.0;0.0;27.0;1.0;336.0;220.0;1.588235294;0.0
False;0.0;2.0;15.0;0.0;0.0;27.0;1.0;336.0;220.0;1.588235294;0.0
False;0.0;1.0;2.0;0.0;0.0;8.0;1.0;279.0;222.0;2.666666667;0.0
False;0.0;1.0;2.0;0.0;0.0;8.0;1.0;279.0;222.0;2.666666667;0.0
False;0.0;1.0;2.0;0.0;0.0;8.0;1.0;279.0;222.0;2.666666667;0.0
False;0.0;1.0;2.0;0.0;0.0;8.0;1.0;279.0;222.0;2.666666667;0.0
False;0.0;0.0;0.0;0.0;0.0;3.0;0.0;5.0;5.0;1.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;2.0;2.0;3.0;0.0;0.0;3.0;0.0;34.0;29.0;1.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;2.0;4.0;0.0;0.0;18.333333333;1.0;445.0;257.0;1.833333333;0.0
False;0.0;2.0;4.0;0.0;0.0;18.333333333;1.0;445.0;257.0;1.833333333;0.0
False;0.0;3.0;6.0;0.0;0.0;28.0;2.0;753.0;406.0;2.153846154;0.0
False;0.0;3.0;6.0;0.0;0.0;28.0;2.0;753.0;406.0;2.153846154;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;7.0;0.0;0.0;13.0;0.0;59.0;55.0;1.857142857;0.0
False;0.0;0.0;1.0;0.0;0.0;2.0;1.0;25.0;22.0;2.0;0.0
False;0.0;1.0;18.0;0.0;0.0;32.0;0.0;212.0;133.0;1.684210526;0.0
