;MIF;MHF;Aa;AIF;Bugged;AHF
count;150.0;150.0;150.0;150.0;150;150.0
unique;;;;;2;
top;;;;;False;
freq;;;;;143;
mean;0.0;0.3006429384666667;2.8733333333333335;0.0;;0.060478632473333335
std;0.0;0.3820276362915612;4.268342442164103;0.0;;0.1833227979916304
min;0.0;0.0;0.0;0.0;;0.0
25%;0.0;0.0;0.0;0.0;;0.0
50%;0.0;0.0;0.0;0.0;;0.0
75%;0.0;0.7023809522500001;5.0;0.0;;0.0
max;0.0;1.0;19.0;0.0;;1.0
