MIF;MHF;Aa;AIF;Bugged;AHF
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;1.0;6.0;0.0;False;1.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;1.0;1.0;0.0;False;0.0
0.0;0.818181818;14.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.846153846;13.0;0.0;False;0.076923077
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.5;13.0;0.0;False;0.230769231
0.0;0.5;13.0;0.0;False;0.230769231
0.0;0.875;4.0;0.0;False;0.0
0.0;0.857142857;4.0;0.0;False;0.0
0.0;0.909090909;11.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.88;5.0;0.0;False;0.4
0.0;0.8;0.0;0.0;False;0.0
0.0;0.2;3.0;0.0;False;0.0
0.0;0.0;1.0;0.0;False;1.0
0.0;1.0;0.0;0.0;False;0.0
0.0;1.0;2.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.982758621;2.0;0.0;False;0.0
0.0;1.0;4.0;0.0;False;0.5
0.0;0.5;11.0;0.0;True;1.0
0.0;0.833333333;2.0;0.0;False;0.0
0.0;1.0;10.0;0.0;False;0.0
0.0;0.8;9.0;0.0;False;0.222222222
0.0;0.333333333;6.0;0.0;False;0.0
0.0;0.6;13.0;0.0;False;0.0
0.0;1.0;0.0;0.0;False;0.0
0.0;1.0;1.0;0.0;False;0.0
0.0;1.0;1.0;0.0;True;0.0
0.0;1.0;1.0;0.0;False;0.0
0.0;0.8;10.0;0.0;True;0.0
0.0;0.8;10.0;0.0;True;0.0
0.0;0.8;10.0;0.0;True;0.0
0.0;0.8;10.0;0.0;True;0.0
0.0;0.454545455;9.0;0.0;False;0.0
0.0;0.454545455;9.0;0.0;False;0.0
0.0;0.454545455;9.0;0.0;False;0.0
0.0;0.256410256;6.0;0.0;False;0.0
0.0;0.256410256;6.0;0.0;False;0.0
0.0;0.272727273;14.0;0.0;False;0.0
0.0;0.583333333;4.0;0.0;False;0.0
0.0;0.75;19.0;0.0;False;0.0
0.0;0.875;4.0;0.0;False;0.5
0.0;0.833333333;9.0;0.0;False;0.5555555560000001
0.0;0.0;0.0;0.0;False;0.0
0.0;1.0;1.0;0.0;False;0.0
0.0;0.666666667;4.0;0.0;False;0.0
0.0;0.666666667;4.0;0.0;False;0.0
0.0;0.5;5.0;0.0;False;0.6
0.0;0.5;5.0;0.0;False;0.6
0.0;0.5;5.0;0.0;False;0.6
0.0;0.0;0.0;0.0;False;0.0
0.0;0.7142857140000001;7.0;0.0;False;0.0
0.0;0.7142857140000001;7.0;0.0;False;0.0
0.0;0.7142857140000001;7.0;0.0;False;0.0
0.0;0.7142857140000001;7.0;0.0;False;0.0
0.0;0.7142857140000001;7.0;0.0;False;0.0
0.0;0.7142857140000001;7.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.56;9.0;0.0;False;0.222222222
0.0;0.56;9.0;0.0;False;0.222222222
0.0;0.56;9.0;0.0;False;0.222222222
0.0;0.56;9.0;0.0;False;0.222222222
0.0;0.56;9.0;0.0;False;0.222222222
0.0;0.56;9.0;0.0;False;0.222222222
0.0;0.56;9.0;0.0;False;0.222222222
0.0;0.0;0.0;0.0;False;0.0
0.0;0.7857142859999999;1.0;0.0;False;0.0
0.0;0.8125;5.0;0.0;False;0.0
0.0;0.833333333;9.0;0.0;False;0.0
0.0;0.0;3.0;0.0;False;0.0
0.0;1.0;4.0;0.0;False;0.0
0.0;0.0;1.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;True;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;False;0.0
