;NumberOfPackageMethod_50%;NumberOfPrivateMethod_50%;ClassFanOutComplexity_std;NCSSForThisMethod_std;NestedTryDepth_50%;NumberOfMethods_Checkstyle_max;NestedIfElseDepth_25%;BooleanExpressionComplexity_std;MethodLength_min;NestedForDepth_max;MethodLength_mean;CyclomaticComplexity_25%;BooleanExpressionComplexity_min;MethodLength_count;NumberOfPrivateMethod_count;AnonymousInnerClassLength_std;NCSSForThisFile_std;ThrowsCount_50%;ExecutableStatementCount_75%;NCSSForThisClass_50%;AnonymousInnerClassLength_25%;NestedTryDepth_std;NCSSForThisClass_75%;ClassFanOutComplexity_min;ExecutableStatementCount_max;NestedIfElseDepth_max;NumberOfPublicMethods_Checkstyle_min;NestedForDepth_75%;NumberOfMethods_Checkstyle_mean;NCSSForThisFile_50%;NumberOfProtectedMethod_mean;NumberOfProtectedMethod_75%;MethodLength_50%;BooleanExpressionComplexity_mean;FileLength_max;NumberOfMethods_Checkstyle_75%;NestedTryDepth_25%;ClassDataAbstractionCoupling_count;NumberOfProtectedMethod_max;MethodLength_25%;NumberOfPrivateMethod_mean;FileLength_count;FileLength_mean;AnonymousInnerClassLength_50%;ClassFanOutComplexity_max;NestedIfElseDepth_mean;NumberOfPackageMethod_mean;NumberOfPublicMethods_Checkstyle_mean;BooleanExpressionComplexity_75%;BooleanExpressionComplexity_50%;NumberOfPrivateMethod_25%;NestedTryDepth_mean;NCSSForThisClass_std;NCSSForThisClass_max;NumberOfPublicMethods_Checkstyle_75%;NumberOfPackageMethod_min;ExecutableStatementCount_min;ExecutableStatementCount_count;ExecutableStatementCount_50%;NumberOfPrivateMethod_75%;NPathComplexity_mean;FileLength_std;NumberOfMethods_Checkstyle_50%;ThrowsCount_count;NPathComplexity_50%;Bugged;NestedTryDepth_min;NumberOfPrivateMethod_max;NumberOfPackageMethod_max;ExecutableStatementCount_mean;NumberOfMethods_Checkstyle_25%;CyclomaticComplexity_count;AnonymousInnerClassLength_75%;NestedIfElseDepth_std;NumberOfPackageMethod_75%;NumberOfPublicMethods_Checkstyle_count;BooleanExpressionComplexity_count;NCSSForThisMethod_50%;NCSSForThisMethod_max;NPathComplexity_25%;NCSSForThisFile_max;NestedForDepth_50%;ClassDataAbstractionCoupling_50%;NumberOfPublicMethods_Checkstyle_std;NCSSForThisClass_count;NestedForDepth_mean;NestedIfElseDepth_75%;NCSSForThisClass_mean;MethodLength_max;ClassDataAbstractionCoupling_mean;NestedForDepth_count;NCSSForThisMethod_min;NCSSForThisFile_75%;NCSSForThisMethod_count;ThrowsCount_mean;ThrowsCount_std;ClassFanOutComplexity_25%;FileLength_25%;NestedTryDepth_count;NumberOfProtectedMethod_25%;ThrowsCount_min;ClassFanOutComplexity_mean;CyclomaticComplexity_min;NCSSForThisMethod_25%;ExecutableStatementCount_std;ClassDataAbstractionCoupling_75%;NumberOfPackageMethod_count;CyclomaticComplexity_mean;ThrowsCount_25%;NumberOfPrivateMethod_min;NumberOfMethods_Checkstyle_std;BooleanExpressionComplexity_max;FileLength_75%;NumberOfPublicMethods_Checkstyle_50%;CyclomaticComplexity_std;ThrowsCount_max;NCSSForThisClass_min;NPathComplexity_count;NPathComplexity_75%;NumberOfPublicMethods_Checkstyle_max;NPathComplexity_min;NestedForDepth_min;FileLength_min;NestedTryDepth_max;NestedTryDepth_75%;CyclomaticComplexity_max;NCSSForThisFile_25%;NestedIfElseDepth_count;NCSSForThisFile_mean;MethodLength_75%;NCSSForThisFile_min;NestedForDepth_std;ClassDataAbstractionCoupling_max;BooleanExpressionComplexity_25%;NumberOfProtectedMethod_min;ClassFanOutComplexity_75%;NCSSForThisFile_count;NumberOfPackageMethod_25%;ClassDataAbstractionCoupling_std;CyclomaticComplexity_75%;AnonymousInnerClassLength_min;ClassFanOutComplexity_50%;ThrowsCount_75%;NumberOfProtectedMethod_50%;CyclomaticComplexity_50%;AnonymousInnerClassLength_mean;NCSSForThisClass_25%;NCSSForThisMethod_mean;ExecutableStatementCount_25%;NumberOfMethods_Checkstyle_min;ClassDataAbstractionCoupling_25%;NestedForDepth_25%;NumberOfProtectedMethod_std;NPathComplexity_max;NPathComplexity_std;NumberOfPackageMethod_std;NestedIfElseDepth_min;NumberOfMethods_Checkstyle_count;NestedIfElseDepth_50%;NumberOfPublicMethods_Checkstyle_25%;MethodLength_std;AnonymousInnerClassLength_count;ClassFanOutComplexity_count;NCSSForThisMethod_75%;FileLength_50%;ClassDataAbstractionCoupling_min;AnonymousInnerClassLength_max;NumberOfProtectedMethod_count;NumberOfPrivateMethod_std
count;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.0046875;0.005859375;2.550928438501399;4.81432658079627;0.00078125;4.471875;0.039453125;0.15429338494148012;7.5703125;0.10546875;12.286980486617477;1.5083984375;0.03515625;4.83359375;4.83359375;0.33233136672659735;18.245333497842033;0.1328125;7.588671875;5.353515625;0.0162109375;0.002947844977993716;8.308203125;1.05;13.96015625;0.41875;0.209375;0.0353515625;0.8646906008730804;7.585546875;0.0912840632020434;0.076953125;10.284375;0.12771537347915637;111.67421875;0.6900390625;0.00078125;4.83359375;0.3984375;8.6884765625;0.05349567617885105;4.83359375;28.90025914815164;0.02890625;7.3328125;0.12531341814648086;0.005306044292717088;0.7190170517877619;0.1544921875;0.074609375;0.0033203125;0.0019807763850732602;13.968146754703167;43.77421875;0.5880859375;0.0046875;4.1375;4.83359375;5.687109375;0.0205078125;39.774475631605675;35.97954391376726;0.391015625;4.83359375;5.3328125;;0.00078125;0.59765625;0.01171875;6.812440039853227;0.3154296875;4.83359375;0.123046875;0.1601388802518883;0.0046875;4.83359375;4.83359375;7.26328125;17.9359375;4.3771484375;57.396875;0.016015625;0.2265625;1.1851105735719334;4.83359375;0.02953362514945007;0.1560546875;9.570537452553907;25.69375;0.35864583563167995;4.83359375;5.3203125;11.5099609375;4.83359375;0.15190683181963052;0.10917228581831753;1.279296875;15.4919921875;4.83359375;0.037109375;0.071875;2.28183842522179;1.32890625;6.11328125;3.8459897747948104;0.31171875;4.83359375;2.223686798095602;0.1001953125;0.00078125;1.477830566595636;0.403125;26.4193359375;0.33125;1.3178548741203415;0.2859375;3.61796875;4.83359375;18.5328125;3.53203125;3.71640625;0.00625;12.94140625;0.009375;0.0015625;4.79453125;6.4185546875;4.83359375;13.0692139013879;13.535546875;5.2515625;0.03990318624853836;1.5578125;0.04765625;0.02578125;2.2296875;4.83359375;0.0046875;0.4542119663902735;2.4759765625;0.0;1.510546875;0.182421875;0.04921875;1.81015625;0.1514599998521382;4.4830078125;8.656579535309428;4.7873046875;0.240625;0.199609375;0.0095703125;0.1445728664326083;312.24140625;94.93976797632055;0.0020264004454672558;0.02578125;4.83359375;0.073828125;0.2703125;6.861734034954724;4.83359375;4.83359375;9.622265625;18.042578125;0.17265625;0.9609375;4.83359375;0.16263337618851106
std;0.06833136276136784;0.05734587521200735;3.048855102914766;9.427406197063455;0.027950849718747377;6.677011048678528;0.22609756137900391;0.35497902912836343;14.549359837363687;0.38416844464686645;16.887132411989995;2.267033899776108;0.22267470805177256;7.015204946734154;7.015204946734154;1.9382748886459937;26.089243260857938;0.6226892388614897;12.482174490742691;13.616645868441973;0.33273468622995017;0.03284078086840529;17.096325176265037;2.935160660011337;21.555879851942034;0.8534298184637108;0.4070215428653974;0.18113283044482326;0.3304570388976401;17.119786380249757;0.26047759617057104;0.29047979665622486;16.430308372915135;0.3180334980697382;162.44057588929346;0.6368354731764828;0.027950849718747377;7.015204946734154;1.351684113008819;15.187091436778378;0.15275007035963334;7.015204946734154;26.260818520195226;0.5854840814710347;8.887896289312222;0.3151987659623334;0.06919012447843217;0.40160945823771305;0.4246478280769157;0.29805835663856123;0.03749786203835126;0.0317006911888734;22.56597043960797;85.58777939745974;0.6172246202626606;0.06833136276136784;10.059004966824293;7.015204946734154;11.09213801071282;0.11579405946713003;214.95667666170877;40.75731396267064;0.4883687641473004;7.015204946734154;58.62136306737714;;0.027950849718747377;2.424108933078141;0.1650081589898787;11.26605950326333;0.422752775328082;7.015204946734154;1.2207868997348033;0.33187519371028384;0.06833136276136784;7.015204946734154;7.015204946734154;12.847812328989336;28.62901674157747;57.99261056761514;99.02558244858086;0.11671044905696064;1.6976958295845865;1.231855018123415;7.015204946734154;0.12949201116750436;0.445870266012496;13.716444861791288;40.010396909163155;1.705036982352381;7.015204946734154;11.031218472192242;20.778734646861086;7.015204946734154;0.6043157391533549;0.4461353575120286;2.949556541215312;27.892509179889366;7.015204946734154;0.17205537748703134;0.4690478269390189;2.9778109148333463;1.940178543961154;11.728916980063207;7.632840809169928;1.7597598321168213;7.015204946734154;2.9559050683983545;0.5276465006884075;0.027950849718747377;1.39501571698709;0.8425674211984764;33.12915687326413;0.46625787225545867;2.525008574426676;0.9405082696694664;10.978840503211483;7.015204946734154;181.35885719633706;5.609572874405695;57.79792827156818;0.0788403043420128;28.009082150813168;0.09640731612296256;0.03561011838881421;7.739451532407093;14.97222661599252;7.015204946734154;16.624867596064863;18.980214434155545;14.469698107119605;0.1540340895280253;4.210055526145598;0.2388530856420308;0.15854404692785756;3.5099653590506743;7.015204946734154;0.06833136276136784;1.00564253644773;3.592279944384175;0.0;3.1490976427222988;0.7438985551470595;0.21184475623146254;2.7653711389542384;1.0254178961557305;11.55973177398216;13.172604625849978;10.420541758488385;0.4276300674526091;1.6674808603444096;0.08706518758757653;0.46853349818708834;1553.4551131052149;493.9582094141978;0.03917594501853107;0.2095253557610682;7.015204946734154;0.29561989068955713;0.4072225908118959;12.925382317500791;7.015204946734154;7.015204946734154;15.018648570052786;29.842555704154776;1.659159185106911;5.00523938740737;7.015204946734154;0.5173784505301972
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;3.185714285714286;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;41.0;0.0;0.0;1.0;0.0;3.0;0.0;1.0;14.0;0.0;2.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;1.0;1.0;1.0;0.0;0.3333333333333333;0.0;0.0;1.0;0.0;;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;0.0;12.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;4.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.6666666666666666;1.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;5.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0
50%;0.0;0.0;1.7320508075688772;1.1690451944500122;0.0;2.0;0.0;0.0;3.0;0.0;7.666666666666668;1.0;0.0;3.0;3.0;0.0;11.180339887498945;0.0;3.75;0.0;0.0;0.0;3.5;0.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;67.0;1.0;0.0;3.0;0.0;3.0;0.0;3.0;23.8125;0.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;7.505553499465135;19.0;0.5;0.0;1.0;3.0;1.5;0.0;1.3333333333333333;31.819805153394643;0.0;3.0;1.0;;0.0;0.0;0.0;3.333333333333333;0.0;3.0;0.0;0.0;0.0;3.0;3.0;3.0;9.0;1.0;27.0;0.0;0.0;1.3416407864998738;3.0;0.0;0.0;6.045454545454545;13.0;0.0;3.0;2.0;6.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.7207792207792207;1.0;2.0;0.8944271909999159;0.0;3.0;1.5;0.0;0.0;1.4142135623730951;0.0;24.375;0.0;0.0;0.0;0.0;3.0;1.125;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;9.30952380952381;8.0;0.0;0.0;0.0;0.0;0.0;1.5;3.0;0.0;0.0;1.25;0.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;2.0;0.5;0.0;0.0;3.0;0.0;0.0;1.6179500423458366;3.0;3.0;5.25;0.0;0.0;0.0;3.0;0.0
75%;0.0;0.0;4.0414518843273814;6.338535537516444;0.0;5.0;0.0;0.0;7.0;0.0;15.0;1.5;0.0;6.0;6.0;0.0;25.45584412271571;0.0;9.5;6.0;0.0;0.0;11.0;0.0;17.0;1.0;0.0;0.0;1.0;10.0;0.0;0.0;12.0;0.07142857142857142;113.25;1.5;0.0;6.0;0.0;9.5625;0.0;6.0;38.0;0.0;9.0;0.07692307692307693;0.0;1.0;0.0;0.0;0.0;0.0;18.860945126272412;44.0;1.0;0.0;3.0;6.0;6.0;0.0;4.0;50.80682368868707;1.0;6.0;2.0;;0.0;0.0;0.0;8.0;0.5;6.0;0.0;0.0;0.0;6.0;6.0;8.0;22.0;1.25;59.0;0.0;0.0;2.0;6.0;0.0;0.0;12.0;31.0;0.40156250000000004;6.0;4.0;15.75;6.0;0.0;0.0;2.0;28.25;6.0;0.0;0.0;3.0;1.0;6.0;4.96022552888537;0.0;6.0;2.8004385964912277;0.0;0.0;2.23606797749979;1.0;42.0;1.0;1.7320508075688772;0.0;0.0;6.0;3.5;4.25;1.0;0.0;0.0;0.0;0.0;6.0;7.5625;6.0;15.839285714285715;17.5;0.0;0.0;1.0;0.0;0.0;3.5;6.0;0.0;0.5773502691896258;3.0;0.0;2.0;0.0;0.0;2.0;0.0;5.0;10.5;4.8125;0.0;0.0;0.0;0.0;8.0;2.647503576683339;0.0;0.0;6.0;0.0;0.5;8.64858552240342;6.0;6.0;12.0;34.0;0.0;0.0;6.0;0.0
