NumberOfPackageMethod_50%;NumberOfPrivateMethod_50%;ClassFanOutComplexity_std;NCSSForThisMethod_std;NestedTryDepth_50%;NumberOfMethods_Checkstyle_max;NestedIfElseDepth_25%;BooleanExpressionComplexity_std;MethodLength_min;NestedForDepth_max;MethodLength_mean;CyclomaticComplexity_25%;BooleanExpressionComplexity_min;MethodLength_count;NumberOfPrivateMethod_count;AnonymousInnerClassLength_std;NCSSForThisFile_std;ThrowsCount_50%;ExecutableStatementCount_75%;NCSSForThisClass_50%;AnonymousInnerClassLength_25%;NestedTryDepth_std;NCSSForThisClass_75%;ClassFanOutComplexity_min;ExecutableStatementCount_max;NestedIfElseDepth_max;NumberOfPublicMethods_Checkstyle_min;NestedForDepth_75%;NumberOfMethods_Checkstyle_mean;NCSSForThisFile_50%;NumberOfProtectedMethod_mean;NumberOfProtectedMethod_75%;MethodLength_50%;BooleanExpressionComplexity_mean;FileLength_max;NumberOfMethods_Checkstyle_75%;NestedTryDepth_25%;ClassDataAbstractionCoupling_count;NumberOfProtectedMethod_max;MethodLength_25%;NumberOfPrivateMethod_mean;FileLength_count;FileLength_mean;AnonymousInnerClassLength_50%;ClassFanOutComplexity_max;NestedIfElseDepth_mean;NumberOfPackageMethod_mean;NumberOfPublicMethods_Checkstyle_mean;BooleanExpressionComplexity_75%;BooleanExpressionComplexity_50%;NumberOfPrivateMethod_25%;NestedTryDepth_mean;NCSSForThisClass_std;NCSSForThisClass_max;NumberOfPublicMethods_Checkstyle_75%;NumberOfPackageMethod_min;ExecutableStatementCount_min;ExecutableStatementCount_count;ExecutableStatementCount_50%;NumberOfPrivateMethod_75%;NPathComplexity_mean;FileLength_std;NumberOfMethods_Checkstyle_50%;ThrowsCount_count;NPathComplexity_50%;Bugged;NestedTryDepth_min;NumberOfPrivateMethod_max;NumberOfPackageMethod_max;ExecutableStatementCount_mean;NumberOfMethods_Checkstyle_25%;CyclomaticComplexity_count;AnonymousInnerClassLength_75%;NestedIfElseDepth_std;NumberOfPackageMethod_75%;NumberOfPublicMethods_Checkstyle_count;BooleanExpressionComplexity_count;NCSSForThisMethod_50%;NCSSForThisMethod_max;NPathComplexity_25%;NCSSForThisFile_max;NestedForDepth_50%;ClassDataAbstractionCoupling_50%;NumberOfPublicMethods_Checkstyle_std;NCSSForThisClass_count;NestedForDepth_mean;NestedIfElseDepth_75%;NCSSForThisClass_mean;MethodLength_max;ClassDataAbstractionCoupling_mean;NestedForDepth_count;NCSSForThisMethod_min;NCSSForThisFile_75%;NCSSForThisMethod_count;ThrowsCount_mean;ThrowsCount_std;ClassFanOutComplexity_25%;FileLength_25%;NestedTryDepth_count;NumberOfProtectedMethod_25%;ThrowsCount_min;ClassFanOutComplexity_mean;CyclomaticComplexity_min;NCSSForThisMethod_25%;ExecutableStatementCount_std;ClassDataAbstractionCoupling_75%;NumberOfPackageMethod_count;CyclomaticComplexity_mean;ThrowsCount_25%;NumberOfPrivateMethod_min;NumberOfMethods_Checkstyle_std;BooleanExpressionComplexity_max;FileLength_75%;NumberOfPublicMethods_Checkstyle_50%;CyclomaticComplexity_std;ThrowsCount_max;NCSSForThisClass_min;NPathComplexity_count;NPathComplexity_75%;NumberOfPublicMethods_Checkstyle_max;NPathComplexity_min;NestedForDepth_min;FileLength_min;NestedTryDepth_max;NestedTryDepth_75%;CyclomaticComplexity_max;NCSSForThisFile_25%;NestedIfElseDepth_count;NCSSForThisFile_mean;MethodLength_75%;NCSSForThisFile_min;NestedForDepth_std;ClassDataAbstractionCoupling_max;BooleanExpressionComplexity_25%;NumberOfProtectedMethod_min;ClassFanOutComplexity_75%;NCSSForThisFile_count;NumberOfPackageMethod_25%;ClassDataAbstractionCoupling_std;CyclomaticComplexity_75%;AnonymousInnerClassLength_min;ClassFanOutComplexity_50%;ThrowsCount_75%;NumberOfProtectedMethod_50%;CyclomaticComplexity_50%;AnonymousInnerClassLength_mean;NCSSForThisClass_25%;NCSSForThisMethod_mean;ExecutableStatementCount_25%;NumberOfMethods_Checkstyle_min;ClassDataAbstractionCoupling_25%;NestedForDepth_25%;NumberOfProtectedMethod_std;NPathComplexity_max;NPathComplexity_std;NumberOfPackageMethod_std;NestedIfElseDepth_min;NumberOfMethods_Checkstyle_count;NestedIfElseDepth_50%;NumberOfPublicMethods_Checkstyle_25%;MethodLength_std;AnonymousInnerClassLength_count;ClassFanOutComplexity_count;NCSSForThisMethod_75%;FileLength_50%;ClassDataAbstractionCoupling_min;AnonymousInnerClassLength_max;NumberOfProtectedMethod_count;NumberOfPrivateMethod_std
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;6.0;0.0;6.0;1.0;0.0;1.0;1.0;0.0;0.0;4.0;4.0;6.0;0.0;0.0;6.0;7.0;4.0;0.0;1.0;0.0;1.0;16.0;0.0;0.0;6.0;0.0;42.0;1.0;0.0;1.0;0.0;6.0;0.0;1.0;42.0;0.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;0.0;4.0;1.0;4.0;0.0;0.0;0.0;1.0;1.0;0.0;False;0.0;0.0;0.0;4.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;5.0;5.0;0.0;16.0;0.0;2.0;0.0;1.0;0.0;0.0;6.0;6.0;2.0;1.0;5.0;16.0;1.0;4.0;0.0;7.0;42.0;1.0;0.0;4.0;7.0;1.0;5.0;0.0;2.0;1.0;1.0;4.0;0.0;0.0;0.0;42.0;1.0;0.0;4.0;6.0;1.0;0.0;1.0;0.0;0.0;42.0;0.0;0.0;1.0;16.0;1.0;16.0;6.0;16.0;0.0;2.0;0.0;0.0;7.0;1.0;0.0;0.0;1.0;0.0;7.0;4.0;0.0;1.0;0.0;6.0;5.0;4.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;5.0;42.0;2.0;0.0;1.0;0.0
0.0;0.0;5.5;6.601767440112788;0.0;4.0;0.0;0.5;3.0;1.0;9.0;1.0;0.0;4.0;4.0;0.0;23.0;0.0;8.0;0.0;0.0;0.0;8.0;0.0;14.0;0.0;0.0;0.25;1.0;0.0;0.0;0.0;5.5;0.25;87.0;1.0;0.0;4.0;0.0;3.0;0.25;4.0;21.75;0.0;11.0;0.0;0.0;0.75;0.25;0.0;0.0;0.0;16.0;32.0;0.75;0.0;1.0;4.0;3.5;0.25;3.0;43.5;0.0;4.0;1.0;False;0.0;1.0;0.0;5.5;0.0;4.0;0.0;0.0;0.0;4.0;4.0;4.5;16.0;0.75;46.0;0.0;0.0;1.5;4.0;0.25;0.0;8.0;22.0;0.25;4.0;2.0;11.5;4.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;2.75;1.0;2.0;6.137317546507322;0.25;4.0;2.25;0.0;0.0;2.0;1.0;21.75;0.0;2.5;0.0;0.0;4.0;3.25;3.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;4.0;11.5;11.5;0.0;0.5;1.0;0.0;0.0;2.75;4.0;0.0;0.5;2.25;0.0;0.0;0.0;0.0;1.0;0.0;0.0;6.75;1.0;0.0;0.0;0.0;0.0;10.0;4.69041575982343;0.0;0.0;4.0;0.0;0.0;8.981462390204989;4.0;4.0;9.25;0.0;0.0;0.0;4.0;0.5
0.0;0.0;3.5777087639996634;3.0822070014844885;0.0;5.0;0.0;0.0;3.0;0.0;6.2;1.0;0.0;5.0;5.0;0.0;14.758048651498608;0.0;3.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;76.0;0.0;0.0;5.0;0.0;3.0;0.0;5.0;15.2;0.0;8.0;0.2;0.0;1.0;0.0;0.0;0.0;0.0;10.285912696499032;23.0;0.0;0.0;1.0;5.0;1.0;0.0;1.8;33.988233257996804;0.0;5.0;1.0;False;0.0;0.0;0.0;2.4;0.0;5.0;0.0;0.4472135954999579;0.0;5.0;5.0;2.0;9.0;1.0;33.0;0.0;0.0;2.23606797749979;5.0;0.0;0.0;4.6;13.0;0.4;5.0;2.0;0.0;5.0;0.2;0.4472135954999579;0.0;0.0;5.0;0.0;0.0;1.6;1.0;2.0;2.1908902300206643;0.0;5.0;1.8;0.0;0.0;2.23606797749979;0.0;0.0;0.0;1.3038404810405295;1.0;0.0;5.0;2.0;5.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;5.0;6.6;9.0;0.0;0.0;2.0;0.0;0.0;0.0;5.0;0.0;0.8944271909999159;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;4.0;1.3038404810405295;0.0;0.0;5.0;0.0;0.0;4.604345773288535;5.0;5.0;5.0;0.0;0.0;0.0;5.0;0.0
0.0;0.0;5.656854249492381;10.606601717798213;0.0;2.0;0.25;0.7071067811865476;3.0;0.0;13.0;2.25;0.0;2.0;2.0;0.0;22.62741699796952;0.5;10.75;10.5;0.0;0.0;15.75;0.0;14.0;1.0;0.0;0.0;1.0;16.0;0.0;0.0;13.0;0.5;66.0;1.5;0.0;2.0;0.0;8.0;0.0;2.0;33.0;0.0;8.0;0.5;0.0;1.0;0.75;0.5;0.0;0.0;14.849242404917495;21.0;1.5;0.0;1.0;2.0;7.5;0.0;5.0;46.66904755831214;1.0;2.0;5.0;False;0.0;0.0;0.0;7.5;0.5;2.0;0.0;0.7071067811865476;0.0;2.0;2.0;9.5;17.0;3.0;32.0;0.0;0.0;1.4142135623730951;2.0;0.0;0.75;10.5;23.0;0.0;2.0;2.0;24.0;2.0;0.5;0.7071067811865476;2.0;16.5;2.0;0.0;0.0;4.0;1.0;5.75;9.192388155425117;0.0;2.0;3.5;0.25;0.0;1.4142135623730951;1.0;49.5;1.0;3.5355339059327378;1.0;0.0;2.0;7.0;2.0;1.0;0.0;0.0;0.0;0.0;6.0;8.0;2.0;16.0;18.0;0.0;0.0;0.0;0.25;0.0;6.0;2.0;0.0;0.0;4.75;0.0;4.0;0.75;0.0;3.5;0.0;5.25;9.5;4.25;0.0;0.0;0.0;0.0;9.0;5.656854249492381;0.0;0.0;2.0;0.5;0.5;14.142135623730953;2.0;2.0;13.25;33.0;0.0;0.0;2.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;30.0;1.0;30.0;9.0;1.0;1.0;1.0;0.0;0.0;0.0;18.0;24.0;0.0;0.0;24.0;12.0;18.0;1.0;1.0;1.0;1.0;41.0;0.0;0.0;30.0;1.0;82.0;1.0;0.0;1.0;0.0;30.0;0.0;1.0;82.0;0.0;12.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;24.0;1.0;0.0;18.0;1.0;18.0;0.0;38.0;0.0;1.0;1.0;38.0;False;0.0;0.0;0.0;18.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;21.0;21.0;38.0;41.0;1.0;1.0;0.0;1.0;1.0;1.0;24.0;30.0;1.0;1.0;21.0;41.0;1.0;0.0;0.0;12.0;82.0;1.0;0.0;0.0;12.0;9.0;21.0;0.0;1.0;1.0;9.0;0.0;0.0;0.0;1.0;82.0;1.0;0.0;0.0;24.0;1.0;38.0;1.0;38.0;1.0;82.0;0.0;0.0;9.0;41.0;1.0;41.0;30.0;41.0;0.0;1.0;1.0;0.0;12.0;1.0;0.0;0.0;9.0;0.0;12.0;0.0;0.0;9.0;0.0;24.0;21.0;18.0;1.0;1.0;1.0;0.0;38.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;21.0;82.0;1.0;0.0;1.0;0.0
0.0;0.0;2.683281572999748;2.683281572999748;0.0;5.0;0.0;0.0;3.0;0.0;4.4;1.0;0.0;5.0;5.0;0.0;12.074767078498864;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;68.0;0.0;0.0;5.0;0.0;3.0;0.0;5.0;13.6;0.0;6.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8.497058314499201;19.0;0.0;0.0;1.0;5.0;1.0;0.0;1.2;30.41052449399714;0.0;5.0;1.0;False;0.0;0.0;0.0;2.0;0.0;5.0;0.0;0.0;0.0;5.0;5.0;2.0;8.0;1.0;27.0;0.0;0.0;2.23606797749979;5.0;0.0;0.0;3.8;10.0;0.2;5.0;2.0;0.0;5.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;1.2;1.0;2.0;2.23606797749979;0.0;5.0;1.2;0.0;0.0;2.23606797749979;0.0;0.0;0.0;0.4472135954999579;0.0;0.0;5.0;1.0;5.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;5.0;5.4;3.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;0.4472135954999579;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.2;1.0;0.0;0.0;0.0;0.0;2.0;0.4472135954999579;0.0;0.0;5.0;0.0;0.0;3.130495168499705;5.0;5.0;2.0;0.0;0.0;0.0;5.0;0.0
0.0;0.0;3.5355339059327378;0.0;0.0;2.0;0.0;0.0;3.0;0.0;3.5;1.0;0.0;2.0;2.0;0.0;8.48528137423857;0.5;1.0;3.0;0.0;0.0;4.5;0.0;1.0;0.0;0.0;0.0;1.0;6.0;0.0;0.0;3.5;0.0;41.0;1.5;0.0;2.0;0.0;3.25;0.0;2.0;20.5;0.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.242640687119285;6.0;1.5;0.0;1.0;2.0;1.0;0.0;1.0;28.991378028648448;1.0;2.0;1.0;False;0.0;0.0;0.0;1.0;0.5;2.0;0.0;0.0;0.0;2.0;2.0;2.0;2.0;1.0;12.0;0.0;0.0;1.4142135623730951;2.0;0.0;0.0;3.0;4.0;0.0;2.0;2.0;9.0;2.0;0.5;0.7071067811865476;1.25;10.25;2.0;0.0;0.0;2.5;1.0;2.0;0.0;0.0;2.0;1.0;0.25;0.0;1.4142135623730951;0.0;30.75;1.0;0.0;1.0;0.0;2.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;2.0;6.0;3.75;0.0;0.0;0.0;0.0;0.0;3.75;2.0;0.0;0.0;1.0;0.0;2.5;0.75;0.0;1.0;0.0;1.5;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.5;0.7071067811865476;2.0;2.0;2.0;20.5;0.0;0.0;2.0;0.0
0.0;0.0;2.8867513459481287;0.5773502691896258;0.0;3.0;0.0;0.0;3.0;0.0;3.333333333333333;1.0;0.0;3.0;3.0;0.0;10.392304845413264;0.0;1.5;0.0;0.0;0.0;6.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;50.0;1.5;0.0;3.0;0.0;3.0;0.0;3.0;16.666666666666668;0.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;6.92820323027551;12.0;1.5;0.0;1.0;3.0;1.0;0.0;1.0;28.867513459481287;0.0;3.0;1.0;False;0.0;0.0;0.0;1.3333333333333333;0.0;3.0;0.0;0.0;0.0;3.0;3.0;2.0;3.0;1.0;18.0;0.0;0.0;1.7320508075688772;3.0;0.0;0.0;4.0;4.0;0.0;3.0;2.0;9.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.6666666666666667;1.0;2.0;0.5773502691896257;0.0;3.0;1.0;0.0;0.0;1.7320508075688772;0.0;25.0;0.0;0.0;0.0;0.0;3.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;6.0;3.5;0.0;0.0;0.0;0.0;0.0;2.5;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.333333333333333;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.5773502691896258;3.0;3.0;2.5;0.0;0.0;0.0;3.0;0.0
0.0;0.0;2.683281572999748;1.4142135623730951;0.0;5.0;0.0;0.8944271909999159;3.0;0.0;4.8;1.0;0.0;5.0;5.0;0.0;11.627553482998906;0.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.4;67.0;0.0;0.0;5.0;0.0;3.0;0.0;5.0;13.4;0.0;6.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8.049844718999243;18.0;0.0;0.0;1.0;5.0;1.0;0.0;1.8;29.963310898497184;0.0;5.0;1.0;False;0.0;0.0;0.0;1.6;0.0;5.0;0.0;0.0;0.0;5.0;5.0;2.0;5.0;1.0;26.0;0.0;0.0;2.23606797749979;5.0;0.0;0.0;3.6;8.0;0.4;5.0;2.0;0.0;5.0;0.2;0.4472135954999579;0.0;0.0;5.0;0.0;0.0;1.2;1.0;2.0;0.8944271909999159;0.0;5.0;1.8;0.0;0.0;2.23606797749979;2.0;0.0;0.0;1.3038404810405295;1.0;0.0;5.0;2.0;5.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;5.0;5.2;7.0;0.0;0.0;2.0;0.0;0.0;0.0;5.0;0.0;0.8944271909999159;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;4.0;1.3038404810405295;0.0;0.0;5.0;0.0;0.0;2.4899799195977463;5.0;5.0;4.0;0.0;0.0;0.0;5.0;0.0
0.0;0.0;5.656854249492381;13.435028842544405;0.0;2.0;0.25;0.7071067811865476;3.0;0.0;14.5;2.25;0.0;2.0;2.0;0.0;25.45584412271571;0.5;13.0;12.5;0.0;0.0;18.75;0.0;17.0;1.0;0.0;0.0;1.0;18.0;0.0;0.0;14.5;0.5;69.0;1.5;0.0;2.0;0.0;8.75;0.0;2.0;34.5;0.0;8.0;0.5;0.0;1.0;0.75;0.5;0.0;0.0;17.677669529663692;25.0;1.5;0.0;1.0;2.0;9.0;0.0;7.0;48.790367901871775;1.0;2.0;7.0;False;0.0;0.0;0.0;9.0;0.5;2.0;0.0;0.7071067811865476;0.0;2.0;2.0;11.5;21.0;4.0;36.0;0.0;0.0;1.4142135623730951;2.0;0.0;0.75;12.5;26.0;0.0;2.0;2.0;27.0;2.0;0.5;0.7071067811865476;2.0;17.25;2.0;0.0;0.0;4.0;1.0;6.75;11.31370849898476;0.0;2.0;3.5;0.25;0.0;1.4142135623730951;1.0;51.75;1.0;3.5355339059327378;1.0;0.0;2.0;10.0;2.0;1.0;0.0;0.0;0.0;0.0;6.0;9.0;2.0;18.0;20.25;0.0;0.0;0.0;0.25;0.0;6.0;2.0;0.0;0.0;4.75;0.0;4.0;0.75;0.0;3.5;0.0;6.25;11.5;5.0;0.0;0.0;0.0;0.0;13.0;8.48528137423857;0.0;0.0;2.0;0.5;0.5;16.263455967290593;2.0;2.0;16.25;34.5;0.0;0.0;2.0;0.0
