;blame_merge_blame_getDistinctOperatorsCnt_min;IOVars_count;NCOMP_std;ClRCi;NVAR_std;Di_count;NVAR_min;Si_std;ClTCi;Fin_max;blame_merge_blame_getDistinctOperatorsCnt_count;blamemerge_blamegetDistinctOperandsCnt_count;MCLC_std;blamemerge_blamegetDistinctOperatorsCnt_count;NVAR_count;NCOMP_count;blamemerge_blamegetDifficulty_count;Di_50%;Si_75%;blame_merge_blame_getDistinctOperatorsCnt_std;IOVars_25%;NOP_max;Ci_count;NBD_min;blame_merge_blame_getDifficulty_mean;Fin_mean;Fin_75%;MCLC_mean;Si_25%;Fout_75%;blame_merge_blame_getDistinctOperandsCnt_std;Si_mean;Di_max;Fout_max;IOVars_50%;NCOMP_75%;NCOMP_mean;IOVars_max;NVAR_max;NCOMP_max;Di_mean;IOVars_mean;IOVars_min;Ci_75%;Fout_mean;VG_std;NOP_min;NCOMP_50%;NOP_std;NVAR_25%;Fout_min;blame_merge_blame_getDistinctOperandsCnt_min;Ci_max;NVAR_50%;NBD_25%;Ci_50%;Si_max;NVAR_mean;Difficulty;NumberOfDistinctOperands;NBD_50%;NumberOfDistinctOperators;MCLC_25%;NOP_75%;blame_merge_blame_getDistinctOperandsCnt_max;NCOMP_min;NOP_25%;NOP_count;Fout_std;blame_merge_blame_getDifficulty_min;NBD_count;MCLC_max;Ci_std;blamemerge_blamegetDifficulty_std;blamemerge_blamegetDistinctOperatorsCnt_std;MCLC_75%;VG_count;blamemerge_blamegetDistinctOperatorsCnt_max;Si_min;Fin_min;Di_min;Di_std;Si_count;NOP_50%;VG_mean;NOP_mean;NCOMP_25%;IOVars_75%;blamemerge_blamegetDifficulty_mean;VG_min;Fout_50%;Fout_count;blamemerge_blamegetDifficulty_max;Fin_count;NBD_max;Fout_25%;blame_merge_blame_getDistinctOperatorsCnt_mean;blame_merge_blame_getDistinctOperandsCnt_mean;blame_merge_blame_getDistinctOperatorsCnt_max;Fin_50%;Fin_std;blamemerge_blamegetDistinctOperatorsCnt_mean;blame_merge_blame_getDifficulty_std;blamemerge_blamegetDistinctOperandsCnt_std;blame_merge_blame_getDistinctOperandsCnt_count;Bugged;IOVars_std;NBD_75%;Ci_25%;blamemerge_blamegetDistinctOperandsCnt_max;MCLC_50%;MCLC_count;Fin_25%;NOPa;Si_50%;Di_25%;MCLC_min;NVAR_75%;blame_merge_blame_getDifficulty_max;VG_25%;VG_50%;Ci_min;blamemerge_blamegetDistinctOperandsCnt_mean;Ci_mean;NBD_std;blame_merge_blame_getDifficulty_count;VG_75%;NBD_mean;VG_max;Di_75%
count;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1732;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.0;2.335100742311771;0.4734245996033024;1.726186296006893;0.26460225798640824;2.335100742311771;0.10286320254506894;1.2567101240160026;72.9017631760159;0.20254506892895016;0.0;18178.224284199365;0.7018194043903496;18178.224284199365;2.335100742311771;2.335100742311771;18178.224284199365;0.9303287380705196;0.11611876988335101;0.0;0.8618769883351007;0.996288441145281;2.335100742311771;0.7624602332979852;0.0;0.040630936766006716;0.055010604453870626;0.7541189912532927;0.04891304347826087;0.06680805938494168;0.0;0.4054909408221957;1.2734623541887593;0.2889713679745493;0.9567868504772005;0.5577942735949099;0.47677490177587084;1.3123011664899258;0.7099681866383881;1.3769883351007424;0.9593703082847482;0.9909203199765184;0.7682926829268293;1.1698391657828737;0.07135050094028363;0.38739150611152673;0.4496288441145281;0.3144220572640509;0.24496666342170365;0.13693001060445387;0.03128313891834571;0.0;7.252104780231178;0.19856839872746554;0.787778366914104;1.0020413573700955;6.071580063626723;0.2773440894774218;53.678039357045044;185.91728525980912;0.8377518557794273;25.139448568398727;0.3746023329798515;0.787778366914104;0.0;0.17709437963944857;0.5418875927889714;2.335100742311771;0.0801492629662294;0.0;2.335100742311771;2.021208907741251;1.4431960981385814;1.2743830043535254;2.1910844835983534;0.9034994697773064;2.335100742311771;8.744432661717921;0.04188759278897137;0.0;0.7340563451505833;0.22950570691659994;2.335100742311771;0.6481972428419936;1.0596064709080468;0.6776112908933103;0.22627253446447507;1.0856309650053022;0.9567277506218429;0.810710498409332;0.040562036055143164;2.335100742311771;6.343106064595535;2.335100742311771;1.1256627783669142;0.03512725344644751;0.0;0.0;0.0;0.005302226935312832;0.07410039893949115;1.9036849946924872;0.0;2.519749210171957;0.0;;0.23383754366254206;0.9309384941675504;0.8991803640864263;11.261399787910923;0.532608695652174;2.335100742311771;0.0027836691410392366;0.0;0.058589607635206785;0.8347104394958906;0.28472958642629903;0.33470307529162246;0.0;0.8580328738069989;0.9382290562036055;0.8005920820079534;2.1114492367166036;1.364861249106944;0.15915158345073963;0.0;1.1277836691410392;0.8795142500338423;1.7608695652173914;1.0544671261935314
std;0.0;4.829189338961894;1.5199437010755554;5.109676493895229;0.6649061592677272;4.829189338961894;0.5119497958570941;26.813130296242775;252.75851315887553;1.4158308774583674;0.0;25452.37769404214;1.972648110102726;25452.37769404214;4.829189338961894;4.829189338961894;25452.37769404214;0.9466788322413788;0.8719988286913098;0.0;0.853886094150256;1.2367009290224948;4.829189338961894;0.729660429185451;0.0;0.24462238684885898;0.4251572652004643;1.9501857066629826;0.45262293154898253;0.3162966949140102;0.0;5.895793577237353;1.4692314127277053;2.447703476742047;0.9525139509171086;1.6207499695372476;1.3990422087250867;1.4996117292247175;1.6494276152269656;4.552957548341422;0.9556030799931724;0.9635716523507215;0.8207339351308343;1.3656524381559172;0.32487833701222196;1.1929986634174552;0.6598427351380973;1.2387526283697887;0.4783445831746617;0.5417333046326602;0.20231327285518874;0.0;166.8163701371424;0.6419822314556756;0.7524480969815291;1.079614627268031;166.8506238603707;0.6800253915261233;51.78190421148509;227.413155484172;0.8155817008770935;13.321296346586799;1.5639071406879692;0.8545775606029788;0.0;1.0622159104554159;0.6749362403012407;4.829189338961894;0.5617748553902637;0.0;4.829189338961894;5.683759340030109;26.797542653647692;0.3793457253297093;0.4830206411769687;2.2831044646602225;4.829189338961894;2.3739095268948747;0.4013841305397642;0.0;0.8210755640537956;0.48409928857779644;4.829189338961894;0.7362637309409077;1.314251156212684;0.7313578319316087;1.1097292655990207;1.103808357821514;0.46502725056513317;1.0304189480265098;0.23561759721560693;4.829189338961894;4.214254595217347;4.829189338961894;1.2772687043003785;0.2165075080438297;0.0;0.0;0.0;0.08601701679355084;0.43708482750860495;0.8826379662850885;0.0;0.737107881489013;0.0;;0.49818545347056775;0.9296735797661946;0.9449396966176791;5.147486827474532;1.7709330911635046;4.829189338961894;0.04561914610974488;0.0;0.5553099587812644;0.852761276088639;1.4930609102594807;0.8413725630022831;0.0;1.075048774900358;1.1997023691570858;0.8963196041968573;1.2129931664757816;5.966956332746231;0.4004968116663167;0.0;1.4818672599081888;0.8364384512433931;3.6695862467361406;1.0914797601932928
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;90.0;0.0;90.0;0.0;0.0;90.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;7.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07046661529687276;0.2678165158115136;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0019502228826151558;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05924962852897474;0.0;0.0972959785016569;0.0;;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002786032689450223;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3523.25;0.0;3523.25;0.0;0.0;3523.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.227659574468086;60.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0162613651270944;1.830443411067583;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.49039780521262;0.0;0.0;0.0;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.024134290315356;0.0;1.910498733016623;0.0;;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9881511289961994;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;9.0;0.0;0.0;7380.0;0.0;7380.0;1.0;1.0;7380.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;35.70782726045884;123.0;1.0;24.0;0.0;1.0;0.0;0.0;0.25;1.0;0.0;0.0;1.0;0.0;0.0;1.231879233510758;2.3340512337353467;0.0;1.0;9.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.6666666666666666;0.0;1.0;0.9767025972165754;1.0;0.0;1.0;5.366666666666667;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.958615726570471;0.0;2.497688889753121;0.0;;0.0;1.0;1.0;10.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.8977353726716075;1.0;0.0;0.0;1.0;1.0;1.0;1.0
75%;0.0;3.0;0.0;2.026515152;0.0;3.0;0.0;0.0;64.25;0.0;0.0;26457.0;0.0;26457.0;3.0;3.0;26457.0;1.0;0.0;0.0;1.0;1.0;3.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;1.5;1.5;1.0;2.0;0.0;0.0;1.0;0.0;0.5036392559814853;0.0;0.0;0.0;2.0;0.0;1.0;1.5;0.0;0.16666666666666666;69.96689551767678;227.0;1.0;35.0;0.0;1.0;0.0;0.0;1.0;3.0;0.0;0.0;3.0;1.0;0.0;1.5512785102336877;2.4689678787272737;0.5;3.0;11.0;0.0;0.0;1.0;0.0;3.0;1.0;1.25;1.0;0.0;2.0;1.3136952522409484;1.0;0.0;3.0;7.5;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5817749692346634;0.0;2.962659011445873;0.0;;0.0;1.0;1.0;14.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;2.8253271087139233;1.6290584415584415;0.0;0.0;1.0;1.0;2.0;2.0
