;TLOC;NPF;PMd;NOL;NOD;NSF;NOA;Bugged;RTLOC;ClTCi;NSM;ClRCi
count;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150;150.0;150.0;150.0;150.0
unique;;;;;;;;2;;;;
top;;;;;;;;False;;;;
freq;;;;;;;;143;;;;
mean;79.3;0.35333333333333333;4.273333333333333;0.0;0.0;1.96;0.0;;169.82;20.23898331298;2.3333333333333335;1.5729650820733334
std;128.56511942547212;1.2539155675559994;8.927671082761096;0.0;0.0;3.2950644401027316;0.0;;252.14585291243563;36.71164757048111;7.10295020157086;2.4694202514245154
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
75%;123.0;0.0;6.75;0.0;0.0;3.0;0.0;;264.0;26.0;1.0;2.5
max;720.0;11.0;75.0;0.0;0.0;18.0;0.0;;1090.0;174.92222222200004;61.0;14.576851852
